threshold,direction_model,magnitude_model,balanced_accuracy,macro_f1,direction_accuracy,mae,rmse,scope,model,n,median_absolute_error,signed_bias,correlation,overshoot_rate,undershoot_rate
0.75,multinomial_logistic,two_stage,0.6317230700573256,0.6272057041675113,0.6532846715328468,0.9954237900564349,1.3271030350622017,selection_2024,,,,,,,
0.75,multinomial_logistic,huber,0.6317230700573256,0.6272057041675113,0.6532846715328468,1.0066949366810016,1.352414069258079,selection_2024,,,,,,,
0.75,multinomial_logistic,ridge,0.6317230700573256,0.6272057041675113,0.6532846715328468,1.0077105712854626,1.3514595998461298,selection_2024,,,,,,,
0.75,multinomial_logistic,elastic,0.6317230700573256,0.6272057041675113,0.6532846715328468,1.035511112489684,1.4091976077038264,selection_2024,,,,,,,
1.0,gradient_boosted_stumps,huber,0.6168724943915505,0.6249441070281049,0.6253041362530414,1.0066949366810016,1.352414069258079,selection_2024,,,,,,,
1.0,gradient_boosted_stumps,ridge,0.6168724943915505,0.6249441070281049,0.6253041362530414,1.0077105712854626,1.3514595998461298,selection_2024,,,,,,,
1.0,gradient_boosted_stumps,two_stage,0.6168724943915505,0.6249441070281049,0.6253041362530414,1.015612203640012,1.3478671740627963,selection_2024,,,,,,,
1.0,gradient_boosted_stumps,elastic,0.6168724943915505,0.6249441070281049,0.6253041362530414,1.035511112489684,1.4091976077038264,selection_2024,,,,,,,
0.75,gradient_boosted_stumps,two_stage,0.5956933944070664,0.5973850800592119,0.5997566909975669,0.9954237900564349,1.3271030350622017,selection_2024,,,,,,,
0.75,gradient_boosted_stumps,huber,0.5956933944070664,0.5973850800592119,0.5997566909975669,1.0066949366810016,1.352414069258079,selection_2024,,,,,,,
0.75,gradient_boosted_stumps,ridge,0.5956933944070664,0.5973850800592119,0.5997566909975669,1.0077105712854626,1.3514595998461298,selection_2024,,,,,,,
0.75,gradient_boosted_stumps,elastic,0.5956933944070664,0.5973850800592119,0.5997566909975669,1.035511112489684,1.4091976077038264,selection_2024,,,,,,,
0.5,gradient_boosted_stumps,two_stage,0.5882666505262659,0.5888037060126707,0.6289537712895377,0.9873497001372546,1.3191795558500725,selection_2024,,,,,,,
0.5,gradient_boosted_stumps,huber,0.5882666505262659,0.5888037060126707,0.6289537712895377,1.0066949366810016,1.352414069258079,selection_2024,,,,,,,
0.5,gradient_boosted_stumps,ridge,0.5882666505262659,0.5888037060126707,0.6289537712895377,1.0077105712854626,1.3514595998461298,selection_2024,,,,,,,
0.5,gradient_boosted_stumps,elastic,0.5882666505262659,0.5888037060126707,0.6289537712895377,1.035511112489684,1.4091976077038264,selection_2024,,,,,,,
0.25,ordinal_ridge_proxy,two_stage,0.5710526315789474,0.5697930112027421,0.7092457420924574,0.9798905408839381,1.3130709831270955,selection_2024,,,,,,,
0.25,ordinal_ridge_proxy,huber,0.5710526315789474,0.5697930112027421,0.7092457420924574,1.0066949366810016,1.352414069258079,selection_2024,,,,,,,
