snapshot_date,season,game_date,away_team,home_team,away_current_score,home_current_score,away_projected_points,home_projected_points,away_win_prob,home_win_prob,projected_spread_home,projected_total,source_file,source_url
2026-08-17,2026,2026-09-05,Missouri St,Texas A&M,0.0,0.0,7.0,41.0,0.01,0.99,-34.5,53.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Abilene Chr,Texas Tech,0.0,0.0,7.0,45.0,0.01,0.99,-38.5,55.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Idaho St,Utah St,0.0,0.0,20.0,41.0,0.13,0.87,-20.5,59.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Austin Peay,Vanderbilt,0.0,0.0,10.0,45.0,0.03,0.97,-34.5,57.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Charleston So,Ga Southern,0.0,0.0,10.0,38.0,0.03,0.97,-28.5,51.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,E Kentucky,Jacksonville St,0.0,0.0,17.0,34.0,0.14,0.86,-16.5,52.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,NC A&T,Georgia St,0.0,0.0,10.0,44.0,0.02,0.98,-33.5,55.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,SE Louisiana,South Alabama,0.0,0.0,20.0,35.0,0.16,0.84,-15.5,53.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Merrimack,Delaware,0.0,0.0,13.0,38.0,0.05,0.95,-25.5,51.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Murray St,MTSU,0.0,0.0,17.0,38.0,0.11,0.89,-20.5,55.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Sam Houston St,Troy,0.0,0.0,17.0,33.0,0.14,0.86,-16.5,50.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Louisville,Mississippi,0.0,0.0,24.0,31.0,0.31,0.69,-7.5,56.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Clemson,LSU,0.0,0.0,24.0,27.0,0.41,0.59,-3.5,50.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,W Michigan,Michigan,0.0,0.0,7.0,36.0,0.01,0.99,-29.5,47.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,ULM,Mississippi St,0.0,0.0,10.0,38.0,0.03,0.97,-28.5,53.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,VMI,Virginia Tech,0.0,0.0,3.0,49.0,0.0,1.0,-45.5,52.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Northwestern LA,Louisiana Tech,0.0,0.0,3.0,45.0,0.0,1.0,-41.5,52.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,FL Atlantic,Florida,0.0,0.0,13.0,38.0,0.06,0.94,-25.5,54.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Utah Tech,BYU,0.0,0.0,3.0,47.0,0.0,1.0,-44.5,52.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Toledo,Michigan St,0.0,0.0,21.0,28.0,0.3,0.7,-7.5,49.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Ark Pine Bluff,Missouri,0.0,0.0,0.0,55.0,0.0,1.0,-55.5,56.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,S Dakota St,Northwestern,0.0,0.0,17.0,31.0,0.15,0.85,-14.5,48.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Lamar,Louisiana,0.0,0.0,14.0,38.0,0.06,0.94,-24.5,51.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Hampton,Maryland,0.0,0.0,3.0,50.0,0.0,1.0,-47.5,54.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
