team,conference,rank,combo,avg_total_wins,avg_conference_wins,conference_title_pct,make_title_game_pct,bowl_eligibility_pct,win_distribution
Virginia,ACC,38,7.8333,7.053,5.359,0.0106,0.0631,0.8593,"[{""wins"":2,""probability"":0.0007},{""wins"":3,""probability"":0.0064},{""wins"":4,""probability"":0.033},{""wins"":5,""probability"":0.1006},{""wins"":6,""probability"":0.2025},{""wins"":7,""probability"":0.2704},{""wins"":8,""probability"":0.2282},{""wins"":9,""probability"":0.1221},{""wins"":10,""probability"":0.032},{""wins"":11,""probability"":0.0041}]"
Pittsburgh,ACC,39,7.7,6.5392,4.8679,0.0054,0.0305,0.7714,"[{""wins"":1,""probability"":0.0005},{""wins"":2,""probability"":0.0024},{""wins"":3,""probability"":0.0132},{""wins"":4,""probability"":0.0597},{""wins"":5,""probability"":0.1528},{""wins"":6,""probability"":0.2485},{""wins"":7,""probability"":0.2705},{""wins"":8,""probability"":0.1765},{""wins"":9,""probability"":0.0644},{""wins"":10,""probability"":0.0111},{""wins"":11,""probability"":0.0004}]"
Arizona State,B12,40,6.6333,5.1955,4.2408,0.0031,0.0166,0.4227,"[{""wins"":0,""probability"":0.0002},{""wins"":1,""probability"":0.0034},{""wins"":2,""probability"":0.0245},{""wins"":3,""probability"":0.085},{""wins"":4,""probability"":0.1969},{""wins"":5,""probability"":0.2673},{""wins"":6,""probability"":0.2483},{""wins"":7,""probability"":0.1276},{""wins"":8,""probability"":0.0404},{""wins"":9,""probability"":0.0062},{""wins"":10,""probability"":0.0002}]"
Georgia Tech,ACC,44,5.3333,4.9195,3.9912,0.0009,0.0061,0.3349,"[{""wins"":0,""probability"":0.0003},{""wins"":1,""probability"":0.0045},{""wins"":2,""probability"":0.0336},{""wins"":3,""probability"":0.1184},{""wins"":4,""probability"":0.2286},{""wins"":5,""probability"":0.2797},{""wins"":6,""probability"":0.2025},{""wins"":7,""probability"":0.0993},{""wins"":8,""probability"":0.0286},{""wins"":9,""probability"":0.0042},{""wins"":10,""probability"":0.0003}]"
Duke,ACC,53,3.7,5.0445,3.966,0.0006,0.0049,0.3661,"[{""wins"":0,""probability"":0.0002},{""wins"":1,""probability"":0.0032},{""wins"":2,""probability"":0.0272},{""wins"":3,""probability"":0.1042},{""wins"":4,""probability"":0.2213},{""wins"":5,""probability"":0.2778},{""wins"":6,""probability"":0.2127},{""wins"":7,""probability"":0.1104},{""wins"":8,""probability"":0.0362},{""wins"":9,""probability"":0.0065},{""wins"":10,""probability"":0.0003}]"
Minnesota,B1G,50,4.6333,4.6282,3.0588,0.0,0.0003,0.2573,"[{""wins"":0,""probability"":0.0001},{""wins"":1,""probability"":0.0061},{""wins"":2,""probability"":0.0472},{""wins"":3,""probability"":0.1505},{""wins"":4,""probability"":0.2563},{""wins"":5,""probability"":0.2825},{""wins"":6,""probability"":0.1784},{""wins"":7,""probability"":0.065},{""wins"":8,""probability"":0.0122},{""wins"":9,""probability"":0.0015},{""wins"":10,""probability"":0.0002}]"
UCLA,B1G,51,4.6,5.7666,3.6411,0.0,0.0004,0.577,"[{""wins"":0,""probability"":0.0001},{""wins"":1,""probability"":0.0014},{""wins"":2,""probability"":0.0101},{""wins"":3,""probability"":0.0455},{""wins"":4,""probability"":0.1265},{""wins"":5,""probability"":0.2394},{""wins"":6,""probability"":0.2713},{""wins"":7,""probability"":0.1936},{""wins"":8,""probability"":0.0887},{""wins"":9,""probability"":0.0213},{""wins"":10,""probability"":0.0019},{""wins"":11,""probability"":0.0002}]"
Arkansas,SEC,49,4.7,2.5734,1.4578,0.0,0.0,0.0086,"[{""wins"":0,""probability"":0.013},{""wins"":1,""probability"":0.1659},{""wins"":2,""probability"":0.3227},{""wins"":3,""probability"":0.2971},{""wins"":4,""probability"":0.1447},{""wins"":5,""probability"":0.048},{""wins"":6,""probability"":0.0082},{""wins"":7,""probability"":0.0004}]"
NC State,ACC,47,4.9333,6.3105,5.0691,0.0047,0.0401,0.7148,"[{""wins"":0,""probability"":0.0002},{""wins"":1,""probability"":0.0001},{""wins"":2,""probability"":0.0041},{""wins"":3,""probability"":0.0236},{""wins"":4,""probability"":0.0788},{""wins"":5,""probability"":0.1784},{""wins"":6,""probability"":0.2668},{""wins"":7,""probability"":0.2396},{""wins"":8,""probability"":0.1434},{""wins"":9,""probability"":0.052},{""wins"":10,""probability"":0.012},{""wins"":11,""probability"":0.001}]"
Northwestern,B1G,54,3.6,4.1652,2.5174,0.0,0.0001,0.1375,"[{""wins"":0,""probability"":0.0003},{""wins"":1,""probability"":0.0129},{""wins"":2,""probability"":0.0734},{""wins"":3,""probability"":0.2105},{""wins"":4,""probability"":0.3127},{""wins"":5,""probability"":0.2527},{""wins"":6,""probability"":0.1067},{""wins"":7,""probability"":0.0271},{""wins"":8,""probability"":0.0035},{""wins"":9,""probability"":0.0002}]"
