hfa,games,mae,rmse,mean_error,median_error,within_1_point_pct,within_2_points_pct,distance_from_2_5,holdout_season,training_seasons
2.12,899,3.3798220244716353,4.392735382188532,-0.41559510567296964,-0.5799999999999983,19.13236929922136,38.82091212458287,0.3799999999999999,2023,"2021,2022"
2.11,899,3.380678531701891,4.393692756673422,-0.42559510567297043,-0.5899999999999999,19.13236929922136,38.82091212458287,0.3900000000000001,2023,"2021,2022"
3.12,899,3.3807119021134597,4.4119081956207,0.5844048943270302,0.4200000000000017,20.467185761957733,39.04338153503893,0.6200000000000001,2023,"2021,2022"
2.1,899,3.381535038932147,4.394672677476441,-0.4355951056729697,-0.5999999999999996,19.46607341490545,39.93325917686318,0.3999999999999999,2023,"2021,2022"
3.13,899,3.3817463848720797,4.413243934394703,0.5944048943270298,0.4299999999999997,20.467185761957733,39.04338153503893,0.6299999999999999,2023,"2021,2022"
2.09,899,3.3825695216907676,4.395675129518947,-0.44559510567297,-0.6099999999999994,19.13236929922136,39.15461624026697,0.41000000000000014,2023,"2021,2022"
3.14,899,3.3827808676307005,4.414601921165506,0.6044048943270304,0.4400000000000013,20.467185761957733,39.04338153503893,0.6400000000000001,2023,"2021,2022"
2.08,899,3.383604004449388,4.396700097389504,-0.4555951056729701,-0.6199999999999992,19.13236929922136,39.15461624026697,0.41999999999999993,2023,"2021,2022"
3.15,899,3.383815350389322,4.41598213540824,0.6144048943270298,0.45000000000000107,20.467185761957733,39.04338153503893,0.6499999999999999,2023,"2021,2022"
2.07,899,3.384638487208009,4.3977475653450515,-0.46559510567296986,-0.629999999999999,19.13236929922136,39.15461624026697,0.43000000000000016,2023,"2021,2022"
3.16,899,3.384849833147942,4.417384556287947,0.6244048943270302,0.46000000000000085,20.467185761957733,39.04338153503893,0.6600000000000001,2023,"2021,2022"
2.06,899,3.3856729699666297,4.3988175173121,-0.47559510567297,-0.6399999999999988,19.13236929922136,39.15461624026697,0.43999999999999995,2023,"2021,2022"
