game_id,week,date,away_team,home_team,signal_team,signal_opponent,signal_side,overall_rp_edge,offense_vs_defense_edge,defense_vs_offense_edge,model_field,projected_home_margin,full_game_model_betting_spread,estimated_1h_spread,estimated_1h_role,candidate_a_defensive_favorite,candidate_b_offensive_underdog,candidate_key,candidate_label,historical_record,historical_ats_pct,historical_avg_ats_margin,historical_median_ats_margin
g264,4,2026-09-26,UNLV,Akron,Akron,UNLV,home,0.0,4.0,-3.0,projection_spread_home,-17.54,17.54,8.77,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g289,4,2026-09-26,Ball State,Kent State,Ball State,Kent State,away,-12.0,8.0,-33.0,projection_spread_home,4.4275,4.4275,2.21375,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g295,4,2026-09-26,Central Michigan,Miami-FL,Central Michigan,Miami-FL,away,-3.0,11.0,-19.0,projection_spread_home,37.3275,37.3275,18.66375,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g275,4,2026-09-26,Kansas State,Cincinnati,Cincinnati,Kansas State,home,-1.0,6.0,-9.0,projection_spread_home,-2.44,2.44,1.22,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g305,4,2026-09-26,Illinois,Ohio State,Illinois,Ohio State,away,-10.0,2.0,-24.0,projection_spread_home,24.425,24.425,12.2125,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g326,4,2026-09-26,Minnesota,Washington,Minnesota,Washington,away,3.0,10.0,-4.0,projection_spread_home,12.2075,12.2075,6.10375,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g299,4,2026-09-26,Missouri,Mississippi State,Mississippi State,Missouri,home,-1.0,4.0,-7.0,projection_spread_home,-6.4875,6.4875,3.24375,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g285,4,2026-09-26,Northern Illinois,Georgia State,Northern Illinois,Georgia State,away,10.0,41.0,-20.0,projection_spread_home,0.2625,0.2625,0.13125,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g283,4,2026-09-26,Oklahoma,Georgia,Oklahoma,Georgia,away,-3.0,3.0,-8.0,projection_spread_home,8.5025,8.5025,4.25125,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g328,4,2026-09-26,Oklahoma State,West Virginia,Oklahoma State,West Virginia,away,6.0,16.0,-4.0,projection_spread_home,2.5375,2.5375,1.26875,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g314,4,2026-09-26,Army,Temple,Temple,Army,home,3.0,29.0,-24.0,projection_spread_home,-3.4475,3.4475,1.72375,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g321,4,2026-09-26,Oregon,USC,USC,Oregon,home,-1.0,1.0,-1.0,projection_spread_home,-6.8175,6.8175,3.40875,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g330,4,2026-09-26,Boise State,Western Michigan,Western Michigan,Boise State,home,-6.0,5.0,-18.0,projection_spread_home,-8.4725,8.4725,4.23625,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g331,4,2026-09-26,Hawaii,Wyoming,Wyoming,Hawaii,home,-5.0,6.0,-18.0,projection_spread_home,-5.1125,5.1125,2.55625,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
