season,team,overall,overall_rank,offense,offense_rank,defense,defense_rank,source
2024,Charlotte,61,71,65,51,57,70,Bill Connelly/SP+ returning production 2024
2024,Houston,61,72,59,72,63,50,Bill Connelly/SP+ returning production 2024
2024,Michigan St.,61,73,48,103,74,16,Bill Connelly/SP+ returning production 2024
2024,Notre Dame,60,74,61,67,60,63,Bill Connelly/SP+ returning production 2024
2024,Liberty,60,75,63,60,57,69,Bill Connelly/SP+ returning production 2024
2024,Vanderbilt,60,76,54,87,65,46,Bill Connelly/SP+ returning production 2024
2024,Texas St.,60,77,54,91,65,42,Bill Connelly/SP+ returning production 2024
2024,Kansas,59,78,62,63,56,76,Bill Connelly/SP+ returning production 2024
2024,Nevada,59,79,62,65,55,79,Bill Connelly/SP+ returning production 2024
2024,NC St.,59,80,65,52,53,88,Bill Connelly/SP+ returning production 2024
2024,Boise St.,59,81,46,108,71,23,Bill Connelly/SP+ returning production 2024
2024,Kansas St.,58,82,37,123,80,4,Bill Connelly/SP+ returning production 2024
2024,Florida St.,58,83,56,81,60,62,Bill Connelly/SP+ returning production 2024
2024,So. Miss,56,84,49,101,63,51,Bill Connelly/SP+ returning production 2024
2024,Indiana,56,85,59,74,53,87,Bill Connelly/SP+ returning production 2024
2024,UConn,55,86,54,90,57,71,Bill Connelly/SP+ returning production 2024
2024,Wash. St.,55,87,57,80,53,85,Bill Connelly/SP+ returning production 2024
2024,Duke,55,88,53,93,57,73,Bill Connelly/SP+ returning production 2024
2024,Hawaii,55,89,60,71,49,104,Bill Connelly/SP+ returning production 2024
2024,Temple,54,90,46,106,62,55,Bill Connelly/SP+ returning production 2024
2024,N. Texas,54,91,42,115,66,39,Bill Connelly/SP+ returning production 2024
2024,Akron,53,92,43,113,63,52,Bill Connelly/SP+ returning production 2024
2024,Texas Tech,52,93,54,88,50,101,Bill Connelly/SP+ returning production 2024
2024,Tennessee,52,94,46,107,58,66,Bill Connelly/SP+ returning production 2024
2024,UCLA,51,95,51,97,51,97,Bill Connelly/SP+ returning production 2024
