threshold,direction_model,magnitude_model,balanced_accuracy,macro_f1,direction_accuracy,mae,rmse,component,n,median_absolute_error,signed_bias,correlation,within_1,within_2,within_3,accuracy,per_class
0.75,gradient_boosted_stumps,ridge,0.6197192395253942,0.6276844907127054,0.635036496350365,0.6153437655210557,0.8450484582044928,defense,,,,,,,,,
0.75,gradient_boosted_stumps,elastic,0.6197192395253942,0.6276844907127054,0.635036496350365,0.6402595393745653,0.8911487062235876,defense,,,,,,,,,
0.25,ordinal_ridge_proxy,two_stage,0.5983014380793247,0.5982124367168385,0.6776155717761557,0.5848794136833289,0.8007762962035496,defense,,,,,,,,,
0.25,ordinal_ridge_proxy,huber,0.5983014380793247,0.5982124367168385,0.6776155717761557,0.6093760326677121,0.8396091511139457,defense,,,,,,,,,
0.25,ordinal_ridge_proxy,ridge,0.5983014380793247,0.5982124367168385,0.6776155717761557,0.6153437655210557,0.8450484582044928,defense,,,,,,,,,
0.25,ordinal_ridge_proxy,elastic,0.5983014380793247,0.5982124367168385,0.6776155717761557,0.6402595393745653,0.8911487062235876,defense,,,,,,,,,
0.25,gradient_boosted_stumps,two_stage,0.5846101016012833,0.5821064284860763,0.6496350364963503,0.5848794136833289,0.8007762962035496,defense,,,,,,,,,
0.25,gradient_boosted_stumps,huber,0.5846101016012833,0.5821064284860763,0.6496350364963503,0.6093760326677121,0.8396091511139457,defense,,,,,,,,,
0.25,gradient_boosted_stumps,ridge,0.5846101016012833,0.5821064284860763,0.6496350364963503,0.6153437655210557,0.8450484582044928,defense,,,,,,,,,
0.25,gradient_boosted_stumps,elastic,0.5846101016012833,0.5821064284860763,0.6496350364963503,0.6402595393745653,0.8911487062235876,defense,,,,,,,,,
1.0,rules_based,huber,0.5772270834164132,0.5009093632373436,0.4951338199513382,0.6093760326677121,0.8396091511139457,defense,,,,,,,,,
1.0,rules_based,ridge,0.5772270834164132,0.5009093632373436,0.4951338199513382,0.6153437655210557,0.8450484582044928,defense,,,,,,,,,
1.0,rules_based,two_stage,0.5772270834164132,0.5009093632373436,0.4951338199513382,0.6343458044850588,0.8335050572110462,defense,,,,,,,,,
1.0,rules_based,elastic,0.5772270834164132,0.5009093632373436,0.4951338199513382,0.6402595393745653,0.8911487062235876,defense,,,,,,,,,
0.25,multinomial_logistic,two_stage,0.5638491788890952,0.5136886505307557,0.708029197080292,0.5848794136833289,0.8007762962035496,defense,,,,,,,,,
0.25,multinomial_logistic,huber,0.5638491788890952,0.5136886505307557,0.708029197080292,0.6093760326677121,0.8396091511139457,defense,,,,,,,,,
0.25,multinomial_logistic,ridge,0.5638491788890952,0.5136886505307557,0.708029197080292,0.6153437655210557,0.8450484582044928,defense,,,,,,,,,
0.25,multinomial_logistic,elastic,0.5638491788890952,0.5136886505307557,0.708029197080292,0.6402595393745653,0.8911487062235876,defense,,,,,,,,,
0.75,rules_based,two_stage,0.5616352815578799,0.5251310487129394,0.5255474452554745,0.6039147194091927,0.8113476786297428,defense,,,,,,,,,
0.75,rules_based,huber,0.5616352815578799,0.5251310487129394,0.5255474452554745,0.6093760326677121,0.8396091511139457,defense,,,,,,,,,
0.75,rules_based,ridge,0.5616352815578799,0.5251310487129394,0.5255474452554745,0.6153437655210557,0.8450484582044928,defense,,,,,,,,,
0.75,rules_based,elastic,0.5616352815578799,0.5251310487129394,0.5255474452554745,0.6402595393745653,0.8911487062235876,defense,,,,,,,,,
0.5,rules_based,two_stage,0.5513301288045986,0.524449386834708,0.5559610705596107,0.5950523688372518,0.8055252712855329,defense,,,,,,,,,
0.5,rules_based,huber,0.5513301288045986,0.524449386834708,0.5559610705596107,0.6093760326677121,0.8396091511139457,defense,,,,,,,,,
0.5,rules_based,ridge,0.5513301288045986,0.524449386834708,0.5559610705596107,0.6153437655210557,0.8450484582044928,defense,,,,,,,,,
0.5,rules_based,elastic,0.5513301288045986,0.524449386834708,0.5559610705596107,0.6402595393745653,0.8911487062235876,defense,,,,,,,,,
1.0,gradient_boosted_stumps,huber,0.5510440781699615,0.5623488693383837,0.6690997566909975,0.6093760326677121,0.8396091511139457,defense,,,,,,,,,
1.0,gradient_boosted_stumps,ridge,0.5510440781699615,0.5623488693383837,0.6690997566909975,0.6153437655210557,0.8450484582044928,defense,,,,,,,,,
1.0,gradient_boosted_stumps,two_stage,0.5510440781699615,0.5623488693383837,0.6690997566909975,0.6343458044850588,0.8335050572110462,defense,,,,,,,,,
1.0,gradient_boosted_stumps,elastic,0.5510440781699615,0.5623488693383837,0.6690997566909975,0.6402595393745653,0.8911487062235876,defense,,,,,,,,,
0.25,rules_based,two_stage,0.5143675743223948,0.499337988472016,0.6253041362530414,0.5848794136833289,0.8007762962035496,defense,,,,,,,,,
