game_id_example,week_example,away_team_example,home_team_example,team,coach,segment,role,ats_record,ats_pct,ats_sample_size,ou_record,over_pct,ou_sample_size,ats_margin,total_margin
g13,1.0,West Georgia,Kennesaw State,West Georgia,,Full game role,Underdog,,,,,,,,
g13,1.0,West Georgia,Kennesaw State,Kennesaw State,Jerry Mack,Full game role,Favorite,6-3-0,66.67,9.0,5-4-0,55.559999999999995,9.0,-0.22,3.06
g13,1.0,West Georgia,Kennesaw State,Kennesaw State,Jerry Mack,Full game role,Underdog,3-1-0,75.0,4.0,1-3-0,25.0,4.0,12.25,-8.0
g13,1.0,West Georgia,Kennesaw State,Kennesaw State,Jerry Mack,Full game role,Favorite,2-6-0,25.0,8.0,3-5-0,37.5,8.0,-1.62,1.75
g13,1.0,West Georgia,Kennesaw State,Kennesaw State,Jerry Mack,Full game role,Underdog,3-1-0,75.0,4.0,2-2-0,50.0,4.0,-3.75,-1.12
g13,1.0,West Georgia,Kennesaw State,Kennesaw State,Jerry Mack,Full game role,Favorite,3-3-0,50.0,6.0,3-3-0,50.0,6.0,-2.92,4.08
g13,1.0,West Georgia,Kennesaw State,Kennesaw State,Jerry Mack,Full game role,Underdog,3-2-0,60.0,5.0,0-5-0,0.0,5.0,5.4,-7.1
g14,1.0,Eastern Illinois,Minnesota,Eastern Illinois,,Full game role,Favorite,,,,,,,,
g14,1.0,Eastern Illinois,Minnesota,Eastern Illinois,,Full game role,Underdog,,,,,,,,
g14,1.0,Eastern Illinois,Minnesota,Minnesota,P. J. Fleck,Full game role,Favorite,,,,,,,,
g14,1.0,Eastern Illinois,Minnesota,Minnesota,P. J. Fleck,Full game role,Underdog,,,,,,,,
g15,1.0,UAPB,Missouri,UAPB,,Full game role,Favorite,,,,,,,,
g15,1.0,UAPB,Missouri,UAPB,,Full game role,Underdog,,,,,,,,
g15,1.0,UAPB,Missouri,Missouri,Eli Drinkwitz,Full game role,Favorite,26-21-0,55.32,47.0,23-22-0,51.11,45.0,1.02,4.27
g15,1.0,UAPB,Missouri,Missouri,Eli Drinkwitz,Full game role,Underdog,20-15-1,57.14,36.0,16-18-0,47.06,34.0,1.08,-2.25
g15,1.0,UAPB,Missouri,Missouri,Eli Drinkwitz,Full game role,Favorite,7-10-0,41.18,17.0,7-10-0,41.18,17.0,-2.03,-0.35
g15,1.0,UAPB,Missouri,Missouri,Eli Drinkwitz,Full game role,Underdog,1-8-0,11.110000000000001,9.0,6-3-0,66.67,9.0,-6.61,-0.5
g15,1.0,UAPB,Missouri,Missouri,Eli Drinkwitz,Full game role,Favorite,14-5-0,73.68,19.0,9-10-0,47.370000000000005,19.0,1.66,1.76
g15,1.0,UAPB,Missouri,Missouri,Eli Drinkwitz,Full game role,Underdog,2-5-0,28.57,7.0,3-4-0,42.86,7.0,-1.0,1.79
g16,1.0,Massachusetts,Rutgers,Massachusetts,Joe Harasymiak,Full game role,Favorite,0-1-0,0.0,1.0,1-0-0,100.0,1.0,-15.5,1.0
g16,1.0,Massachusetts,Rutgers,Massachusetts,Joe Harasymiak,Full game role,Underdog,3-8-0,27.27,11.0,8-3-0,72.72999999999999,11.0,-11.77,0.59
g16,1.0,Massachusetts,Rutgers,Massachusetts,Joe Harasymiak,Full game role,Favorite,1-1-0,50.0,2.0,2-0-0,100.0,2.0,-2.0,4.0
g16,1.0,Massachusetts,Rutgers,Massachusetts,Joe Harasymiak,Full game role,Underdog,4-4-0,50.0,8.0,5-3-0,62.5,8.0,0.62,4.62
g16,1.0,Massachusetts,Rutgers,Massachusetts,Joe Harasymiak,Full game role,Favorite,0-1-0,0.0,1.0,0-1-0,0.0,1.0,-17.5,-1.5
g16,1.0,Massachusetts,Rutgers,Massachusetts,Joe Harasymiak,Full game role,Underdog,0-9-0,0.0,9.0,2-7-0,22.220000000000002,9.0,-3.33,-2.5
g16,1.0,Massachusetts,Rutgers,Rutgers,Greg Schiano,Full game role,Favorite,16-10-0,61.53999999999999,26.0,15-11-0,57.69,26.0,1.54,4.5
g16,1.0,Massachusetts,Rutgers,Rutgers,Greg Schiano,Full game role,Underdog,18-21-4,46.150000000000006,43.0,21-21-0,50.0,42.0,-1.41,0.73
g16,1.0,Massachusetts,Rutgers,Rutgers,Greg Schiano,Full game role,Favorite,9-3-0,75.0,12.0,6-6-0,50.0,12.0,2.71,2.75
g16,1.0,Massachusetts,Rutgers,Rutgers,Greg Schiano,Full game role,Underdog,4-8-0,33.33,12.0,7-5-0,58.330000000000005,12.0,-1.58,3.0
g16,1.0,Massachusetts,Rutgers,Rutgers,Greg Schiano,Full game role,Favorite,5-3-0,62.5,8.0,6-2-0,75.0,8.0,-4.06,7.38
g16,1.0,Massachusetts,Rutgers,Rutgers,Greg Schiano,Full game role,Underdog,7-7-0,50.0,14.0,7-7-0,50.0,14.0,0.21,-0.32
g17,1.0,Idaho,Utah,Idaho,,Full game role,Favorite,,,,,,,,
g17,1.0,Idaho,Utah,Idaho,,Full game role,Underdog,,,,,,,,
g17,1.0,Idaho,Utah,Utah,Morgan Scalley,Full game role,Favorite,,,,,,,,
g17,1.0,Idaho,Utah,Utah,Morgan Scalley,Full game role,Underdog,,,,,,,,
g18,1.0,Akron,Wake Forest,Akron,Joe Moorhead,Full game role,Favorite,13-11-1,54.169999999999995,25.0,13-10-0,56.52,23.0,2.18,-0.78
g18,1.0,Akron,Wake Forest,Akron,Joe Moorhead,Full game role,Underdog,24-22-0,52.17,46.0,18-27-0,40.0,45.0,-0.58,-2.07
g18,1.0,Akron,Wake Forest,Akron,Joe Moorhead,Full game role,Favorite,4-1-0,80.0,5.0,5-0-0,100.0,5.0,3.9,7.6
g18,1.0,Akron,Wake Forest,Akron,Joe Moorhead,Full game role,Underdog,7-8-0,46.67,15.0,9-6-0,60.0,15.0,-0.8,-0.7
g18,1.0,Akron,Wake Forest,Akron,Joe Moorhead,Full game role,Favorite,2-3-0,40.0,5.0,3-2-0,60.0,5.0,-5.5,8.3
g18,1.0,Akron,Wake Forest,Wake Forest,Jake Dickert,Full game role,Favorite,19-13-0,59.38,32.0,17-15-0,53.12,32.0,1.88,0.78
g18,1.0,Akron,Wake Forest,Wake Forest,Jake Dickert,Full game role,Underdog,17-11-0,60.709999999999994,28.0,12-16-0,42.86,28.0,2.64,-4.05
g18,1.0,Akron,Wake Forest,Wake Forest,Jake Dickert,Full game role,Favorite,4-1-0,80.0,5.0,3-2-0,60.0,5.0,8.7,0.5
g18,1.0,Akron,Wake Forest,Wake Forest,Jake Dickert,Full game role,Underdog,5-2-0,71.43,7.0,3-4-0,42.86,7.0,7.57,0.64
g18,1.0,Akron,Wake Forest,Wake Forest,Jake Dickert,Full game role,Favorite,3-2-0,60.0,5.0,3-2-0,60.0,5.0,-1.8,0.0
g18,1.0,Akron,Wake Forest,Wake Forest,Jake Dickert,Full game role,Underdog,2-5-0,28.57,7.0,4-3-0,57.14,7.0,-3.93,2.0
g20,1.0,North Carolina A&T,Georgia State,North Carolina A&T,,Full game role,Favorite,,,,,,,,
g20,1.0,North Carolina A&T,Georgia State,North Carolina A&T,,Full game role,Underdog,,,,,,,,
g20,1.0,North Carolina A&T,Georgia State,Georgia State,Dell McGee,Full game role,Favorite,0-6-0,0.0,6.0,2-4-0,33.33,6.0,-14.0,-3.25
g20,1.0,North Carolina A&T,Georgia State,Georgia State,Dell McGee,Full game role,Underdog,5-12-1,29.409999999999997,18.0,10-7-1,58.81999999999999,18.0,-2.33,3.94
g20,1.0,North Carolina A&T,Georgia State,Georgia State,Dell McGee,Full game role,Favorite,0-1-0,0.0,1.0,1-0-0,100.0,1.0,-2.5,2.5
g20,1.0,North Carolina A&T,Georgia State,Georgia State,Dell McGee,Full game role,Underdog,6-4-0,60.0,10.0,5-5-0,50.0,10.0,1.9,-2.15
g20,1.0,North Carolina A&T,Georgia State,Georgia State,Dell McGee,Full game role,Favorite,0-2-0,0.0,2.0,2-0-0,100.0,2.0,-6.5,10.0
g20,1.0,North Carolina A&T,Georgia State,Georgia State,Dell McGee,Full game role,Underdog,2-7-0,22.220000000000002,9.0,4-5-0,44.440000000000005,9.0,-6.0,-1.06
g21,1.0,LIU,Kansas,LIU,,Full game role,Favorite,,,,,,,,
g21,1.0,LIU,Kansas,LIU,,Full game role,Underdog,,,,,,,,
g21,1.0,LIU,Kansas,Kansas,Lance Leipold,Full game role,Favorite,29-31-0,48.33,60.0,30-22-1,57.69,53.0,-0.61,1.25
g21,1.0,LIU,Kansas,Kansas,Lance Leipold,Full game role,Underdog,34-27-4,55.74,65.0,26-22-0,54.169999999999995,48.0,2.2,3.44
g21,1.0,LIU,Kansas,Kansas,Lance Leipold,Full game role,Favorite,3-12-0,20.0,15.0,11-4-0,73.33,15.0,-4.67,2.6
