game_id,week,date,away_team,home_team,away_rp_found,home_rp_found,spread_like_field_count,spread_like_fields,away_overall,away_offense,away_defense,home_overall,home_offense,home_defense,away_off_vs_def,away_def_vs_off,home_off_vs_def,home_def_vs_off,away_candidate_a_rp_only,home_candidate_a_rp_only,away_candidate_b_rp_only,home_candidate_b_rp_only
g48,1.0,2026-09-05,Liberty,James Madison,True,True,14,"{""blend_spread_home"": 12.19, ""market_best_away_spread_home"": -6.5, ""market_best_away_spread_price"": -110.0, ""market_best_home_spread_home"": -6.5, ""market_best_home_spread_price"": -105.0, ""market_spread_hold_away_line"": 6.5, ""market_spread_hold_home_line"": -6.5, ""market_spread_hold_pct"": 3.6, ""market_spread_home"": -6.5, ""market_spread_open_home"": -6.0, ""market_spread_price"": -105.0, ""projected_margin_home"": 12.19, ""projection_spread_home"": 12.19, ""site_spread_home"": 12.19}",57.0,,,30.0,,,,,,,False,False,False,False
g49,1.0,2026-09-05,Eastern Kentucky,Jacksonville State,False,True,0,{},,,,,,,,,,,,,,
g50,1.0,2026-09-05,Nicholls,Kansas State,False,True,0,{},,,,,,,,,,,,,,
g51,1.0,2026-09-05,Youngstown State,Kentucky,False,True,9,"{""market_best_away_spread_home"": -24.5, ""market_best_away_spread_price"": -106.0, ""market_best_home_spread_home"": -24.5, ""market_best_home_spread_price"": -114.0, ""market_spread_hold_away_line"": 24.5, ""market_spread_hold_home_line"": -24.5, ""market_spread_hold_pct"": 4.73, ""market_spread_home"": -24.5, ""market_spread_price"": -114.0}",,,,,,,,,,,,,,
g52,1.0,2026-09-05,Clemson,LSU,True,True,14,"{""blend_spread_home"": 9.8, ""market_best_away_spread_home"": -10.5, ""market_best_away_spread_price"": -105.0, ""market_best_home_spread_home"": -10.5, ""market_best_home_spread_price"": -106.0, ""market_spread_hold_away_line"": 10.5, ""market_spread_hold_home_line"": -10.5, ""market_spread_hold_pct"": 2.68, ""market_spread_home"": -10.5, ""market_spread_open_home"": -11.5, ""market_spread_price"": -106.0, ""projected_margin_home"": 9.8, ""projection_spread_home"": 9.8, ""site_spread_home"": 9.8}",53.0,,,61.0,,,,,,,False,False,False,False
g53,1.0,2026-09-05,Lamar,Louisiana,False,False,6,"{""market_best_away_spread_home"": -17.5, ""market_best_away_spread_price"": -110.0, ""market_best_home_spread_home"": -17.5, ""market_best_home_spread_price"": -110.0, ""market_spread_home"": -17.5, ""market_spread_price"": -110.0}",,,,,,,,,,,,,,
g54,1.0,2026-09-05,Northwestern State,Louisiana Tech,False,True,0,{},,,,,,,,,,,,,,
g55,1.0,2026-09-05,Hampton,Maryland,False,True,6,"{""market_best_away_spread_home"": -43.5, ""market_best_away_spread_price"": -110.0, ""market_best_home_spread_home"": -43.5, ""market_best_home_spread_price"": -110.0, ""market_spread_home"": -43.5, ""market_spread_price"": -110.0}",,,,,,,,,,,,,,
g56,1.0,2026-09-05,Arkansas State,Memphis,True,True,14,"{""blend_spread_home"": 11.03, ""market_best_away_spread_home"": -10.5, ""market_best_away_spread_price"": -110.0, ""market_best_home_spread_home"": -10.5, ""market_best_home_spread_price"": -109.0, ""market_spread_hold_away_line"": 10.5, ""market_spread_hold_home_line"": -10.5, ""market_spread_hold_pct"": 4.53, ""market_spread_home"": -10.5, ""market_spread_open_home"": -10.5, ""market_spread_price"": -109.0, ""projected_margin_home"": 11.03, ""projection_spread_home"": 11.03, ""site_spread_home"": 11.03}",49.0,,,42.0,,,,,,,False,False,False,False
g57,1.0,2026-09-05,Western Michigan,Michigan,True,True,14,"{""blend_spread_home"": 25.26, ""market_best_away_spread_home"": -26.5, ""market_best_away_spread_price"": -105.0, ""market_best_home_spread_home"": -26.5, ""market_best_home_spread_price"": -110.0, ""market_spread_hold_away_line"": 26.5, ""market_spread_hold_home_line"": -26.5, ""market_spread_hold_pct"": 3.6, ""market_spread_home"": -26.5, ""market_spread_open_home"": -26.5, ""market_spread_price"": -110.0, ""projected_margin_home"": 25.26, ""projection_spread_home"": 25.26, ""site_spread_home"": 25.26}",51.0,,,63.0,,,,,,,False,False,False,False
