model_id,checkpoint,threshold,sample_classification,n,record,wins,losses,pushes,win_pct,roi,avg_clv,median_clv,positive_clv_pct,beat_close_pct,won_line_move_pct,clv_implied_ev,mae,rmse,bias,avg_edge,median_edge
spread_4src_25_25_25_25_v1,SAT_11PM_ET,1.5,ESTABLISHED_EXISTING_STUDY,267,146-117-4,146,117,4,0.5551330798479087,0.05751793561264074,1.256554307116105,1.0,0.6441947565543071,0.6441947565543071,0.7678571428571429,,11.601395131086143,14.510220773834929,-0.23047752808988767,3.266189138576779,2.925
spread_4src_25_25_25_25_v1,SAT_11PM_ET,2.0,ESTABLISHED_EXISTING_STUDY,210,119-90-1,119,90,1,0.569377990430622,0.08469408526807566,1.5119047619047619,1.0,0.6904761904761905,0.6904761904761905,0.8055555555555556,,11.588416666666667,14.680331447171401,0.06472619047619048,3.6827500000000004,3.32625
spread_4src_25_25_25_25_v1,SAT_11PM_ET,2.5,ESTABLISHED_EXISTING_STUDY,171,101-69-1,101,69,1,0.5941176470588235,0.13134428131635614,1.628654970760234,1.5,0.7076023391812866,0.7076023391812866,0.8013245033112583,,11.915102339181287,15.128184601425094,0.1923245614035088,4.017909356725146,3.5825
spread_4src_25_25_25_25_v1,SAT_11PM_ET,3.0,ESTABLISHED_EXISTING_STUDY,126,74-51-1,74,51,1,0.592,0.1266384518043373,1.7261904761904763,1.5,0.7222222222222222,0.7222222222222222,0.8272727272727273,,11.639623015873019,15.167565761877315,1.3541071428571427,4.4678373015873,4.06125
spread_4src_25_25_25_25_v1,SAT_11PM_ET,3.5,ESTABLISHED_EXISTING_STUDY,90,51-39-0,51,39,0,0.5666666666666667,0.0776133284308529,1.711111111111111,1.5,0.7,0.7,0.7974683544303798,,11.296555555555557,14.75107950381184,1.6269999999999998,4.9479999999999995,4.463749999999999
spread_4src_25_25_25_25_v1,SAT_11PM_ET,4.0,ESTABLISHED_EXISTING_STUDY,65,37-28-0,37,28,0,0.5692307692307692,0.0811154725937818,2.0692307692307694,2.0,0.7538461538461538,0.7538461538461538,0.8448275862068966,,11.887730769230771,15.382380420593107,1.0511153846153842,5.414115384615384,4.9625
spread_4src_25_25_25_25_v1,SAT_11PM_ET,4.5,ESTABLISHED_EXISTING_STUDY,44,22-22-0,22,22,0,0.5,-0.05419221104984718,2.272727272727273,2.0,0.75,0.75,0.8048780487804879,,13.228011363636364,16.628315001861626,0.8315340909090907,5.9616477272727275,5.2675
spread_4src_25_25_25_25_v1,SAT_11PM_ET,5.0,ESTABLISHED_EXISTING_STUDY,31,15-16-0,15,16,0,0.4838709677419355,-0.0820448904654545,2.096774193548387,1.5,0.6451612903225806,0.6451612903225806,0.7142857142857143,,13.939999999999998,17.511395114923534,0.2054838709677421,6.467419354838711,6.225
spread_4src_25_25_25_25_v1,SAT_11PM_ET,6.0,ESTABLISHED_EXISTING_STUDY,17,9-8-0,9,8,0,0.5294117647058824,-0.004971596797331259,2.0588235294117645,2.0,0.7058823529411765,0.7058823529411765,0.7058823529411765,,13.799117647058821,16.66394893528083,0.27235294117647074,7.436764705882354,7.29
spread_4src_25_25_25_25_v1,SAT_11PM_ET,7.0,ESTABLISHED_EXISTING_STUDY,10,6-4-0,6,4,0,0.6,0.13171545968156134,2.8,3.25,0.8,0.8,0.8,,10.28225,12.850588289062877,-1.7102499999999998,8.17325,7.805
