model_id,threshold,week_scope,n,record,wins,losses,pushes,win_pct,roi,avg_clv,median_clv,positive_clv_pct,beat_close_pct,won_line_move_pct,clv_implied_ev,mae,rmse,bias,avg_edge,median_edge
total_sp50_massey50_v1,5.0,W0-4,335,199-133-3,199,133,3,0.5993975903614458,0.14301221166892808,0.44477611940298506,0.0,0.4059701492537313,0.4059701492537313,0.6267281105990783,,12.676940298507462,16.263601598056272,-0.3318656716417913,6.77455223880597,6.25
total_sp50_massey50_v1,5.0,W5+,767,402-364-1,402,364,1,0.5248041775456919,0.0018964086760697007,0.3650586701434159,0.0,0.35853976531942633,0.35853976531942633,0.6030701754385965,,13.559354628422424,16.941305247844745,1.4935136897001302,6.663265971316818,6.174999999999997
total_sp50_massey50_v1,6.0,W0-2,104,63-40-1,63,40,1,0.6116504854368932,0.1660839160839161,0.5,0.0,0.46153846153846156,0.46153846153846156,0.7272727272727273,,12.672836538461537,15.833541981587452,2.257451923076923,7.6670673076923075,7.112500000000001
total_sp50_massey50_v1,6.0,W0-4,237,144-92-1,144,92,1,0.6101694915254238,0.1641733793632528,0.4578059071729958,0.0,0.379746835443038,0.379746835443038,0.6666666666666666,,12.92710970464135,16.167533280744042,0.31677215189873403,7.633016877637131,7.049999999999997
total_sp50_massey50_v1,6.0,W5+,511,273-237-1,273,237,1,0.5352941176470588,0.021882227361679427,0.388454011741683,0.0,0.3287671232876712,0.3287671232876712,0.5957446808510638,,13.730479452054794,17.066663891617264,2.556017612524462,7.580479452054795,7.100000000000001
total_sp50_massey50_v1,7.0,W0-2,69,39-30-0,39,30,0,0.5652173913043478,0.07905138339920947,0.7391304347826086,0.0,0.4492753623188406,0.4492753623188406,0.7948717948717948,,13.405797101449274,16.47641155352583,2.32536231884058,8.744927536231884,8.174999999999997
total_sp50_massey50_v1,7.0,W0-4,151,94-56-1,94,56,1,0.6266666666666667,0.1950632149307646,0.5198675496688742,0.0,0.3509933774834437,0.3509933774834437,0.7162162162162162,,12.42698675496689,15.800769770208218,0.05413907284768229,8.699172185430463,8.075000000000003
total_sp50_massey50_v1,7.0,W5+,309,162-147-0,162,147,0,0.5242718446601942,0.0008826125330979721,0.3446601941747573,0.0,0.32362459546925565,0.32362459546925565,0.5780346820809249,,14.025485436893204,17.514236754071526,2.937783171521036,8.56173139158576,7.950000000000003
total_sp50_massey50_v1,8.0,W0-2,40,19-21-0,19,21,0,0.475,-0.09318181818181817,0.825,0.0,0.45,0.45,0.782608695652174,,15.09375,17.916314143818756,1.2,9.852500000000001,9.662500000000001
total_sp50_massey50_v1,8.0,W0-4,86,53-33-0,53,33,0,0.6162790697674418,0.17653276955602534,0.627906976744186,0.0,0.36046511627906974,0.36046511627906974,0.7209302325581395,,12.832848837209305,16.21104566193953,-0.12994186046511633,9.87936046511628,9.55
total_sp50_massey50_v1,8.0,W5+,198,110-87-1,110,87,1,0.5583756345177665,0.06565656565656565,0.4696969696969697,0.0,0.31313131313131315,0.31313131313131315,0.6526315789473685,,14.168813131313133,17.90858018711092,3.274873737373737,9.593055555555555,9.0
total_sp50_massey50_v1,9.0,W0-2,31,16-14-1,16,14,1,0.5333333333333333,0.017595307917888565,1.064516129032258,0.5,0.5161290322580645,0.5161290322580645,0.8421052631578947,,14.029838709677419,16.753841037688314,-1.7362903225806452,10.415322580645162,10.225000000000001
total_sp50_massey50_v1,9.0,W0-4,63,41-21-1,41,21,1,0.6612903225806451,0.2582972582972582,0.753968253968254,0.0,0.42857142857142855,0.42857142857142855,0.7714285714285715,,11.858730158730157,14.807538432988936,-1.7738095238095235,10.487301587301587,10.25
total_sp50_massey50_v1,9.0,W5+,116,64-51-1,64,51,1,0.5565217391304348,0.061912225705329164,0.4396551724137931,0.0,0.3017241379310345,0.3017241379310345,0.6862745098039216,,15.439008620689656,18.86371822578264,3.2670258620689663,10.643749999999999,10.175
total_sp50_massey50_v1,10.0,W0-2,19,9-9-1,9,9,1,0.5,-0.043062200956937795,1.105263157894737,0.5,0.5263157894736842,0.5263157894736842,0.8333333333333334,,15.209210526315788,18.091128059733705,-2.1539473684210537,11.048684210526316,10.924999999999997
total_sp50_massey50_v1,10.0,W0-4,40,26-13-1,26,13,1,0.6666666666666666,0.26590909090909093,0.8125,0.0,0.45,0.45,0.8181818181818182,,11.660625,14.633517284815705,-0.38312500000000005,11.275625,11.087500000000002
total_sp50_massey50_v1,10.0,W5+,68,35-31-2,35,31,2,0.5303030303030303,0.012032085561497326,0.5588235294117647,0.0,0.3382352941176471,0.3382352941176471,0.71875,,15.558823529411764,18.999741194057787,4.633088235294117,11.610294117647058,11.337500000000002
