checkpoint,threshold,cohort,evaluated_model,side_agreement_n,side_disagreement_n,n,record,wins,losses,pushes,win_pct,roi,avg_clv,median_clv,positive_clv_pct,beat_close_pct,won_line_move_pct,clv_implied_ev,mae,rmse,bias,avg_edge,median_edge
MON_3PM_ET,8.0,UNION,4src,27,0,27,17-10-0,17,10,0,0.6296296296296297,0.21762742063281154,3.0925925925925926,1.0,0.6296296296296297,0.6296296296296297,0.8095238095238095,,12.960555555555553,17.39797411311848,1.0088888888888894,10.42611111111111,8.7825
MON_3PM_ET,8.0,UNION,5src,27,0,27,17-10-0,17,10,0,0.6296296296296297,0.2176274206328116,3.0925925925925926,1.0,0.6296296296296297,0.6296296296296297,0.8095238095238095,,12.960555555555553,17.39797411311848,1.0088888888888894,10.450666666666669,8.906
MON_3PM_ET,9.0,FOUR_SOURCE_SELECTED,4src,12,0,12,8-4-0,8,4,0,0.6666666666666666,0.2960599146975655,5.25,1.5,0.75,0.75,0.9,,15.519791666666665,20.387849948457866,4.216874999999999,13.394791666666665,9.915
MON_3PM_ET,9.0,FOUR_SOURCE_SELECTED,5src,12,0,12,8-4-0,8,4,0,0.6666666666666666,0.29605991469756554,5.25,1.5,0.75,0.75,0.9,,15.519791666666665,20.387849948457866,4.216874999999999,12.767333333333333,9.419
MON_3PM_ET,9.0,FIVE_SOURCE_SELECTED,4src,11,0,11,7-4-0,7,4,0,0.6363636363636364,0.23489401998129675,5.045454545454546,0.5,0.6363636363636364,0.6363636363636364,0.7,,16.749090909090906,21.931778728179303,-0.3713636363636362,13.420454545454545,10.1225
MON_3PM_ET,9.0,FIVE_SOURCE_SELECTED,5src,11,0,11,7-4-0,7,4,0,0.6363636363636364,0.2348940199812968,5.045454545454546,0.5,0.6363636363636364,0.6363636363636364,0.7,,16.749090909090906,21.931778728179303,-0.3713636363636362,13.492909090909091,9.682
MON_3PM_ET,9.0,BOTH_QUALIFY,4src,8,0,8,6-2-0,6,2,0,0.75,0.45934291383791936,7.0625,2.25,0.75,0.75,0.8571428571428571,,17.7184375,23.558136184103148,4.800937500000002,15.354062500000001,10.346250000000001
MON_3PM_ET,9.0,BOTH_QUALIFY,5src,8,0,8,6-2-0,6,2,0,0.75,0.4593429138379195,7.0625,2.25,0.75,0.75,0.8571428571428571,,17.7184375,23.558136184103148,4.800937500000002,14.911000000000001,9.641
MON_3PM_ET,9.0,UNION,4src,15,0,15,9-6-0,9,6,0,0.6,0.16412065903077966,4.133333333333334,1.0,0.6666666666666666,0.6666666666666666,0.7692307692307693,,15.248666666666663,19.730043018199428,0.5406666666666673,12.368666666666666,9.435
MON_3PM_ET,9.0,UNION,5src,15,0,15,9-6-0,9,6,0,0.6,0.16412065903077971,4.133333333333334,1.0,0.6666666666666666,0.6666666666666666,0.7692307692307693,,15.248666666666663,19.730043018199428,0.5406666666666673,12.156133333333331,9.472
MON_3PM_ET,10.0,FOUR_SOURCE_SELECTED,4src,6,0,6,5-1-0,5,1,0,0.8333333333333334,0.6276087336020743,8.25,0.75,0.6666666666666666,0.6666666666666666,0.8,,18.473333333333333,25.38992586473357,8.690833333333332,17.349166666666665,15.688749999999999
MON_3PM_ET,10.0,FOUR_SOURCE_SELECTED,5src,6,0,6,5-1-0,5,1,0,0.8333333333333334,0.6276087336020745,8.25,0.75,0.6666666666666666,0.6666666666666666,0.8,,18.473333333333333,25.38992586473357,8.690833333333332,16.744666666666664,14.899999999999999
MON_3PM_ET,10.0,FIVE_SOURCE_SELECTED,4src,4,0,4,2-2-0,2,2,0,0.5,-0.03463203463203465,12.125,10.5,0.75,0.75,0.75,,22.030625,27.971695990098635,2.776875000000002,20.408125,21.56
MON_3PM_ET,10.0,FIVE_SOURCE_SELECTED,5src,4,0,4,2-2-0,2,2,0,0.5,-0.0346320346320346,12.125,10.5,0.75,0.75,0.75,,22.030625,27.971695990098635,2.776875000000002,20.542,20.832
MON_3PM_ET,10.0,BOTH_QUALIFY,4src,3,0,3,2-1-0,2,1,0,0.6666666666666666,0.2871572871572871,16.0,20.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,,22.923333333333336,30.304806274472924,10.153333333333334,24.426666666666666,22.115
MON_3PM_ET,10.0,BOTH_QUALIFY,5src,3,0,3,2-1-0,2,1,0,0.6666666666666666,0.2871572871572872,16.0,20.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,,22.923333333333336,30.304806274472924,10.153333333333334,24.01,21.464
MON_3PM_ET,10.0,UNION,4src,7,0,7,5-2-0,5,2,0,0.7142857142857143,0.3950932002303494,7.142857142857143,0.5,0.7142857142857143,0.7142857142857143,0.8333333333333334,,18.59892857142857,24.61825475057657,4.684642857142857,16.06392857142857,10.3725
MON_3PM_ET,10.0,UNION,5src,7,0,7,5-2-0,5,2,0,0.7142857142857143,0.3950932002303495,7.142857142857143,0.5,0.7142857142857143,0.7142857142857143,0.8333333333333334,,18.59892857142857,24.61825475057657,4.684642857142857,15.800857142857142,10.138
TUE_2PM_ET,0.5,FOUR_SOURCE_SELECTED,4src,3035,176,3211,1596-1567-48,1596,1567,48,0.5045842554536832,-0.03279009148894653,0.4165369043911554,0.5,0.5222672064777328,0.5222672064777328,0.6836526701997554,,12.306445811273745,15.456648069744322,0.06267751479289946,2.474700249143569,2.125
TUE_2PM_ET,0.5,FOUR_SOURCE_SELECTED,5src,3035,176,3211,1602-1561-48,1602,1561,48,0.5064811887448625,-0.028867162215664363,0.41311118031765803,0.5,0.5219557770165058,0.5219557770165058,0.6826883910386965,,12.306445811273745,15.456648069744322,0.06267751479289946,2.3831896605418876,2.034
TUE_2PM_ET,0.5,FIVE_SOURCE_SELECTED,4src,2996,158,3154,1575-1533-46,1575,1533,46,0.5067567567567568,-0.028678250919147025,0.4134432466708941,0.5,0.5237793278376665,0.5237793278376665,0.6823626600578273,,12.276543278376664,15.454910379459067,-0.04887999365884577,2.4839386493341786,2.15625
TUE_2PM_ET,0.5,FIVE_SOURCE_SELECTED,5src,2996,158,3154,1581-1526-47,1581,1526,47,0.508850981654329,-0.02459478704865341,0.4199429296131896,0.5,0.5256816740646798,0.5256816740646798,0.6851239669421487,,12.276543278376664,15.454910379459067,-0.04887999365884577,2.4388154724159796,2.061
TUE_2PM_ET,0.5,BOTH_QUALIFY,4src,2919,124,3043,1518-1479-46,1518,1479,46,0.5065065065065065,-0.029291508339566598,0.42786723627998685,0.5,0.5274400262898455,0.5274400262898455,0.686777920410783,,12.244664804469274,15.412353032492883,0.029651659546500134,2.561628327308577,2.2225
TUE_2PM_ET,0.5,BOTH_QUALIFY,5src,2919,124,3043,1526-1470-47,1526,1470,47,0.5093457943925234,-0.023763478749982084,0.4285244824186658,0.5,0.527768649359185,0.527768649359185,0.6872058194266153,,12.244664804469274,15.412353032492883,0.029651659546500134,2.4958324022346368,2.138
TUE_2PM_ET,0.5,UNION,4src,3112,210,3322,1653-1621-48,1653,1621,48,0.5048869883934025,-0.03209094740899936,0.40322095123419627,0.5,0.5189644792293799,0.5189644792293799,0.6795427670476941,,12.334647802528597,15.495466361063135,-0.012986152919927682,2.4038440698374473,2.0725
TUE_2PM_ET,0.5,UNION,5src,3112,210,3322,1657-1617-48,1657,1617,48,0.5061087354917532,-0.0294858971672955,0.405478627332932,0.5,0.5201685731487056,0.5201685731487056,0.6808510638297872,,12.334647802528597,15.495466361063135,-0.012986152919927682,2.3328199879590605,1.978
TUE_2PM_ET,1.0,FOUR_SOURCE_SELECTED,4src,2610,55,2665,1331-1293-41,1331,1293,41,0.5072408536585366,-0.027687301338346425,0.45347091932457784,0.5,0.5279549718574109,0.5279549718574109,0.6900441392839627,,12.246764540337711,15.447205688293726,0.06506097560975616,2.8298958724202627,2.445
TUE_2PM_ET,1.0,FOUR_SOURCE_SELECTED,5src,2610,55,2665,1334-1291-40,1334,1291,40,0.5081904761904762,-0.02576283108139698,0.44953095684803,0.5,0.5279549718574109,0.5279549718574109,0.6886930983847284,,12.246764540337711,15.447205688293726,0.06506097560975616,2.686293433395872,2.38
TUE_2PM_ET,1.0,FIVE_SOURCE_SELECTED,4src,2551,56,2607,1308-1259-40,1308,1259,40,0.5095442150370082,-0.02302519266417924,0.45243574990410435,0.5,0.5339470655926352,0.5339470655926352,0.6880869995056846,,12.174002685078634,15.314614445731367,-0.09986191024165704,2.8033716915995397,2.475
TUE_2PM_ET,1.0,FIVE_SOURCE_SELECTED,5src,2551,56,2607,1312-1255-40,1312,1255,40,0.5111024542267238,-0.020115532780025636,0.45051783659378597,0.5,0.5327963176064442,0.5327963176064442,0.6876237623762376,,12.174002685078634,15.314614445731367,-0.09986191024165704,2.7921058688147298,2.43
