game_id,week,date,away_team,home_team,projected_margin_home,projected_total,market_spread_home,market_spread_text,market_spread_book,market_spread_price,market_line_source,market_price_status,market_line_note,market_books_count,market_books_available,market_total,market_total_book,market_total_over_price,market_total_under_price,market_total_last_update,has_actual_market_spread,has_actual_market_total,spread_edge_home_if_actual,total_edge_if_actual
g77,1,2026-09-05,Portland State,San Diego State,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g78,1,2026-09-05,Southeastern La.,South Alabama,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g79,1,2026-09-05,Kent State,South Carolina,33.8425,49.85,-34.5,South Carolina -34.5,fanduel,-115.0,SportsGameOdds,actual,,13.0,"1xbet,betmgm,betonline,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,sportsbet",50.5,fanduel,-105.0,-115.0,2026-07-03T00:15:22.288Z,True,True,-0.6574999999999989,-0.6499999999999986
g80,1,2026-09-05,Florida International,South Florida,16.605,57.05,-11.5,South Florida -11.5,fanduel,-110.0,SportsGameOdds,actual,,14.0,"1xbet,betmgm,betonline,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,pointsbet,sportsbet",55.5,fanduel,-105.0,-115.0,2026-07-03T00:15:22.288Z,True,True,5.105,1.5499999999999972
g81,1,2026-09-05,Alcorn State,Southern Miss,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g82,1,2026-09-05,New Hampshire,Syracuse,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g83,1,2026-09-05,Rhode Island,Temple,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g84,1,2026-09-05,Furman,Tennessee,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g85,1,2026-09-05,Texas State,Texas,31.1375,60.75,-31.5,Texas -31.5,fanduel,-105.0,SportsGameOdds,actual,,14.0,"1xbet,betmgm,betonline,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,pointsbet,sportsbet",60.5,fanduel,-110.0,-110.0,2026-07-03T00:15:22.288Z,True,True,-0.3625000000000007,0.25
g86,1,2026-09-05,Missouri State,Texas A&M,38.89,52.8,-39.5,Texas A&M -39.5,fanduel,-110.0,SportsGameOdds,actual,,13.0,"1xbet,betmgm,betonline,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,sportsbet",52.5,fanduel,-115.0,-105.0,2026-07-03T00:15:22.288Z,True,True,-0.6099999999999994,0.29999999999999716
g87,1,2026-09-05,Abilene Christian,Texas Tech,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g88,1,2026-09-05,Sam Houston,Troy,17.455,53.75,-17.5,Troy -17.5,fanduel,-110.0,SportsGameOdds,actual,,14.0,"1xbet,betmgm,betonline,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,pointsbet,sportsbet",52.5,fanduel,-110.0,-110.0,2026-07-03T00:15:22.288Z,True,True,-0.045000000000001705,1.25
