source,pulled_at,sgo_event_id,week,start_time_utc,away_team,home_team,home_spread,home_spread_price,spread_book,total,over_price,under_price,total_book,away_moneyline,away_moneyline_book,home_moneyline,home_moneyline_book
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,oNUzPlA3Q1o7Dz69Ozn0,1,2026-09-05T19:30:00.000Z,Baylor,Auburn,-7.5,-105,fanduel,59.5,-115,-105,draftkings,235.0,fanduel,-295.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,s2a7VoKzBXyXOtflhoGl,1,2026-09-05T19:30:00.000Z,Marshall,Penn State,-23.5,-118,draftkings,53.5,-115,-105,fanduel,1400.0,fanduel,-4000.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,slZTJGQxDLCmZ9JSGnz4,1,2026-09-05T19:30:00.000Z,Furman Paladins,Tennessee,-48.5,-115,fanduel,66.5,-115,-105,fanduel,,,,
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,syqwuJuim8sIquTxIvRr,1,2026-09-05T19:30:00.000Z,Boise State,Oregon,-24.5,-110,fanduel,52.5,-105,-115,fanduel,1400.0,fanduel,-4000.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,xtPSJzCkSOgQds0t2492,1,2026-09-05T19:30:00.000Z,Maine,Appalachian State,-18.5,-110,fanduel,51.5,-110,-110,fanduel,760.0,fanduel,-1300.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,YX6NHCmoUUrny3GYGb2p,1,2026-09-05T19:45:00.000Z,Oklahoma State,Tulsa,13.5,-115,fanduel,61.5,-105,-115,fanduel,-550.0,fanduel,400.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,n7uFVbrzQVtyouWP4rIL,1,2026-09-05T20:15:00.000Z,Northern Illinois,Iowa,-30.5,-110,draftkings,45.5,-112,-108,draftkings,2500.0,draftkings,-9000.0,draftkings
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,lMqpoVGutqEBKXjQOC7Z,1,2026-09-05T21:00:00.000Z,Alcorn State,Southern Miss,-22.5,-110,fanduel,52.5,-112,-108,fanduel,1200.0,fanduel,-3000.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,aqN72YVA53sNvZVuwW6R,1,2026-09-05T22:00:00.000Z,Wyoming,Colorado State,-3.5,-114,fanduel,48.5,-110,-110,fanduel,150.0,fanduel,-182.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,s58w84yjLkfVPAsRAkNd,1,2026-09-05T22:00:00.000Z,Norfolk State Spartans,Old Dominion,-40.5,-110,fanduel,53.5,-110,-110,fanduel,8000.0,fanduel,,
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,2qDNoGX27GAXfuBxwYsq,1,2026-09-05T23:00:00.000Z,Eastern Kentucky,Jacksonville State,-20.5,-110,fanduel,54.5,-110,-110,fanduel,920.0,fanduel,-1800.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,8aNEhHhmw3icIhiwopsW,1,2026-09-05T23:00:00.000Z,Murray State,Middle Tennessee,-24.5,-110,fanduel,60.5,-110,-110,fanduel,1400.0,fanduel,-4000.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,8gIBsnuiBtudBpmcmigp,1,2026-09-05T23:00:00.000Z,SE Louisiana,South Alabama,-11.5,-110,fanduel,51.5,-115,-105,fanduel,375.0,fanduel,-500.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,E9tNTBNvn8V9SNkvhuJy,1,2026-09-05T23:00:00.000Z,Houston Christian,Jerry Rice Team,-24.5,-115,fanduel,47.5,-115,-105,fanduel,1600.0,fanduel,-4500.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,JjRSjyrJwNSwEf0XB8pX,1,2026-09-05T23:00:00.000Z,Arkansas State,Memphis,-10.5,-110,fanduel,55.5,-115,-105,fanduel,320.0,fanduel,-420.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,MDbkvXn79Ym1jQwMuxHs,1,2026-09-05T23:00:00.000Z,Idaho State,Utah State,-16.5,-115,fanduel,61.5,-110,-110,fanduel,610.0,fanduel,-950.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,MqZ2egIP5A3T0fDWIAF1,1,2026-09-05T23:00:00.000Z,Missouri State,Texas A&M,-39.5,-110,fanduel,52.5,-115,-105,fanduel,,,,
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,Ou2Uf8XAHMpvbsJMTirP,1,2026-09-05T23:00:00.000Z,Austin Peay,Vanderbilt,-32.5,-110,fanduel,60.5,-105,-115,fanduel,3500.0,fanduel,-20000.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,Si64bZ7darAXgp38JAFa,1,2026-09-05T23:00:00.000Z,Abilene Christian,Texas Tech,-42.5,-110,fanduel,58.5,-115,-105,fanduel,,,,
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,Z91ZtMSoOLs0ejgUSkyt,1,2026-09-05T23:00:00.000Z,Sam Houston,Troy,-15.5,-110,fanduel,51.5,-110,-110,fanduel,550.0,fanduel,-820.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,bnPQwgu3S8yE9hXpuhkj,1,2026-09-05T23:00:00.000Z,Florida International,South Florida,-12.5,-110,fanduel,54.5,-112,-108,fanduel,385.0,fanduel,-520.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,f8abigiP87CWvmwp9f1w,1,2026-09-05T23:00:00.000Z,Charleston Southern,Georgia Southern,-27.5,-108,fanduel,52.5,-115,-105,fanduel,2000.0,fanduel,-7000.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,j9jd8VUR9a9nePUknLKU,1,2026-09-05T23:00:00.000Z,Nicholls,Kansas State,-42.5,-110,fanduel,54.5,-110,-110,fanduel,,,,
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,4rH1jk14I7IrvagNrLvq,1,2026-09-05T23:30:00.000Z,Northwestern State Demons,Louisiana Tech,-42.5,-110,fanduel,53.5,-115,-105,fanduel,,,,
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,TJ6DlzmPVDrSBTfxxVmG,1,2026-09-05T23:30:00.000Z,Western Michigan,Michigan,-26.5,-115,fanduel,46.5,-115,-105,fanduel,2000.0,fanduel,-7000.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,iRUQMY8AVHv7mJi5tHaF,1,2026-09-05T23:30:00.000Z,VMI,Virginia Tech,-51.5,-115,fanduel,58.5,-110,-110,fanduel,,,,
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,rMHlsh9uyGQJHnyrq4eo,1,2026-09-05T23:30:00.000Z,UL Monroe,Mississippi State,-29.5,-115,fanduel,56.5,-110,-110,fanduel,2400.0,fanduel,-10000.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,vxeZPeAdUGI8dtMW1B7d,1,2026-09-05T23:30:00.000Z,Clemson,LSU,-9.5,-120,fanduel,50.5,-120,-102,fanduel,315.0,fanduel,-410.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,ToQQRtL0qjnAmogJV2hn,1,2026-09-05T23:45:00.000Z,Florida Atlantic,Florida,-26.5,-105,fanduel,58.5,-112,-108,fanduel,1400.0,fanduel,-4000.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,Y9Qsxk7SmfybPdHKqw9w,1,2026-09-06T00:00:00.000Z,Lamar,Louisiana,-17.5,-110,fanduel,49.5,-108,-112,fanduel,720.0,fanduel,-1200.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,fEdcYhtPKzWfY9qXBSBD,1,2026-09-06T00:00:00.000Z,South Dakota State,Northwestern,-13.5,-110,fanduel,46.5,-115,-105,fanduel,430.0,fanduel,-580.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,v7a9lYXmyWIiq70itqSg,1,2026-09-06T00:00:00.000Z,Hampton Pirates,Maryland,-45.5,-110,fanduel,57.5,-110,-110,fanduel,,,,
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,CvZtw6DECa0Z08b1KnMf,1,2026-09-06T01:00:00.000Z,Mercyhurst,New Mexico State,-26.5,-110,fanduel,51.5,-110,-110,fanduel,1600.0,fanduel,-4500.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,F6JAYzQLKcByNfLGmneP,1,2026-09-06T01:30:00.000Z,Portland State,San Diego State,-41.5,-115,fanduel,56.5,-115,-105,fanduel,,,,
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,bwDnMDnEX3kQrxPesrMn,1,2026-09-06T01:30:00.000Z,Northern Arizona,Arizona,-29.5,-115,fanduel,57.5,-110,-110,fanduel,2200.0,fanduel,-10000.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,KUvjPeTJpsVjlkykfZLQ,1,2026-09-06T02:00:00.000Z,Central Michigan,New Mexico,-12.5,-110,fanduel,48.5,-110,-110,fanduel,400.0,fanduel,-550.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,TIQWHmfhX2onfg8rs8qe,1,2026-09-06T02:00:00.000Z,Morgan State,Arizona State,-42.5,-106,fanduel,52.5,-115,-105,fanduel,,,,
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,WUmsJRPZFs2zuoOoxtcM,1,2026-09-06T02:00:00.000Z,UNLV,Hawai'i,2.5,-110,fanduel,58.5,-115,-105,fanduel,-132.0,fanduel,110.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,y2Us9zvfkdzVDhXxwkDY,1,2026-09-06T02:00:00.000Z,Mississippi Valley State Delta Devils,Sacramento State,-35.5,-110,fanduel,55.5,-115,-105,fanduel,5500.0,fanduel,-50000.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,5YQ1dVIMxRp5wfxLUQ58,1,2026-09-06T02:30:00.000Z,Western Kentucky,Nevada,2.5,102,fanduel,52.5,-115,-105,fanduel,-146.0,fanduel,122.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,C5ZhYNmlvzvlsvVS1QOG,1,2026-09-06T02:30:00.000Z,UCLA,California,-1.5,-108,draftkings,54.5,-112,-108,draftkings,-122.0,fanduel,102.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,GofL3r3jtxe0HDbnDdXB,1,2026-09-06T20:00:00.000Z,Washington State,Washington,-21.5,-105,fanduel,50.5,-115,-105,fanduel,1000.0,fanduel,-2100.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,FkwCzMlpJyoD1FXMMXdV,1,2026-09-06T23:30:00.000Z,Wisconsin,Notre Dame,-20.5,-110,fanduel,47.5,-115,-105,fanduel,980.0,fanduel,-2000.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,UT07SgbIqNfjdj3eh3BV,1,2026-09-06T23:30:00.000Z,Louisville,Ole Miss,-6.5,-118,fanduel,55.5,-115,-105,fanduel,205.0,fanduel,-255.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,2O4LCAU0yn6jnyPhhdE6,1,2026-09-07T23:30:00.000Z,SMU,Florida State,1.5,-110,fanduel,53.5,-110,-110,fanduel,-118.0,fanduel,-102.0,fanduel
