venue_key,venue,home_team,latitude,longitude,timezone,roof_type,stadium_orientation_deg,notes
"memorial stadium (clemson, sc)","Memorial Stadium (Clemson, SC)",Clemson,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
"memorial stadium (lincoln, ne)","Memorial Stadium (Lincoln, NE)",Nebraska,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
"memorial stadium (norman, ok)","Memorial Stadium (Norman, OK)",Oklahoma,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
mercedes-benz stadium,Mercedes-Benz Stadium,Auburn,,,,retractable,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
metlife stadium,MetLife Stadium,Army,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
michie stadium,Michie Stadium,Army,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
michigan stadium,Michigan Stadium,Michigan,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
middle tennessee,Middle Tennessee,Middle Tennessee,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
milan puskar stadium,Milan Puskar Stadium,West Virginia,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
missouri state,Missouri State,Missouri State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
mountain america stadium,Mountain America Stadium,Arizona State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
mwc no. 1,MWC No. 1,MWC No. 1,,,,outdoor,,skipped placeholder/conference TBD venue
navy-marine corps memorial stadium,Navy-Marine Corps Memorial Stadium,Navy,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
new mexico state,New Mexico State,New Mexico State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
neyland stadium,Neyland Stadium,Tennessee,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
nilton santos stadium,Nilton Santos Stadium,Virginia,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
nippert stadium,Nippert Stadium,Cincinnati,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
nissan stadium,Nissan Stadium,Ole Miss,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
notre dame stadium,Notre Dame Stadium,Notre Dame,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
ohio stadium,Ohio Stadium,Ohio State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
old dominion,Old Dominion,Old Dominion,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
pac-12 no. 1,Pac-12 No. 1,Pac-12 No. 1,,,,outdoor,,skipped placeholder/conference TBD venue
peden stadium,Peden Stadium,Ohio,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
pitbull stadium,Pitbull Stadium,Florida International,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
pratt & whitney stadium,Pratt & Whitney Stadium,Connecticut,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
protective stadium,Protective Stadium,UAB,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
raymond james stadium,Raymond James Stadium,South Florida,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
razorback stadium,Razorback Stadium,Arkansas,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
reser stadium,Reser Stadium,Oregon State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
rice stadium,Rice Stadium,Rice,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
rice-eccles stadium,Rice-Eccles Stadium,Utah,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
rose bowl,Rose Bowl,UCLA,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
ross-ade stadium,Ross-Ade Stadium,Purdue,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
ryan field,Ryan Field,Northwestern,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
rynearson stadium,Rynearson Stadium,Eastern Michigan,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
s.b. ballard stadium,S.B. Ballard Stadium,Old Dominion,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
sam houston,Sam Houston,Sam Houston,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
sanford stadium,Sanford Stadium,Georgia,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
scheumann stadium,Scheumann Stadium,Ball State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
scott stadium,Scott Stadium,Virginia,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
sec no. 1,SEC No. 1,SEC No. 1,,,,outdoor,,skipped placeholder/conference TBD venue
