venue_key,venue,home_team,latitude,longitude,timezone,roof_type,stadium_orientation_deg,notes
razorback stadium,Razorback Stadium,Arkansas,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
reser stadium,Reser Stadium,Oregon State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
rice stadium,Rice Stadium,Rice,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
rice-eccles stadium,Rice-Eccles Stadium,Utah,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
rose bowl,Rose Bowl,UCLA,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
ross-ade stadium,Ross-Ade Stadium,Purdue,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
ryan field,Ryan Field,Northwestern,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
rynearson stadium,Rynearson Stadium,Eastern Michigan,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
s.b. ballard stadium,S.B. Ballard Stadium,Old Dominion,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
sam houston,Sam Houston,Sam Houston,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
sanford stadium,Sanford Stadium,Georgia,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
scheumann stadium,Scheumann Stadium,Ball State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
scott stadium,Scott Stadium,Virginia,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
sec no. 1,SEC No. 1,SEC No. 1,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
secu stadium,SECU Stadium,Maryland,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
shi stadium,SHI Stadium,Rutgers,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
simmons bank liberty stadium,Simmons Bank Liberty Stadium,Memphis,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
snapdragon stadium,Snapdragon Stadium,San Diego State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
south alabama,South Alabama,South Alabama,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
southern miss,Southern Miss,Southern Miss,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
spartan stadium,Spartan Stadium,Michigan State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
stanford stadium,Stanford Stadium,Stanford,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
sun belt west,Sun Belt West,Sun Belt West,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
sun bowl,Sun Bowl,UTEP,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
tdecu stadium,TDECU Stadium,Houston,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
tiger stadium (la),Tiger Stadium (LA),LSU,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
troy,Troy,Troy,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
ub stadium,UB Stadium,Buffalo,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
ul-monroe,UL-Monroe,UL-Monroe,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
university stadium (nm),University Stadium (NM),New Mexico,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
utah state,Utah State,Utah State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
valley children's stadium,Valley Children's Stadium,Fresno State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
vaught-hemingway stadium,Vaught-Hemingway Stadium,Ole Miss,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
veterans memorial stadium (al),Veterans Memorial Stadium (AL),Troy,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
waldo stadium,Waldo Stadium,Western Michigan,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
wallace wade stadium,Wallace Wade Stadium,Duke,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
war memorial stadium,War Memorial Stadium,Wyoming,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
warren mcguirk alumni stadium,Warren McGuirk Alumni Stadium,Massachusetts,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
washington state,Washington State,Washington State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
wembley stadium,Wembley Stadium,Kansas,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
western kentucky,Western Kentucky,Western Kentucky,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
williams stadium (va),Williams Stadium (VA),Liberty,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
williams-brice stadium,Williams-Brice Stadium,South Carolina,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
yager stadium,Yager Stadium,Miami-OH,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
yulman stadium,Yulman Stadium,Tulane,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
