team,conference,rank,combo,avg_total_wins,avg_conference_wins,make_title_game_pct,conference_title_pct,lose_title_game_pct,bowl_eligibility_pct
South Carolina,SEC,26,12.0,5.46,4.0607,0.0173,0.0047,0.0126,0.4831
Utah,B12,28,11.0667,7.6372,5.9148,0.2293,0.0578,0.1715,0.9307
Auburn,SEC,24,12.2,5.4034,3.7272,0.0086,0.0018,0.0068,0.4718
Louisville,ACC,27,11.4,7.093,6.1066,0.314,0.0906,0.2234,0.8514
SMU,ACC,25,12.1333,7.3375,6.239,0.3349,0.1027,0.2322,0.9155
Kansas State,B12,32,8.5667,7.5962,5.7582,0.1352,0.0279,0.1073,0.9214
Arizona,B12,30,8.7,6.6077,4.8115,0.0779,0.0165,0.0614,0.7861
Vanderbilt,SEC,29,9.6,5.3339,3.6837,0.0079,0.0014,0.0065,0.45
Virginia Tech,ACC,34,8.3333,6.4396,4.9574,0.0882,0.0223,0.0659,0.7407
Illinois,B1G,35,8.2667,6.0342,4.4183,0.005,0.0003,0.0047,0.6563
TCU,B12,37,7.9667,6.0995,4.5344,0.0543,0.0127,0.0416,0.6612
Florida State,ACC,33,8.4667,5.5092,3.9603,0.0335,0.0103,0.0232,0.4997
Houston,B12,31,8.6333,6.2617,4.5588,0.039,0.008,0.031,0.7002
Nebraska,B1G,36,8.1667,5.0471,3.1592,0.001,0.0,0.001,0.3586
Oklahoma State,B12,43,5.7,5.5896,4.6579,0.0384,0.0078,0.0306,0.527
Boise State,PAC12,42,5.8333,8.0504,6.431,0.8678,0.6467,0.2211,0.9699
Virginia,ACC,38,7.8333,6.4256,4.7924,0.0658,0.0178,0.048,0.7314
Pittsburgh,ACC,39,7.7,5.8509,4.3902,0.0349,0.0098,0.0251,0.5993
Arizona State,B12,40,6.6333,4.9916,4.0618,0.0203,0.0033,0.017,0.3612
