away_classification,away_moneyline_change,away_team,canonical_cfbd_game_id,canonical_game_id,date,home_classification,home_moneyline_change,home_spread_change,home_team,moneyline_available,moneyline_comparison_book,moneyline_comparison_status,moneyline_source_timestamp,moneyline_stale,neutral_site,previous_away_moneyline,previous_home_moneyline,previous_home_spread,previous_total,season,spread_available,spread_comparison_book,spread_comparison_status,spread_source_timestamp,spread_stale,staged_away_moneyline,staged_away_moneyline_price,staged_away_spread,staged_away_spread_price,staged_home_moneyline,staged_home_moneyline_price,staged_home_spread,staged_home_spread_price,staged_over_price,staged_total,staged_under_price,total_available,total_change,total_comparison_book,total_comparison_status,total_source_timestamp,total_stale,week
FBS,-5.0,Baylor,401856636,g30,2026-09-05,FBS,7.0,-0.5,Auburn,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,True,230.0,-285.0,-6.5,59.5,2026,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,225,225,7.0,-110,-278,-278,-7.0,-110,-115,59.5,-105,True,0.0,draftkings,comparable,2026-08-01T14:00:33.064Z,False,1
FBS,,Marshall,401858434,g72,2026-09-05,FBS,,-1.0,Penn State,True,draftkings,accepted_value_missing,2026-08-01T14:00:33.064Z,False,False,,,-23.5,54.5,2026,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,1400,1400,24.5,-115,-3200,-3200,-24.5,-105,-110,54.5,-110,True,0.0,bovada,comparable,2026-08-01T13:59:10.000Z,False,1
FCS,,Furman,401856666,g84,2026-09-05,FBS,,,Tennessee,,,no_accepted_game,,,False,,,,,2026,,,no_accepted_game,,,,,,,,,,,,,,,,,no_accepted_game,,,1
FBS,,Boise State,401858433,g71,2026-09-05,FBS,,0.0,Oregon,True,draftkings,accepted_value_missing,2026-08-01T14:00:33.064Z,False,False,,,-24.5,,2026,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,1500,1500,24.5,-112,-3600,-3600,-24.5,-108,,,,,,bovada,same_book_pair_unavailable,,,1
FCS,,Maine,401866627,g25,2026-09-05,FBS,,,Appalachian State,,,no_accepted_game,,,False,,,,,2026,,,no_accepted_game,,,,,,,,,,,,,,,,,no_accepted_game,,,1
FBS,,Oklahoma State,401856772,g89,2026-09-05,FBS,,2.0,Tulsa,True,draftkings,accepted_value_missing,2026-08-01T14:00:33.064Z,False,False,,,11.5,60.5,2026,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,-550,-550,-13.5,-105,410,410,13.5,-115,-110,61.5,-110,True,1.0,bovada,comparable,2026-08-01T13:59:10.000Z,False,1
FBS,,Northern Illinois,401858426,g46,2026-09-05,FBS,,-1.0,Iowa,True,draftkings,accepted_value_missing,2026-08-01T14:00:33.064Z,False,False,,,-29.5,45.5,2026,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,2500,2500,30.5,-110,-9000,-9000,-30.5,-110,-110,45.5,-110,True,0.0,bovada,comparable,2026-08-01T13:59:10.000Z,False,1
FCS,,Alcorn State,401868356,g81,2026-09-05,FBS,,,Southern Miss,,,no_accepted_game,,,False,,,,,2026,,,no_accepted_game,,,,,,,,,,,,,,,,,no_accepted_game,,,1
FBS,,Wyoming,401860878,g36,2026-09-05,FBS,,0.0,Colorado State,True,draftkings,accepted_value_missing,2026-08-01T14:00:33.064Z,False,False,,,-4.0,48.5,2026,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,150,150,4.0,-112,-180,-180,-4.0,-108,-105,48.5,-115,True,0.0,bovada,comparable,2026-08-01T13:59:10.000Z,False,1
FCS,,Norfolk State,401867973,g70,2026-09-05,FBS,,,Old Dominion,,,no_accepted_game,,,False,,,,,2026,,,no_accepted_game,,,,,,,,,,,,,,,,,no_accepted_game,,,1
