season,week,game_id,team,opponent,prior_games,prior_off_drives,prior_off_start_ytg_sum,prior_off_short_fields,prior_off_opportunities,prior_off_opportunity_points,prior_off_opportunity_tds,prior_off_points,prior_def_drives,prior_def_opponent_start_ytg_sum,prior_def_short_fields_allowed,prior_def_opportunities_allowed,prior_def_opportunity_points_allowed,prior_def_opportunity_tds_allowed,prior_def_points_allowed,pregame_off_avg_start_ytg,pregame_off_short_field_rate,pregame_off_opportunity_rate,pregame_off_points_per_opportunity,pregame_off_td_rate_per_opportunity,pregame_off_points_per_drive,pregame_def_opponent_avg_start_ytg,pregame_def_short_field_rate_allowed,pregame_def_opportunity_rate_allowed,pregame_def_points_per_opportunity_allowed,pregame_def_td_rate_per_opportunity_allowed,pregame_def_points_per_drive_allowed
2022,10,401411157,Georgia Tech,Virginia Tech,8,93.0,6551.0,15.0,36.0,114.0,12.0,114.0,81.0,5604.0,15.0,50.0,173.0,20.0,173.0,70.44086021505376,0.16129032258064516,0.3870967741935484,3.1666666666666665,0.3333333333333333,1.2258064516129032,69.18518518518519,0.18518518518518517,0.6172839506172839,3.46,0.4,2.1358024691358026
2022,11,401411160,Georgia Tech,Miami,9,109.0,7780.0,16.0,42.0,142.0,15.0,180.0,94.0,6428.0,21.0,57.0,238.0,24.0,250.0,71.37614678899082,0.14678899082568808,0.3853211009174312,3.380952380952381,0.35714285714285715,1.651376146788991,68.38297872340425,0.22340425531914893,0.6063829787234043,4.175438596491228,0.42105263157894735,2.6595744680851063
2022,12,401411168,Georgia Tech,North Carolina,10,119.0,8584.0,16.0,46.0,149.0,16.0,187.0,105.0,7180.0,25.0,64.0,266.0,28.0,278.0,72.1344537815126,0.13445378151260504,0.3865546218487395,3.239130434782609,0.34782608695652173,1.5714285714285714,68.38095238095238,0.23809523809523808,0.6095238095238096,4.15625,0.4375,2.6476190476190475
2022,13,401403959,Georgia Tech,Georgia,11,131.0,9524.0,18.0,50.0,170.0,19.0,208.0,116.0,7912.0,28.0,71.0,276.0,29.0,288.0,72.70229007633588,0.13740458015267176,0.3816793893129771,3.4,0.38,1.5877862595419847,68.20689655172414,0.2413793103448276,0.6120689655172413,3.887323943661972,0.4084507042253521,2.4827586206896552
2022,1,401403853,Hawai'i,Vanderbilt,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2022,1,401426543,Hawai'i,Western Kentucky,1,9.0,670.0,1.0,4.0,10.0,1.0,10.0,7.0,513.0,0.0,5.0,28.0,4.0,28.0,74.44444444444444,0.1111111111111111,0.4444444444444444,2.5,0.25,1.1111111111111112,73.28571428571429,0.0,0.7142857142857143,5.6,0.8,4.0
2022,2,401405077,Hawai'i,Michigan,2,21.0,1470.0,2.0,8.0,20.0,2.0,20.0,18.0,1209.0,3.0,12.0,56.0,8.0,56.0,70.0,0.09523809523809523,0.38095238095238093,2.5,0.25,0.9523809523809523,67.16666666666667,0.16666666666666666,0.6666666666666666,4.666666666666667,0.6666666666666666,3.111111111111111
2022,3,401415219,Hawai'i,Duquesne,3,29.0,2063.0,3.0,8.0,20.0,2.0,20.0,26.0,1756.0,6.0,19.0,98.0,14.0,98.0,71.13793103448276,0.10344827586206896,0.27586206896551724,2.5,0.25,0.6896551724137931,67.53846153846153,0.23076923076923078,0.7307692307692307,5.157894736842105,0.7368421052631579,3.769230769230769
2022,4,401409237,Hawai'i,New Mexico State,4,38.0,2638.0,6.0,12.0,37.0,4.0,37.0,26.0,1756.0,6.0,19.0,98.0,14.0,98.0,69.42105263157895,0.15789473684210525,0.3157894736842105,3.0833333333333335,0.3333333333333333,0.9736842105263158,67.53846153846153,0.23076923076923078,0.7307692307692307,5.157894736842105,0.7368421052631579,3.769230769230769
2022,6,401415235,Hawai'i,San Diego State,5,47.0,3323.0,6.0,16.0,50.0,5.0,50.0,36.0,2413.0,8.0,26.0,143.0,20.0,143.0,70.70212765957447,0.1276595744680851,0.3404255319148936,3.125,0.3125,1.0638297872340425,67.02777777777777,0.2222222222222222,0.7222222222222222,5.5,0.7692307692307693,3.9722222222222223
