game_id,date,week,away_team,home_team,projected_margin_home,projected_total,win_prob_home,market_spread_home,market_total
g271,2026-09-26,4,South Florida,Bowling Green,-11.3667,50.4,0.148208327742,,
g272,2026-09-26,4,Robert Morris,Buffalo,,,,,
g273,2026-09-26,4,TCU,Central Florida,-2.7,49.9,0.397621696915,,
g274,2026-09-26,4,Louisiana,Charlotte,-12.5,55.9,0.127518842142,,
g275,2026-09-26,4,Kansas State,Cincinnati,-3.4,55.5,0.3721330281,,
g276,2026-09-26,4,William & Mary,Duke,,,,,
g277,2026-09-26,4,NC Central,East Carolina,,,,,
g278,2026-09-26,4,Lindenwood,Eastern Michigan,,,,,
g279,2026-09-26,4,Ole Miss,Florida,-0.2667,50.4,0.489743746539,,
g280,2026-09-26,4,LIU,Florida International,,,,,
g281,2026-09-26,4,Central Arkansas,Florida State,,,,,
g282,2026-09-26,4,Rice,Fresno State,16.2,46.4,0.923600798135,,
g283,2026-09-26,4,Oklahoma,Georgia,9.0333,48.9,0.800550486743,,
g284,2026-09-26,4,Houston,Georgia Southern,-14.8,54.7,0.093052300694,,
g285,2026-09-26,4,Northern Illinois,Georgia State,-0.4333,52.0,0.483340784059,,
g286,2026-09-26,4,Northwestern,Indiana,23.8333,47.9,0.975075448721,,
g287,2026-09-26,4,Utah,Iowa State,-8.3334,49.7,0.217199508461,,
g288,2026-09-26,4,Middle Tennessee,Jacksonville State,14.5333,55.2,0.903426668189,,
g289,2026-09-26,4,Ball State,Kent State,3.9,50.2,0.645656306226,,
g290,2026-09-26,4,South Alabama,Kentucky,20.2666,52.1,0.957626654244,,
g291,2026-09-26,4,Texas A&M,LSU,3.6667,49.5,0.637402447257,,
g292,2026-09-26,4,Wake Forest,Louisville,11.1667,47.6,0.84786509103,,
g293,2026-09-26,4,Gardner-Webb,Marshall,,,,,
g294,2026-09-26,4,UCLA,Maryland,0.2667,50.9,0.510256253461,,
g295,2026-09-26,4,Central Michigan,Miami-FL,37.0,47.5,0.996639527949,,
g296,2026-09-26,4,Connecticut,Miami-OH,6.9667,47.4,0.744939075319,,
g297,2026-09-26,4,Iowa,Michigan,7.4667,48.3,0.759277604452,,
g298,2026-09-26,4,Nebraska,Michigan State,-6.0334,51.6,0.283286914498,,
g299,2026-09-26,4,Missouri,Mississippi State,-6.7333,53.0,0.261943353185,,
g300,2026-09-26,4,Appalachian State,NC State,18.9666,55.4,0.948726108511,,
g301,2026-09-26,4,Air Force,Nevada,-6.4334,50.2,0.270960700386,,
g302,2026-09-26,4,New Mexico,New Mexico State,-11.8,51.0,0.139988604679,,
g303,2026-09-26,4,HCU,North Texas,,,,,
g304,2026-09-26,4,Stonehill,Ohio,,,,,
g305,2026-09-26,4,Illinois,Ohio State,25.6666,51.8,0.981085071414,,
g306,2026-09-26,4,James Madison,Old Dominion,-1.3666,48.6,0.447631226254,,
g307,2026-09-26,4,Wisconsin,Penn State,13.6667,45.7,0.891152643751,,
g308,2026-09-26,4,Bucknell,Pittsburgh,,,,,
g309,2026-09-26,4,Notre Dame,Purdue,-27.6,53.0,0.014117056997,,
g310,2026-09-26,4,Howard,Rutgers,,,,,
g311,2026-09-26,4,Missouri State,SMU,31.5,52.1,0.99220273052,,
g312,2026-09-26,4,Massachusetts,Sacramento State,11.1334,51.4,0.847203087625,,
g313,2026-09-26,4,Georgia Tech,Stanford,-6.6666,49.4,0.263932047077,,
g314,2026-09-26,4,Army,Temple,-3.2333,55.8,0.378144637259,,
g315,2026-09-26,4,Texas,Tennessee,-8.0666,56.8,0.224259292796,,
g316,2026-09-26,4,UIW,Texas State,,,,,
g317,2026-09-26,4,Sam Houston,Texas Tech,48.4333,53.2,0.999419637387,,
g318,2026-09-26,4,San Diego State,Toledo,-5.5,46.4,0.300240297944,,
g319,2026-09-26,4,Southern Miss,Tulane,16.4667,53.1,0.926446172521,,
g320,2026-09-26,4,Florida Atlantic,UL-Monroe,-10.6,57.1,0.163725011568,,
g321,2026-09-26,4,Oregon,USC,-7.0667,55.8,0.252148804314,,
g322,2026-09-26,4,Oregon State,UTEP,-8.7334,48.4,0.206918663233,,
g323,2026-09-26,4,Colorado State,UTSA,9.7,53.2,0.816424391946,,
g324,2026-09-26,4,Troy,Utah State,3.6666,54.0,0.637398891549,,
g325,2026-09-26,4,Delaware,Virginia,21.8333,52.1,0.96639732008,,
