game_id,first_opener,first_opener_timestamp,consensus_opener,consensus_opener_timestamp,closing_spread,closing_timestamp,books_at_open,books_at_close,opener_source,close_source,timing_status,eligibility
pt-2021-5-tennessee-florida,-17.0,,-17.0,,-19.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-5-louisville-floridastate,1.0,,1.0,,1.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-5-unlv-fresnostate,-30.0,,-30.0,,-30.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-5-louisianalafayette-georgiasouthern,10.0,,10.0,,14.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-5-navy-houston,-20.0,,-20.0,,-19.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-5-coloradostate-iowa,-22.0,,-22.0,,-23.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-5-rutgers-michigan,-19.0,,-19.0,,-20.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-5-nebraska-michiganstate,-3.0,,-3.0,,-4.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-5-clemson-ncstate,12.0,,12.0,,10.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-5-ohio-northwestern,-14.0,,-14.0,,-14.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-5-akron-ohiostate,-53.0,,-53.0,,-48.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-5-kansasstate-oklahomastate,-9.0,,-9.0,,-5.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-5-arizona-oregon,-27.0,,-27.0,,-28.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-5-illinois-purdue,-10.0,,-10.0,,-11.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
