team,book,win_total,over_odds,under_odds,snapshot_ts,source_file
Rice,BetMGM,3.5,-115.0,-115.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Rice,Caesars,3.5,-125.0,-105.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Rice,DraftKings,3.5,-115.0,-115.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Rutgers,BetMGM,4.5,-160.0,125.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Rutgers,DraftKings,5.5,125.0,-160.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Rutgers,FanDuel,4.5,-144.0,118.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
S. Alabama,BetMGM,5.5,-150.0,120.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
S. Carolina,BetMGM,6.5,115.0,-145.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
S. Florida,BetMGM,8.5,115.0,-145.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
SMU,BetMGM,8.5,-155.0,120.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
SMU,Caesars,8.5,-135.0,105.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
SMU,DraftKings,8.5,-125.0,105.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
SMU,FanDuel,8.5,-140.0,114.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Sac State,BetMGM,4.5,-130.0,100.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Sacramento St.,Caesars,4.5,-130.0,100.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Sacramento State Hornets,DraftKings,4.5,-140.0,110.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Sam Houston,BetMGM,3.5,120.0,-150.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Sam Houston,Caesars,3.5,100.0,-130.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Sam Houston State Bearkats,DraftKings,3.5,120.0,-150.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
San Diego St,BetMGM,6.5,-145.0,115.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
