season,week,game_id,away_team,home_team,home_key,away_key,mapping_status,archive_row
2025,14,401752921,Ohio State,Michigan,michigan,ohio state,matched,714.0
2025,14,401752922,Northwestern,Illinois,illinois,northwestern,matched,703.0
2025,14,401752923,Maryland,Michigan State,michigan state,maryland,matched,715.0
2025,14,401752924,Indiana,Purdue,purdue,indiana,matched,730.0
2025,3,401752938,Oregon State,Texas Tech,texas tech,oregon state,matched,134.0
2025,5,401752939,Houston,Oregon State,oregon state,houston,matched,230.0
2025,6,401752940,Oregon State,App State,app state,oregon state,unmatched,
2025,9,401752942,SMU,Wake Forest,wake forest,smu,matched,459.0
2025,11,401752944,Sam Houston,Oregon State,oregon state,sam houston,unmatched,
2025,12,401752945,Oregon State,Tulsa,tulsa,oregon state,matched,616.0
2025,8,401754371,North Carolina,California,california,north carolina,matched,363.0
2025,3,401754534,Duke,Tulane,tulane,duke,matched,136.0
2025,4,401754537,Syracuse,Clemson,clemson,syracuse,matched,151.0
2025,4,401754538,NC State,Duke,duke,nc state,matched,155.0
2025,4,401754539,Stanford,Virginia,virginia,stanford,matched,190.0
2025,4,401754540,California,San Diego State,san diego state,california,matched,181.0
2025,5,401754543,Florida State,Virginia,virginia,florida state,matched,242.0
2025,5,401754545,Duke,Syracuse,syracuse,duke,matched,236.0
2025,5,401754547,Louisville,Pittsburgh,pittsburgh,louisville,matched,232.0
2025,6,401754551,Duke,California,california,duke,matched,255.0
2025,6,401754552,Clemson,North Carolina,north carolina,clemson,matched,274.0
2025,6,401754553,Miami,Florida State,florida state,miami,unmatched,
2025,6,401754554,Virginia,Louisville,louisville,virginia,matched,266.0
2025,6,401754555,Syracuse,SMU,smu,syracuse,matched,284.0
2025,7,401754559,Pittsburgh,Florida State,florida state,pittsburgh,matched,309.0
2025,7,401754561,Stanford,SMU,smu,stanford,matched,334.0
2025,7,401754562,NC State,Notre Dame,notre dame,nc state,matched,329.0
2025,7,401754563,Wake Forest,Oregon State,oregon state,wake forest,matched,332.0
2025,8,401754564,Louisville,Miami,miami,louisville,unmatched,
2025,8,401754565,SMU,Clemson,clemson,smu,matched,366.0
2025,8,401754567,Florida State,Stanford,stanford,florida state,matched,399.0
2025,8,401754568,Pittsburgh,Syracuse,syracuse,pittsburgh,matched,400.0
2025,9,401754572,Stanford,Miami,miami,stanford,unmatched,
2025,9,401754573,Virginia,North Carolina,north carolina,virginia,matched,443.0
2025,9,401754574,NC State,Pittsburgh,pittsburgh,nc state,matched,448.0
2025,10,401754575,North Carolina,Syracuse,syracuse,north carolina,matched,504.0
2025,10,401754576,Virginia,California,california,virginia,matched,471.0
2025,10,401754577,Duke,Clemson,clemson,duke,matched,472.0
2025,10,401754578,Wake Forest,Florida State,florida state,wake forest,matched,477.0
2025,10,401754581,Miami,SMU,smu,miami,unmatched,
2025,10,401754582,Pittsburgh,Stanford,stanford,pittsburgh,matched,503.0
2025,11,401754585,California,Louisville,louisville,california,matched,538.0
2025,11,401754586,Florida State,Clemson,clemson,florida state,matched,525.0
2025,11,401754587,Syracuse,Miami,miami,syracuse,unmatched,
2025,11,401754588,Stanford,North Carolina,north carolina,stanford,matched,546.0
2025,11,401754589,Wake Forest,Virginia,virginia,wake forest,matched,564.0
2025,11,401754590,Duke,UConn,uconn,duke,matched,528.0
2025,12,401754591,Clemson,Louisville,louisville,clemson,matched,592.0
2025,12,401754593,Virginia,Duke,duke,virginia,matched,578.0
2025,12,401754595,NC State,Miami,miami,nc state,unmatched,
2025,12,401754596,North Carolina,Wake Forest,wake forest,north carolina,matched,620.0
2025,12,401754597,Notre Dame,Pittsburgh,pittsburgh,notre dame,matched,608.0
2025,13,401754598,Florida State,NC State,nc state,florida state,matched,653.0
2025,13,401754599,California,Stanford,stanford,california,matched,668.0
2025,13,401754600,Duke,North Carolina,north carolina,duke,matched,654.0
2025,13,401754602,Louisville,SMU,smu,louisville,matched,664.0
2025,13,401754604,Syracuse,Notre Dame,notre dame,syracuse,matched,657.0
2025,13,401754606,Delaware,Wake Forest,wake forest,delaware,matched,682.0
2025,14,401754609,SMU,California,california,smu,matched,692.0
2025,14,401754610,Wake Forest,Duke,duke,wake forest,matched,697.0
2025,14,401754611,Miami,Pittsburgh,pittsburgh,miami,unmatched,
2025,14,401754612,North Carolina,NC State,nc state,north carolina,matched,719.0
2025,14,401754614,Notre Dame,Stanford,stanford,notre dame,matched,737.0
2025,3,401754615,SMU,Missouri State,missouri state,smu,matched,121.0
2025,3,401756889,Texas State,Arizona State,arizona state,texas state,matched,100.0
2025,3,401756890,Iowa State,Arkansas State,arkansas state,iowa state,matched,101.0
2025,3,401756893,Colorado,Houston,houston,colorado,matched,110.0
2025,4,401756896,Arizona State,Baylor,baylor,arizona state,matched,147.0
2025,4,401756897,Wyoming,Colorado,colorado,wyoming,matched,152.0
2025,4,401756900,Tulsa,Oklahoma State,oklahoma state,tulsa,matched,178.0
2025,4,401756901,Texas Tech,Utah,utah,texas tech,matched,188.0
2025,5,401756902,TCU,Arizona State,arizona state,tcu,matched,196.0
2025,5,401756903,BYU,Colorado,colorado,byu,matched,202.0
2025,5,401756904,Arizona,Iowa State,iowa state,arizona,matched,209.0
2025,5,401756905,Cincinnati,Kansas,kansas,cincinnati,matched,211.0
2025,5,401756906,UCF,Kansas State,kansas state,ucf,matched,212.0
2025,5,401756907,Baylor,Oklahoma State,oklahoma state,baylor,matched,228.0
2025,6,401756910,Oklahoma State,Arizona,arizona,oklahoma state,matched,249.0
2025,6,401756911,Kansas State,Baylor,baylor,kansas state,matched,253.0
2025,6,401756912,Iowa State,Cincinnati,cincinnati,iowa state,matched,257.0
2025,6,401756913,Texas Tech,Houston,houston,texas tech,matched,265.0
2025,6,401756914,Colorado,TCU,tcu,colorado,matched,288.0
2025,6,401756915,Kansas,UCF,ucf,kansas,matched,256.0
2025,7,401756916,BYU,Arizona,arizona,byu,matched,297.0
2025,7,401756917,UCF,Cincinnati,cincinnati,ucf,matched,303.0
2025,7,401756918,Iowa State,Colorado,colorado,iowa state,matched,305.0
2025,7,401756919,TCU,Kansas State,kansas state,tcu,matched,316.0
2025,7,401756920,Houston,Oklahoma State,oklahoma state,houston,matched,330.0
2025,7,401756921,Kansas,Texas Tech,texas tech,kansas,matched,341.0
2025,7,401756922,Arizona State,Utah,utah,arizona state,matched,347.0
2025,8,401756923,Texas Tech,Arizona State,arizona state,texas tech,matched,355.0
2025,8,401756924,Utah,BYU,byu,utah,matched,358.0
2025,8,401756925,Arizona,Houston,houston,arizona,matched,373.0
2025,8,401756926,Cincinnati,Oklahoma State,oklahoma state,cincinnati,matched,393.0
2025,8,401756927,Baylor,TCU,tcu,baylor,matched,401.0
2025,9,401756929,Houston,Arizona State,arizona state,houston,matched,411.0
2025,9,401756930,Baylor,Cincinnati,cincinnati,baylor,matched,417.0
2025,9,401756931,BYU,Iowa State,iowa state,byu,matched,426.0
2025,9,401756932,Kansas State,Kansas,kansas,kansas state,matched,427.0
2025,9,401756933,Oklahoma State,Texas Tech,texas tech,oklahoma state,matched,453.0
2025,9,401756934,Colorado,Utah,utah,colorado,matched,456.0
2025,10,401756936,UCF,Baylor,baylor,ucf,matched,467.0
2025,10,401756937,Arizona,Colorado,colorado,arizona,matched,474.0
2025,10,401756939,Arizona State,Iowa State,iowa state,arizona state,matched,480.0
2025,10,401756940,Oklahoma State,Kansas,kansas,oklahoma state,matched,481.0
2025,10,401756941,Texas Tech,Kansas State,kansas state,texas tech,matched,482.0
2025,10,401756942,Cincinnati,Utah,utah,cincinnati,matched,512.0
2025,11,401756943,Kansas,Arizona,arizona,kansas,matched,519.0
2025,11,401756944,Iowa State,TCU,tcu,iowa state,matched,556.0
2025,11,401756945,BYU,Texas Tech,texas tech,byu,matched,557.0
2025,11,401756946,Houston,UCF,ucf,houston,matched,524.0
2025,12,401756949,Utah,Baylor,baylor,utah,matched,572.0
2025,12,401756950,TCU,BYU,byu,tcu,matched,570.0
2025,12,401756951,Arizona,Cincinnati,cincinnati,arizona,matched,576.0
2025,12,401756952,Kansas State,Oklahoma State,oklahoma state,kansas state,matched,605.0
2025,12,401756953,UCF,Texas Tech,texas tech,ucf,matched,614.0
2025,13,401756954,Baylor,Arizona,arizona,baylor,matched,627.0
2025,13,401756955,BYU,Cincinnati,cincinnati,byu,matched,634.0
2025,13,401756956,Arizona State,Colorado,colorado,arizona state,matched,635.0
2025,13,401756957,TCU,Houston,houston,tcu,matched,643.0
2025,13,401756958,Kansas,Iowa State,iowa state,kansas,matched,645.0
