game_id,away_team,home_team,has_site_spread,has_site_total,has_dratings_spread,has_dratings_total,has_fpi_spread,has_fpi_total,has_massey_spread,has_massey_total,has_sp_spread,has_sp_total,has_sagarin_predictor_spread,has_sagarin_predictor_total,has_sagarin_rating_spread,has_sagarin_rating_total,has_teamrankings_spread,has_teamrankings_total
g134,Georgia State,Kennesaw State,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g135,Wofford,Kent State,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
g136,Alabama,Kentucky,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g137,Louisiana Tech,LSU,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g138,Gardner-Webb,Liberty,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
g139,Middle Tennessee,Marshall,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g140,Sacred Heart,Massachusetts,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
g141,Holy Cross,Miami-OH,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
g142,Oklahoma,Michigan,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g143,Eastern Michigan,Michigan State,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g144,Mississippi State,Minnesota,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g145,Lindenwood,Missouri State,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
g146,Richmond,NC State,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
g147,Bowling Green,Nebraska,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g148,Montana State,Nevada,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
g149,Mercyhurst,New Mexico,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
g150,ETSU,North Carolina,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
g151,UNLV,North Texas,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g152,Illinois State,Northern Illinois,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
g153,Rice,Notre Dame,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g154,Jacksonville State,Ohio,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g155,Oregon,Oklahoma State,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g156,Charlotte,Ole Miss,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g157,Texas Tech,Oregon State,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g158,Central Florida,Pittsburgh,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g159,Wake Forest,Purdue,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g160,UC Davis,SMU,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
g161,Tulsa,Sam Houston,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g162,Cal Poly,San Jose State,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
g163,Towson,South Carolina,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
g164,California,Syracuse,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g165,Grambling State,TCU,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
g166,Penn State,Temple,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g167,Ohio State,Texas,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g168,Arizona State,Texas A&M,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g169,UTSA,Texas State,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g170,CCSU,Toledo,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
g171,Alabama State,Troy,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
g172,South Alabama,Tulane,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g173,UL-Monroe,UAB,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g174,San Diego State,UCLA,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g175,Louisiana,USC,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g176,Texas Southern,UTEP,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
