game_id,week,date,away_team,home_team,neutral_site,site_spread_home,site_spread_text,site_total,blend_spread_home,blend_spread_text,blend_total,spread_sources_used,total_sources_used,spread_weight_detail,total_weight_detail,source_count_spread,source_count_total,dratings_spread_home,dratings_spread_text,dratings_total,spread_disagreement_dratings,total_disagreement_dratings,spread_weight_dratings,total_weight_dratings,massey_spread_home,massey_spread_text,massey_total,spread_disagreement_massey,total_disagreement_massey,spread_weight_massey,total_weight_massey,sagarin_homeaway_spread_home,sagarin_homeaway_spread_text,sagarin_homeaway_total,spread_disagreement_sagarin_homeaway,total_disagreement_sagarin_homeaway,spread_weight_sagarin_homeaway,total_weight_sagarin_homeaway,sagarin_predictor_spread_home,sagarin_predictor_spread_text,sagarin_predictor_total,spread_disagreement_sagarin_predictor,total_disagreement_sagarin_predictor,spread_weight_sagarin_predictor,total_weight_sagarin_predictor,spread_disagreement,total_disagreement
g52,1,2026-09-05,Clemson,LSU,False,11.3,LSU -11.3,45.8,11.3,LSU -11.3,45.8,Site Projection,Site Projection,Site Projection:0.5,Site Projection:0.5,1,1,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g53,1,2026-09-05,Lamar,Louisiana,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g54,1,2026-09-05,Northwestern State,Louisiana Tech,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g55,1,2026-09-05,Hampton,Maryland,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g56,1,2026-09-05,Arkansas State,Memphis,False,9.9,Memphis -9.9,57.1,9.9,Memphis -9.9,57.1,Site Projection,Site Projection,Site Projection:0.5,Site Projection:0.5,1,1,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g57,1,2026-09-05,Western Michigan,Michigan,False,26.2,Michigan -26.2,46.9,26.2,Michigan -26.2,46.9,Site Projection,Site Projection,Site Projection:0.5,Site Projection:0.5,1,1,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g58,1,2026-09-05,Toledo,Michigan State,False,13.9,Michigan State -13.9,48.6,13.9,Michigan State -13.9,48.6,Site Projection,Site Projection,Site Projection:0.5,Site Projection:0.5,1,1,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g59,1,2026-09-05,Murray State,Middle Tennessee,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g60,1,2026-09-05,UL-Monroe,Mississippi State,False,30.8,Mississippi State -30.8,54.5,30.8,Mississippi State -30.8,54.5,Site Projection,Site Projection,Site Projection:0.5,Site Projection:0.5,1,1,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g61,1,2026-09-05,Towson,Navy,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g62,1,2026-09-05,Ohio,Nebraska,False,22.8,Nebraska -22.8,45.1,22.8,Nebraska -22.8,45.1,Site Projection,Site Projection,Site Projection:0.5,Site Projection:0.5,1,1,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g63,1,2026-09-05,Western Kentucky,Nevada,False,-4.8,Western Kentucky -4.8,51.8,-4.8,Western Kentucky -4.8,51.8,Site Projection,Site Projection,Site Projection:0.5,Site Projection:0.5,1,1,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g64,1,2026-09-05,Central Michigan,New Mexico,False,12.8,New Mexico -12.8,49.4,12.8,New Mexico -12.8,49.4,Site Projection,Site Projection,Site Projection:0.5,Site Projection:0.5,1,1,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
