market,season,completed_week,target_week,n,mean_abs,median_abs,p25_abs,p75_abs,p90_abs,signed_mean
total,2022,5,6,131,0.3124120666734563,0.2611567895723509,0.10600204906791333,0.4605316520319016,0.6317548162495785,-1.0847980698627483e-16
total,2022,6,7,131,0.3218538847271847,0.24754891349660957,0.07625326089539397,0.5025107243543181,0.6726928029169805,3.0069246499008058e-15
total,2022,7,8,131,0.3593577965206717,0.2861842430584598,0.13370257492689047,0.5027720387485534,0.7494396485614341,2.4458806481436656e-15
total,2022,8,9,131,0.35419730493892726,0.30668425618462436,0.17227160994084592,0.49455264838645846,0.7819885321292436,-4.356142249292599e-15
total,2022,9,10,131,0.3377324673858656,0.2920689208815479,0.093414976610668,0.5047257789714448,0.7112535118077905,2.67809523497366e-16
total,2022,10,11,131,0.3798978781031117,0.3323636386870774,0.17518245218118844,0.5680256438519267,0.7406886798770125,2.7323351384667974e-15
total,2022,11,12,131,0.35549997623933355,0.32652366066736926,0.13664779769977353,0.48657413981885395,0.7070902982243643,-8.78008437795162e-16
total,2022,12,13,131,0.32264257115675277,0.24496866242814797,0.11993185455337618,0.504497383636453,0.6905477901954599,-3.0594695564097825e-15
total,2022,13,14,131,0.3520342369887801,0.3404362785285109,0.13756018874062903,0.4852617291302137,0.6569972586343806,3.278124167366493e-15
total,2022,14,15,131,0.2497731865167344,0.19854629661239453,0.062405033632330964,0.3929902358103299,0.5515385042380869,-3.935782997220784e-15
total,2023,2,3,133,0.35908513571662193,0.24753290892934085,0.039945674724765956,0.5841667600729639,0.9508903778028206,-4.874964258504447e-16
total,2023,3,4,133,0.3305441297879714,0.28374459749477254,0.09315840117295249,0.45124142377937715,0.7465271199726059,4.741403593887887e-16
total,2023,4,5,133,0.3109405395949125,0.2527522243714877,0.14547159576158997,0.44902509235363186,0.5549647549933674,1.7195935569382125e-15
total,2023,5,6,133,0.2768126465616458,0.18208936352696192,0.07539455457125488,0.43715468772075794,0.6961446173555718,-5.559462664664318e-16
total,2023,6,7,133,0.24609361144061936,0.16970804815359175,0.0725450472734166,0.37486878147120706,0.6035135379383167,6.010229907745208e-17
total,2023,7,8,133,0.33000201774107224,0.2713284673417431,0.15760467881688145,0.4584165732389003,0.6565764300032451,7.59626280006686e-16
total,2023,8,9,133,0.34422821660720315,0.2935655994315651,0.1223695163944648,0.5174007433342835,0.6624100604980435,-1.6386224040144228e-15
total,2023,9,10,133,0.33380239114469834,0.2878237817397675,0.14437434597594567,0.47046972041140345,0.6870177889894081,1.1085535163174496e-15
total,2023,10,11,133,0.39039384789378034,0.33618231036902846,0.15267108513198963,0.5594457093348365,0.794142005969175,-7.24566605544839e-16
total,2023,11,12,133,0.35500983171677764,0.26702943765699283,0.1360080226671681,0.5214192423842463,0.7647947408516946,1.8197640554006323e-15
total,2023,12,13,133,0.3271704296419207,0.2894658374423097,0.11934357674732654,0.4536549685884044,0.7166602996504721,-4.330704550191964e-15
total,2023,13,14,133,0.28116378237309997,0.24475904401499315,0.12194878880557092,0.4030327878618949,0.5549416267066034,2.165352275095982e-15
total,2023,14,15,133,0.26745841994859054,0.23400641436115976,0.08783585185241538,0.3958267835350404,0.6242481573224647,7.14549555698597e-16
total,2024,2,3,134,0.3452901598885623,0.20936329580437588,0.05325111164908085,0.5637545101323103,0.8901461501635883,-4.971147871455924e-16
total,2024,3,4,134,0.3502126430306153,0.3271830827940323,0.1121291441877223,0.4837606266709851,0.707511546883108,3.247816609351204e-16
