model,market,season,stage,n,opener_n,direction_n,direction_accuracy,positive_clv_rate,average_clv,median_clv,mae,median_ae,signed_error,overshoot_rate,undershoot_rate,wrong_direction_rate,unchanged_rate,average_abs_adjustment,actual_result_mae
no_adjustment,total,2025,Weeks 4-6,151,142,106,0.5849056603773585,0.4696969696969697,0.3181818181818182,0.0,3.8862940560640427,3.4760396002540332,-0.4885953689019724,0.41509433962264153,0.09433962264150944,0.41509433962264153,0.06622516556291391,0.0,12.120451982391332
no_adjustment,total,2025,Weeks 7-9,168,158,121,0.6776859504132231,0.5655172413793104,0.7724137931034483,1.0,4.2577433943364715,3.670132885872782,0.2641288850811914,0.512396694214876,0.09917355371900827,0.32231404958677684,0.07738095238095238,0.0,12.873704544606213
current_benchmark,spread,2021,Weeks 1-3,97,0,0,,,,,12.209842641179838,9.6,2.8686108963472177,,,,0.0,0.0,17.101518014186265
current_benchmark,spread,2021,Weeks 10-12,181,0,0,,,,,6.8340830854201196,5.238529568074712,0.5940304554059653,,,,0.0,1.9689543197257013,14.236392925975311
current_benchmark,spread,2021,Weeks 13+,77,0,0,,,,,5.936802392352059,5.166388063917513,-0.5843780774522274,,,,0.0,2.291268921624232,15.279602684931719
current_benchmark,spread,2021,Weeks 4-6,170,0,0,,,,,7.657633225631111,6.001872846283787,1.7178059917258852,,,,0.0,2.0836306433054355,13.13254914436556
current_benchmark,spread,2021,Weeks 7-9,157,1,1,0.0,0.0,-1.0,-1.0,6.455903440637741,5.447092516102499,-0.04588879039811459,0.0,0.0,1.0,0.0,1.6198773121654206,13.68734450704584
current_benchmark,spread,2022,Weeks 1-3,97,0,0,,,,,12.918056909408874,10.995308243123695,5.635690033606176,,,,0.0,2.0006888559809095,16.765685559895275
current_benchmark,spread,2022,Weeks 10-12,185,2,1,0.0,0.0,-0.75,-0.75,6.125680110577937,4.897496281316604,0.41839909351419735,0.0,0.0,1.0,0.0,2.073667946507981,13.312082238091495
current_benchmark,spread,2022,Weeks 13+,75,0,0,,,,,5.603039595283426,4.41575455287423,-0.2589562078817728,,,,0.0,1.98831128043431,13.153094949036156
current_benchmark,spread,2022,Weeks 4-6,174,1,1,1.0,1.0,2.0,2.0,7.3988804492443325,5.466590995597073,2.1862360659138957,1.0,0.0,0.0,0.0,2.272890842230922,12.91351956389636
current_benchmark,spread,2022,Weeks 7-9,150,5,1,0.0,0.0,-0.625,-0.5,5.47553611120248,4.374696785507819,0.3049157866147972,0.0,0.0,1.0,0.006666666666666667,1.541152377085709,12.055881738381727
current_benchmark,spread,2023,Weeks 1-3,101,48,18,0.6666666666666666,0.2553191489361702,0.32978723404255317,0.0,10.829316764406032,8.132129845854209,4.315240307704515,0.5555555555555556,0.1111111111111111,0.3333333333333333,0.009900990099009901,1.941166789385881,15.602057876689752
current_benchmark,spread,2023,Weeks 10-12,190,12,3,0.3333333333333333,0.09090909090909091,0.22727272727272727,0.0,6.03744265463587,4.577353433698369,1.3426128729768823,0.0,0.3333333333333333,0.6666666666666666,0.005263157894736842,1.8895304082533644,13.733761878714763
current_benchmark,spread,2023,Weeks 13+,76,8,2,0.5,0.125,-0.375,-0.25,5.362752676142988,3.9097912054514676,-1.354569242619655,0.0,0.5,0.5,0.0,1.9782013923276458,12.981378460365944
current_benchmark,spread,2023,Weeks 4-6,168,168,72,0.5277777777777778,0.24516129032258063,0.2064516129032258,0.0,6.916321210679588,5.978209288646084,0.7099552067280555,0.4305555555555556,0.027777777777777776,0.4722222222222222,0.07738095238095238,2.048213968577321,12.548575637848398
current_benchmark,spread,2023,Weeks 7-9,163,162,79,0.4936708860759494,0.25,0.10576923076923077,0.0,5.797627253337503,4.874146408898773,0.25167137823370556,0.3670886075949367,0.06329113924050633,0.5063291139240507,0.03680981595092025,1.5200442890174686,13.736937403222264
current_benchmark,spread,2024,Weeks 1-3,101,101,74,0.527027027027027,0.4020618556701031,0.23195876288659795,0.0,11.724675273535341,10.299290135167029,4.676288523877965,0.44594594594594594,0.04054054054054054,0.47297297297297297,0.039603960396039604,1.8319877681187893,18.038290004630035
current_benchmark,spread,2024,Weeks 10-12,150,150,92,0.5434782608695652,0.3424657534246575,0.0410958904109589,0.0,6.2388581138026495,5.06481956462347,0.28361350383192824,0.45652173913043476,0.05434782608695652,0.45652173913043476,0.02666666666666667,1.5639116273329219,13.70515794546438
current_benchmark,spread,2024,Weeks 13+,138,138,78,0.5512820512820513,0.344,0.008,0.0,5.411499547121605,3.9330877697164883,0.5345202509241168,0.4358974358974359,0.05128205128205128,0.44871794871794873,0.09420289855072464,1.8069219924454543,14.071746037156261
