team,conference,rank_active,combo_active,rating_spplus_active,rating_fpi_active,rating_teamrankings_active,avg_total_wins_active,avg_conference_wins_active,make_title_game_pct_active,conference_title_pct_active,lose_title_game_pct_active,bowl_eligibility_pct_active,rank_spplus_only,combo_spplus_only,rating_spplus_spplus_only,rating_fpi_spplus_only,rating_teamrankings_spplus_only,avg_total_wins_spplus_only,avg_conference_wins_spplus_only,make_title_game_pct_spplus_only,conference_title_pct_spplus_only,lose_title_game_pct_spplus_only,bowl_eligibility_pct_spplus_only,combo_delta_active_minus_spplus,avg_total_wins_delta_active_minus_spplus,avg_conference_wins_delta_active_minus_spplus,make_title_game_pct_delta_active_minus_spplus,conference_title_pct_delta_active_minus_spplus,lose_title_game_pct_delta_active_minus_spplus,bowl_eligibility_pct_delta_active_minus_spplus
South Florida,American,75,-2.0333,-2.8,-0.9,-2.4,7.6796,4.967,0.1914,0.0842,0.1072,0.9394,80,-2.8,-2.8,-0.9,-2.4,7.378,4.737,0.1391,0.0567,0.0824,0.9053,0.7666999999999997,0.30159999999999965,0.22999999999999954,0.052299999999999985,0.027499999999999997,0.024800000000000003,0.03410000000000002
Miami-OH,MAC,91,-6.8333,-2.9,-7.0,-10.6,7.0698,6.0833,0.5456,0.3044,0.2412,0.8944,81,-2.9,-2.9,-7.0,-10.6,8.0364,6.8139,0.815,0.5781,0.2369,0.9817,-3.9333000000000005,-0.9666000000000006,-0.7305999999999999,-0.2694,-0.27369999999999994,0.004299999999999998,-0.08730000000000004
Purdue,B1G,73,-1.9667,-2.9,-0.9,-2.1,1.9358,1.5692,0.0,0.0,0.0,0.0031,82,-2.9,-2.9,-0.9,-2.1,1.7301,1.4082,0.0,0.0,0.0,0.001,0.9333,0.2057,0.16100000000000003,0.0,0.0,0.0,0.0021
Army,American,80,-3.2667,-3.0,-5.6,-1.2,6.3956,4.756,0.1259,0.0527,0.0732,0.7169,83,-3.0,-3.0,-5.6,-1.2,6.3492,4.8425,0.1384,0.0564,0.082,0.7094,-0.26670000000000016,0.04640000000000022,-0.08650000000000002,-0.012499999999999983,-0.003700000000000002,-0.008800000000000002,0.007499999999999951
Hawaii,MW,85,-4.2,-3.9,-2.4,-6.3,7.8592,5.5293,0.3669,0.1544,0.2125,0.9495,84,-3.9,-3.9,-2.4,-6.3,7.6328,5.2669,0.2377,0.0907,0.147,0.9369,-0.30000000000000027,0.22640000000000082,0.2624000000000004,0.1292,0.0637,0.0655,0.012600000000000056
Washington State,PAC12,82,-3.6667,-5.3,-4.1,-1.6,4.4432,4.1175,0.1664,0.0489,0.1175,0.2237,85,-5.3,-5.3,-4.1,-1.6,3.9245,3.7071,0.1303,0.0263,0.104,0.1272,1.6332999999999998,0.5186999999999999,0.41039999999999965,0.03609999999999999,0.0226,0.013499999999999998,0.0965
Western Kentucky,CUSA,89,-6.2,-5.3,-4.9,-8.4,6.7584,6.0477,0.6468,0.3842,0.2626,0.843,86,-5.3,-5.3,-4.9,-8.4,6.9567,6.2735,0.6507,0.381,0.2697,0.8927,-0.9000000000000004,-0.1982999999999997,-0.22580000000000044,-0.0038999999999999035,0.0031999999999999806,-0.007099999999999995,-0.04970000000000008
Tulane,American,74,-2.0,-5.5,2.3,-2.8,7.6363,5.5307,0.2904,0.1316,0.1588,0.9416,87,-5.5,-5.5,2.3,-2.8,6.7124,4.7595,0.0921,0.0306,0.0615,0.8157,3.5,0.9239000000000006,0.7712000000000003,0.19829999999999998,0.10099999999999999,0.0973,0.1259
Old Dominion,Sun Belt,86,-4.9333,-5.8,-4.4,-4.6,6.7216,5.5224,0.3741,0.192,0.1821,0.8069,88,-5.8,-5.8,-4.4,-4.6,6.5651,5.4442,0.2907,0.1437,0.147,0.7767,0.8666999999999998,0.15649999999999942,0.07819999999999983,0.08339999999999997,0.04830000000000001,0.03510000000000002,0.030200000000000005
Texas State,PAC12,83,-4.0667,-5.9,-4.3,-2.0,5.3622,4.0601,0.1441,0.0353,0.1088,0.4663,89,-5.9,-5.9,-4.3,-2.0,4.7817,3.5706,0.1027,0.0167,0.086,0.3066,1.8333000000000004,0.5804999999999998,0.48950000000000005,0.041400000000000006,0.0186,0.0228,0.1597
Troy,Sun Belt,92,-7.0333,-6.0,-7.4,-7.7,6.1412,4.8174,0.1741,0.0756,0.0985,0.6842,90,-6.0,-6.0,-7.4,-7.7,6.6295,5.1738,0.2138,0.0974,0.1164,0.8079,-1.0332999999999997,-0.48829999999999973,-0.35639999999999983,-0.039699999999999985,-0.0218,-0.0179,-0.12369999999999992
Oregon State,PAC12,96,-8.1333,-6.3,-8.1,-10.0,3.6671,2.797,0.031,0.004,0.027,0.0899,91,-6.3,-6.3,-8.1,-10.0,4.477,3.5229,0.096,0.0152,0.0808,0.2212,-1.8333000000000004,-0.8099000000000003,-0.7258999999999998,-0.065,-0.0112,-0.0538,-0.13130000000000003
Liberty,CUSA,93,-7.5333,-6.4,-7.7,-8.5,7.3396,5.7658,0.5276,0.285,0.2426,0.9127,92,-6.4,-6.4,-7.7,-8.5,7.7637,6.1018,0.5689,0.3112,0.2577,0.9611,-1.1332999999999993,-0.42410000000000014,-0.3360000000000003,-0.0413,-0.0262,-0.015099999999999975,-0.0484
Marshall,Sun Belt,95,-8.0,-6.4,-8.8,-8.8,6.3868,4.7753,0.1442,0.056,0.0882,0.7537,93,-6.4,-6.4,-8.8,-8.8,7.1299,5.327,0.1926,0.0891,0.1035,0.9074,-1.5999999999999996,-0.7431000000000001,-0.5517000000000003,-0.0484,-0.0331,-0.015299999999999994,-0.15369999999999995
Florida Atlantic,American,101,-9.0333,-7.1,-11.3,-8.7,4.529,2.9504,0.0099,0.0025,0.0074,0.2363,94,-7.1,-7.1,-11.3,-8.7,5.1908,3.4716,0.0257,0.0093,0.0164,0.4094,-1.933300000000001,-0.6618000000000004,-0.5211999999999999,-0.0158,-0.006799999999999999,-0.009000000000000001,-0.17309999999999998
Western Michigan,MAC,90,-6.5,-7.2,-4.0,-8.3,6.6627,5.7878,0.4864,0.272,0.2144,0.809,95,-7.2,-7.2,-4.0,-8.3,6.4011,5.5723,0.4098,0.1894,0.2204,0.7506,0.7000000000000002,0.2616000000000005,0.21549999999999958,0.0766,0.0826,-0.006000000000000005,0.05840000000000001
Tulsa,American,98,-8.9667,-7.6,-9.0,-10.3,4.4257,3.4011,0.0109,0.0032,0.0077,0.2087,96,-7.6,-7.6,-9.0,-10.3,4.9629,3.8545,0.0233,0.0069,0.0164,0.3358,-1.3666999999999998,-0.5372000000000003,-0.4533999999999998,-0.012400000000000001,-0.0036999999999999997,-0.008700000000000001,-0.1271
Jacksonville State,CUSA,98,-8.9667,-7.7,-8.5,-10.7,6.6652,5.3358,0.3149,0.1416,0.1733,0.7964,97,-7.7,-7.7,-8.5,-10.7,7.1483,5.696,0.3372,0.1476,0.1896,0.8924,-1.2666999999999993,-0.4831000000000003,-0.36019999999999985,-0.022299999999999986,-0.006000000000000005,-0.01629999999999998,-0.09599999999999997
Utah State,PAC12,88,-6.0667,-7.7,-6.7,-3.8,3.6924,2.982,0.0427,0.0082,0.0345,0.0946,98,-7.7,-7.7,-6.7,-3.8,3.2449,2.6526,0.0276,0.0025,0.0251,0.0485,1.6333000000000002,0.44750000000000023,0.32940000000000014,0.015100000000000002,0.0057,0.009400000000000002,0.0461
Colorado State,PAC12,106,-10.4667,-8.3,-12.4,-10.7,2.7206,1.8835,0.0061,0.0006,0.0055,0.0232,99,-8.3,-8.3,-12.4,-10.7,3.4508,2.5931,0.0302,0.0051,0.0251,0.0816,-2.1666999999999987,-0.7302,-0.7096000000000002,-0.0241,-0.0045000000000000005,-0.0196,-0.05840000000000001
Louisiana Tech,Sun Belt,97,-8.8333,-8.3,-9.6,-8.6,5.0277,4.5711,0.1459,0.0505,0.0954,0.3741,100,-8.3,-8.3,-9.6,-8.6,5.3574,4.8764,0.1516,0.057,0.0946,0.4579,-0.5332999999999988,-0.3296999999999999,-0.3052999999999999,-0.005700000000000011,-0.006499999999999999,0.0007999999999999952,-0.08379999999999999
Arkansas State,Sun Belt,104,-9.5667,-8.5,-9.2,-11.0,5.8066,4.9473,0.1505,0.0525,0.098,0.5874,101,-8.5,-8.5,-9.2,-11.0,6.3527,5.4963,0.2056,0.0776,0.128,0.7413,-1.0667000000000009,-0.5460999999999991,-0.5489999999999995,-0.05510000000000001,-0.025100000000000004,-0.03,-0.15389999999999993
Temple,American,103,-9.4,-8.7,-8.6,-10.9,4.647,3.6034,0.0105,0.003,0.0075,0.2415,102,-8.7,-8.7,-8.6,-10.9,5.0266,3.7837,0.0171,0.0041,0.013,0.3485,-0.7000000000000011,-0.37959999999999994,-0.1802999999999999,-0.0066,-0.0011000000000000003,-0.0055,-0.10699999999999998
Georgia Southern,Sun Belt,105,-9.7667,-8.9,-8.7,-11.7,4.6269,4.1375,0.0759,0.0325,0.0434,0.2759,103,-8.9,-8.9,-8.7,-11.7,4.949,4.4527,0.0947,0.0404,0.0543,0.3512,-0.8666999999999998,-0.32209999999999983,-0.3151999999999999,-0.01880000000000001,-0.007899999999999997,-0.0109,-0.07530000000000003
Louisiana,Sun Belt,102,-9.2333,-9.1,-8.3,-10.3,6.9585,5.2341,0.2086,0.075,0.1336,0.8567,104,-9.1,-9.1,-8.3,-10.3,7.4447,5.6089,0.2275,0.0871,0.1404,0.938,-0.1333000000000002,-0.4862000000000002,-0.37480000000000047,-0.0189,-0.0121,-0.0068000000000000005,-0.08129999999999993
Kennesaw State,CUSA,108,-10.8333,-9.3,-9.0,-14.2,6.0508,4.8278,0.2329,0.0928,0.1401,0.6549,105,-9.3,-9.3,-9.0,-14.2,6.7136,5.3829,0.2966,0.1193,0.1773,0.8264,-1.5332999999999988,-0.6627999999999998,-0.5551000000000004,-0.06369999999999998,-0.02650000000000001,-0.03720000000000001,-0.17149999999999999
Wyoming,MW,113,-12.0,-9.6,-13.1,-13.3,4.5952,3.1865,0.0203,0.0052,0.0151,0.266,106,-9.6,-9.6,-13.1,-13.3,5.1399,3.5482,0.0301,0.0075,0.0226,0.3974,-2.4000000000000004,-0.5446999999999997,-0.3616999999999999,-0.0098,-0.0023,-0.007499999999999998,-0.13139999999999996
Connecticut,Independent,111,-11.1,-11.2,-11.2,-10.9,3.8021,0.0,0.0,0.0,0.0,0.1116,107,-11.2,-11.2,-11.2,-10.9,3.7916,0.0,0.0,0.0,0.0,0.0952,0.09999999999999964,0.010499999999999954,0.0,0.0,0.0,0.0,0.016399999999999998
Toledo,MAC,94,-7.7,-11.5,-3.0,-8.6,7.1091,5.9608,0.4612,0.2376,0.2236,0.8773,108,-11.5,-11.5,-3.0,-8.6,6.2291,5.3972,0.2722,0.0864,0.1858,0.6987,3.8,0.8799999999999999,0.5636000000000001,0.189,0.1512,0.0378,0.17859999999999998
North Texas,American,98,-8.9667,-11.8,-6.4,-8.7,4.6851,4.1932,0.025,0.0062,0.0188,0.255,109,-11.8,-11.8,-6.4,-8.7,4.0022,3.6413,0.0066,0.0017,0.0049,0.1101,2.8333000000000013,0.6829000000000001,0.5518999999999998,0.0184,0.0045,0.013900000000000001,0.1449
Buffalo,MAC,115,-13.0667,-11.9,-10.8,-16.5,4.8788,4.4173,0.0858,0.0287,0.0571,0.321,110,-11.9,-11.9,-10.8,-16.5,5.343,4.8395,0.1532,0.0472,0.106,0.4624,-1.1667000000000005,-0.46419999999999995,-0.42220000000000013,-0.0674,-0.0185,-0.0489,-0.14139999999999997
Appalachian State,Sun Belt,110,-10.9333,-12.1,-9.8,-10.9,5.0076,3.8939,0.0376,0.0132,0.0244,0.3523,111,-12.1,-12.1,-9.8,-10.9,4.9488,3.802,0.0191,0.0057,0.0134,0.3222,1.1667000000000005,0.05879999999999974,0.09189999999999987,0.018500000000000003,0.0075,0.011000000000000001,0.030100000000000016
Nevada,MW,118,-14.0667,-12.2,-11.9,-18.1,3.6526,2.6704,0.0064,0.0013,0.0051,0.0839,112,-12.2,-12.2,-11.9,-18.1,4.1605,2.9411,0.0067,0.0018,0.0049,0.1431,-1.8667000000000016,-0.5078999999999998,-0.27070000000000016,-0.0002999999999999999,-0.0005,0.00020000000000000052,-0.0592
Central Michigan,MAC,114,-12.6,-12.4,-12.8,-12.6,4.9512,4.2543,0.0862,0.0335,0.0527,0.351,113,-12.4,-12.4,-12.8,-12.6,5.078,4.4906,0.0947,0.0306,0.0641,0.3788,-0.1999999999999993,-0.12680000000000025,-0.23629999999999995,-0.008500000000000008,0.0029000000000000033,-0.011400000000000007,-0.027800000000000047
Delaware,CUSA,107,-10.7,-13.0,-6.6,-12.5,5.2118,4.456,0.176,0.0696,0.1064,0.4242,114,-13.0,-13.0,-6.6,-12.5,4.5709,3.8912,0.0615,0.019,0.0425,0.2521,2.3000000000000007,0.6409000000000002,0.5648000000000004,0.11449999999999999,0.05059999999999999,0.06389999999999998,0.17210000000000003
Bowling Green,MAC,120,-14.9,-13.3,-13.7,-17.7,4.0905,3.8582,0.0263,0.0086,0.0177,0.1232,115,-13.3,-13.3,-13.7,-17.7,4.7539,4.4523,0.0655,0.0189,0.0466,0.2536,-1.5999999999999996,-0.6634000000000002,-0.5941000000000001,-0.0392,-0.0103,-0.028900000000000002,-0.1304
South Alabama,Sun Belt,112,-11.5333,-13.3,-10.5,-10.8,4.6043,3.8746,0.0434,0.0139,0.0295,0.2703,116,-13.3,-13.3,-10.5,-10.8,4.4563,3.6577,0.0186,0.0054,0.0132,0.226,1.7667000000000002,0.14800000000000058,0.21689999999999987,0.024800000000000003,0.008499999999999999,0.0163,0.04429999999999998
Ohio,MAC,108,-10.8333,-13.6,-8.0,-10.9,6.2238,5.2154,0.2354,0.0968,0.1386,0.6971,117,-13.6,-13.6,-8.0,-10.9,5.6769,4.863,0.12,0.0342,0.0858,0.5599,2.7667,0.5468999999999999,0.3523999999999994,0.1154,0.06259999999999999,0.0528,0.1372000000000001
Florida International,CUSA,117,-13.7667,-13.7,-12.6,-15.0,4.912,3.9936,0.0539,0.0147,0.0392,0.3367,118,-13.7,-13.7,-12.6,-15.0,5.0411,4.2044,0.0458,0.0128,0.033,0.3608,-0.06670000000000087,-0.12910000000000021,-0.21079999999999988,0.008100000000000003,0.001899999999999999,0.006199999999999997,-0.02410000000000001
Coastal Carolina,Sun Belt,116,-13.2333,-13.8,-12.1,-13.8,3.7233,2.9871,0.012,0.0037,0.0083,0.1139,119,-13.8,-13.8,-12.1,-13.8,3.6939,2.9515,0.0063,0.0021,0.0042,0.1027,0.5667000000000009,0.02939999999999987,0.035600000000000076,0.0057,0.0016000000000000003,0.0041,0.011200000000000002
Rice,American,119,-14.4333,-14.7,-13.4,-15.2,2.2072,1.8133,0.0004,0.0,0.0004,0.0086,120,-14.7,-14.7,-13.4,-15.2,2.2005,1.7794,0.0004,0.0001,0.0003,0.0089,0.26670000000000016,0.006699999999999928,0.03389999999999982,0.0,-0.0001,0.00010000000000000005,-0.0002999999999999999
Eastern Michigan,MAC,122,-15.0667,-15.0,-16.3,-13.9,4.5391,3.8829,0.0345,0.0093,0.0252,0.2391,121,-15.0,-15.0,-16.3,-13.9,5.1261,4.4261,0.0597,0.0136,0.0461,0.3947,-0.06670000000000087,-0.5869999999999997,-0.5432000000000001,-0.0252,-0.0043,-0.020900000000000002,-0.1556
San Jose State,MW,120,-14.9,-15.5,-14.3,-14.9,3.4951,2.6834,0.0047,0.001,0.0037,0.0749,122,-15.5,-15.5,-14.3,-14.9,3.0883,2.3595,0.0019,0.0003,0.0016,0.0401,0.5999999999999996,0.40680000000000005,0.32389999999999963,0.0028000000000000004,0.0007000000000000001,0.0021000000000000003,0.0348
New Mexico State,CUSA,125,-16.8333,-16.4,-15.7,-18.4,3.3211,3.0789,0.0282,0.0074,0.0208,0.0635,123,-16.4,-16.4,-15.7,-18.4,3.7879,3.5616,0.0361,0.0082,0.0279,0.1055,-0.4333000000000027,-0.4668000000000001,-0.4826999999999999,-0.0079,-0.0008000000000000004,-0.007100000000000002,-0.041999999999999996
UAB,American,126,-17.2667,-18.1,-15.5,-18.2,2.6099,1.6717,0.0001,0.0,0.0001,0.0068,124,-18.1,-18.1,-15.5,-18.2,2.698,1.722,0.0,0.0,0.0,0.0053,0.8333000000000013,-0.08809999999999985,-0.05030000000000001,0.0001,0.0,0.0001,0.0014999999999999996
Northern Illinois,MW,128,-17.7667,-18.2,-14.5,-20.6,2.428,1.8882,0.0006,0.0001,0.0005,0.0094,125,-18.2,-18.2,-14.5,-20.6,2.3808,1.6727,0.0001,0.0,0.0001,0.0048,0.43329999999999913,0.04720000000000013,0.21550000000000002,0.0004999999999999999,0.0001,0.0004,0.004600000000000001
Missouri State,CUSA,124,-15.9667,-18.7,-10.3,-18.9,3.2027,2.8845,0.0167,0.0042,0.0125,0.0397,126,-18.7,-18.7,-10.3,-18.9,2.5297,2.3395,0.0031,0.0009,0.0022,0.0088,2.7333,0.673,0.5449999999999999,0.0136,0.0033,0.0103,0.030899999999999997
Akron,MAC,129,-18.1,-19.5,-16.9,-17.9,2.8405,2.7449,0.0066,0.0022,0.0044,0.0218,127,-19.5,-19.5,-16.9,-17.9,2.6472,2.5807,0.003,0.0007,0.0023,0.0112,1.3999999999999986,0.1932999999999998,0.16419999999999968,0.0036,0.0015,0.0021000000000000003,0.0106
Kent State,MAC,132,-20.0333,-20.1,-17.9,-22.1,2.5496,2.5055,0.0041,0.0009,0.0032,0.0118,128,-20.1,-20.1,-17.9,-22.1,2.877,2.8289,0.0034,0.0005,0.0029,0.0147,0.06670000000000087,-0.3273999999999999,-0.3233999999999999,0.0007000000000000005,0.00039999999999999996,0.00030000000000000035,-0.0029
UTEP,MW,130,-19.3667,-20.5,-16.6,-21.0,2.0756,1.8699,0.0002,0.0,0.0002,0.0033,129,-20.5,-20.5,-16.6,-21.0,1.6633,1.5196,0.0,0.0,0.0,0.001,1.1332999999999984,0.4123000000000001,0.35029999999999983,0.0002,0.0,0.0002,0.0023
Sacramento State,MAC,127,-17.4333,-22.7,-10.4,-19.2,4.0011,3.7068,0.026,0.0058,0.0202,0.1357,130,-22.7,-22.7,-10.4,-19.2,2.9363,2.8227,0.003,0.0004,0.0026,0.0203,5.2667,1.0648,0.8840999999999997,0.023,0.005399999999999999,0.017599999999999998,0.11539999999999999
Southern Miss,Sun Belt,123,-15.3667,-23.3,-5.1,-17.7,2.9733,2.4683,0.0052,0.0008,0.0044,0.0342,131,-23.3,-23.3,-5.1,-17.7,1.4085,1.1885,0.0,0.0,0.0,0.0,7.933300000000001,1.5648,1.2798000000000003,0.0052,0.0008,0.0044,0.0342
UL-Monroe,Sun Belt,134,-21.1333,-24.3,-19.3,-19.8,1.676,1.2608,0.0003,0.0001,0.0002,0.0017,132,-24.3,-24.3,-19.3,-19.8,1.3743,1.1047,0.0,0.0,0.0,0.0005,3.1667000000000023,0.30169999999999986,0.1560999999999999,0.0003,0.0001,0.0002,0.0012
Georgia State,Sun Belt,131,-19.9,-25.1,-15.2,-19.4,1.9094,1.272,0.0003,0.0,0.0003,0.0038,133,-25.1,-25.1,-15.2,-19.4,1.0066,0.6384,0.0,0.0,0.0,0.0001,5.200000000000003,0.9028,0.6336,0.0003,0.0,0.0003,0.0037
Ball State,MAC,135,-21.8333,-25.2,-17.3,-23.0,2.3363,2.2617,0.0019,0.0002,0.0017,0.0073,134,-25.2,-25.2,-17.3,-23.0,2.0254,1.987,0.0005,0.0,0.0005,0.0022,3.366699999999998,0.3109000000000002,0.2746999999999997,0.0014,0.0002,0.0012,0.0051
Middle Tennessee,CUSA,133,-21.0,-26.0,-16.1,-20.9,2.4307,1.961,0.0024,0.0004,0.002,0.0136,135,-26.0,-26.0,-16.1,-20.9,1.4298,1.2254,0.0001,0.0,0.0001,0.0005,5.0,1.0009,0.7356,0.0023,0.0004,0.0019,0.013099999999999999
Sam Houston,CUSA,136,-22.9333,-26.3,-18.4,-24.1,1.8705,1.6489,0.0006,0.0001,0.0005,0.002,136,-26.3,-26.3,-18.4,-24.1,1.4406,1.3237,0.0,0.0,0.0,0.0002,3.3667000000000016,0.42989999999999995,0.32519999999999993,0.0006,0.0001,0.0005,0.0018
Massachusetts,MAC,138,-26.0667,-30.9,-18.8,-28.5,1.4024,1.3211,0.0,0.0,0.0,0.0,137,-30.9,-30.9,-18.8,-28.5,0.9655,0.9258,0.0,0.0,0.0,0.0,4.833299999999998,0.43690000000000007,0.3953,0.0,0.0,0.0,0.0
Charlotte,American,137,-23.4333,-32.4,-14.6,-23.3,0.7938,0.5683,0.0,0.0,0.0,0.0,138,-32.4,-32.4,-14.6,-23.3,0.244,0.1761,0.0,0.0,0.0,0.0,8.9667,0.5498,0.3922,0.0,0.0,0.0,0.0
