game_id,week,date,away_team,home_team,neutral_site,site_spread_home,site_spread_text,site_total,blend_spread_home,blend_spread_text,blend_total,spread_sources_used,total_sources_used,spread_weight_detail,total_weight_detail,source_count_spread,source_count_total,dratings_spread_home,dratings_spread_text,dratings_total,spread_disagreement_dratings,total_disagreement_dratings,spread_weight_dratings,total_weight_dratings,massey_spread_home,massey_spread_text,massey_total,spread_disagreement_massey,total_disagreement_massey,spread_weight_massey,total_weight_massey,sagarin_homeaway_spread_home,sagarin_homeaway_spread_text,sagarin_homeaway_total,spread_disagreement_sagarin_homeaway,total_disagreement_sagarin_homeaway,spread_weight_sagarin_homeaway,total_weight_sagarin_homeaway,sagarin_predictor_spread_home,sagarin_predictor_spread_text,sagarin_predictor_total,spread_disagreement_sagarin_predictor,total_disagreement_sagarin_predictor,spread_weight_sagarin_predictor,total_weight_sagarin_predictor,spread_disagreement,total_disagreement
g46,1,2026-09-05,Northern Illinois,Iowa,False,34.047,Iowa -34.0,46.6,34.047,Iowa -34.0,46.6,Site Projection,Site Projection,Site Projection:1,Site Projection:1,1,1,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g47,1,2026-09-05,Southeast Missouri,Iowa State,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g48,1,2026-09-05,Liberty,James Madison,False,12.19,James Madison -12.2,54.45,12.19,James Madison -12.2,54.45,Site Projection,Site Projection,Site Projection:1,Site Projection:1,1,1,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g49,1,2026-09-05,Eastern Kentucky,Jacksonville State,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g50,1,2026-09-05,Nicholls,Kansas State,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g51,1,2026-09-05,Youngstown State,Kentucky,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g52,1,2026-09-05,Clemson,LSU,False,9.8,LSU -9.8,45.75,9.8,LSU -9.8,45.75,Site Projection,Site Projection,Site Projection:1,Site Projection:1,1,1,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g53,1,2026-09-05,Lamar,Louisiana,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g54,1,2026-09-05,Northwestern State,Louisiana Tech,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g55,1,2026-09-05,Hampton,Maryland,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,
