team,team_normalized,historical_conference,current_2026_conference,development_home_games,raw_team_hfa,conference_hfa,shrunk_team_hfa,current_site_hfa,difference_recommended_vs_current,difference_recommended_vs_2_5,holdout_2025_home_games,holdout_current_site_mae,holdout_conference_team_mae,confidence
Tennessee,tennessee,SEC,SEC,14,1.792857142857142,2.736456348395011,2.280925697445695,2.3,-0.019074302554304978,-0.21907430255430516,6,5.983333333333334,5.98969143418477,Medium
Tulane,tulane,American Athletic,American,14,2.6,2.37729004745856,2.4848051969613243,3.1,-0.6151948030386758,-0.015194803038675708,4,5.475,5.475,Medium
Wyoming,wyoming,Mountain West,MW,14,2.5785714285714283,2.7033417328939717,2.6431077928761924,3.0,-0.35689220712380765,0.14310779287619235,5,2.1600000000000006,1.945864675725716,Medium
Colorado State,colorado st,Mountain West,PAC12,13,4.332461538461539,2.7033417328939717,3.4597187854789135,2.0,1.4597187854789135,0.9597187854789135,5,10.0,8.540281214521087,Medium
East Carolina,east carolina,American Athletic,American,13,-2.7230769230769223,2.37729004745856,0.009262525424228991,1.9,-1.890737474575771,-2.490737474575771,5,4.9799999999999995,4.601852505084846,Medium
Florida,florida,SEC,SEC,13,3.561538461538462,2.736456348395011,3.1195301866401848,2.5,0.6195301866401848,0.6195301866401848,3,5.933333333333334,5.313803146693148,Medium
Fresno State,fresno st,Mountain West,PAC12,13,0.7307692307692305,2.7033417328939717,1.7875044997646274,2.7,-0.9124955002353727,-0.7124955002353726,4,3.6,3.143752249882314,Medium
Navy,navy,American Athletic,American,13,6.509384615384617,2.37729004745856,4.295762525424229,2.6,1.6957625254242292,1.7957625254242293,3,3.7999999999999994,4.365254175141409,Medium
Nevada,nevada,Mountain West,MW,13,2.132461538461539,2.7033417328939717,2.4382902140503426,2.1,0.33829021405034254,-0.06170978594965737,4,4.85,4.680854892974828,Medium
UCF,ucf,American Athletic,B12,13,0.6000000000000003,2.37729004745856,1.5521196682813716,2.7,-1.1478803317186286,-0.9478803317186284,3,3.766666666666667,2.6187863349480383,Medium
UNLV,unlv,Mountain West,MW,13,1.3000000000000005,2.7033417328939717,2.051790214050342,2.1,-0.04820978594965819,-0.4482097859496581,4,1.725,1.7008951070251714,Medium
Utah State,utah st,Mountain West,PAC12,13,5.230769230769231,2.7033417328939717,3.876790214050342,2.7,1.176790214050342,1.376790214050342,4,1.4499999999999997,2.376790214050342,Medium
Wake Forest,wake forest,ACC,ACC,13,3.1538461538461537,2.6733097014925375,2.8964159115138597,3.0,-0.10358408848614031,0.3964159115138597,3,2.866666666666667,2.9011946961620474,Medium
Alabama,alabama,SEC,SEC,12,4.601833333333334,2.736456348395011,3.565512786145377,3.2,0.36551278614537663,1.0655127861453768,5,4.12,3.754487213854623,Medium
