team,historical_conference,development_home_games,current_site_hfa,conference_hfa,shrunk_team_hfa,difference_recommended_vs_current,confidence
App State,Sun Belt,7,1.8,2.4417531905688947,2.9840135390242466,1.1840135390242466,Low
New Mexico State,FBS Independents,7,3.0,2.5529123509966944,1.072440239315928,-1.927559760684072,Low
Akron,Mid-American,6,0.7,2.344403122004656,2.088859372860468,1.3888593728604681,Low
Ball State,Mid-American,6,1.5,2.344403122004656,3.2126688966699923,1.7126688966699923,Low
Buffalo,Mid-American,6,2.8,2.344403122004656,2.06028794428904,-0.7397120557109598,Low
Florida International,Conference USA,6,1.8,2.31889552238806,1.2325444207533758,-0.5674555792466243,Low
Texas State,Sun Belt,6,2.3,2.4417531905688947,3.291728469453973,0.9917284694539732,Low
Toledo,Mid-American,6,2.6,2.344403122004656,0.8936212776223735,-1.7063787223776266,Low
Ohio,Mid-American,5,2.9,2.344403122004656,2.743302341503492,-0.15669765849650785,Low
UL Monroe,Sun Belt,1,1.5,2.4417531905688947,2.239143616158339,0.7391436161583389,Low
bowling green,,0,1.5,2.5392492537313434,2.5392492537313434,1.0392492537313434,Low
central michigan,,0,1.7,2.5392492537313434,2.5392492537313434,0.8392492537313434,Low
delaware,,0,2.5,2.5392492537313434,2.5392492537313434,0.03924925373134336,Low
eastern michigan,,0,1.5,2.5392492537313434,2.5392492537313434,1.0392492537313434,Low
florida atlantic,,0,1.8,2.5392492537313434,2.5392492537313434,0.7392492537313433,Low
georgia southern,,0,3.6,2.5392492537313434,2.5392492537313434,-1.0607507462686567,Low
georgia tech,,0,1.4,2.5392492537313434,2.5392492537313434,1.1392492537313434,Low
hawaii,,0,2.1,2.5392492537313434,2.5392492537313434,0.43924925373134327,Low
jacksonville st,,0,2.5,2.5392492537313434,2.5392492537313434,0.03924925373134336,Low
james madison,,0,2.7,2.5392492537313434,2.5392492537313434,-0.16075074626865682,Low
kennesaw state,,0,2.5,2.5392492537313434,2.5392492537313434,0.03924925373134336,Low
kent st,,0,2.1,2.5392492537313434,2.5392492537313434,0.43924925373134327,Low
louisiana tech,,0,2.4,2.5392492537313434,2.5392492537313434,0.13924925373134345,Low
miami fl,,0,1.7,2.5392492537313434,2.5392492537313434,0.8392492537313434,Low
miami oh,,0,2.7,2.5392492537313434,2.5392492537313434,-0.16075074626865682,Low
middle tennessee,,0,3.2,2.5392492537313434,2.5392492537313434,-0.6607507462686568,Low
mississippi st,,0,2.6,2.5392492537313434,2.5392492537313434,-0.06075074626865673,Low
missouri state,,0,2.5,2.5392492537313434,2.5392492537313434,0.03924925373134336,Low
north carolina,,0,2.5,2.5392492537313434,2.5392492537313434,0.03924925373134336,Low
north dakota state,,0,2.5,2.5392492537313434,2.5392492537313434,0.03924925373134336,Low
north texas,,0,2.9,2.5392492537313434,2.5392492537313434,-0.36075074626865655,Low
northern illinois,,0,1.1,2.5392492537313434,2.5392492537313434,1.4392492537313433,Low
old dominion,,0,1.7,2.5392492537313434,2.5392492537313434,0.8392492537313434,Low
ole miss,,0,2.4,2.5392492537313434,2.5392492537313434,0.13924925373134345,Low
sacramento state,,0,2.5,2.5392492537313434,2.5392492537313434,0.03924925373134336,Low
sam houston,,0,2.5,2.5392492537313434,2.5392492537313434,0.03924925373134336,Low
south alabama,,0,2.5,2.5392492537313434,2.5392492537313434,0.03924925373134336,Low
south carolina,,0,2.3,2.5392492537313434,2.5392492537313434,0.23924925373134354,Low
south florida,,0,2.6,2.5392492537313434,2.5392492537313434,-0.06075074626865673,Low
southern miss,,0,2.1,2.5392492537313434,2.5392492537313434,0.43924925373134327,Low
troy,,0,1.7,2.5392492537313434,2.5392492537313434,0.8392492537313434,Low
virginia tech,,0,2.3,2.5392492537313434,2.5392492537313434,0.23924925373134354,Low
west virginia,,0,3.4,2.5392492537313434,2.5392492537313434,-0.8607507462686566,Low
western kentucky,,0,2.8,2.5392492537313434,2.5392492537313434,-0.26075074626865646,Low
western michigan,,0,2.5,2.5392492537313434,2.5392492537313434,0.03924925373134336,Low
