conference_shrinkage,team_shrinkage,selection_games,conference_mae,conference_team_mae,generic_2_5_mae,current_site_mae
5,80,436,4.171368693675179,4.14354791628482,4.165825688073395,4.327293577981651
0,80,436,4.170806299316507,4.14363079758431,4.165825688073395,4.327293577981651
80,120,436,4.172581702953993,4.14871808290766,4.165825688073395,4.327293577981651
60,120,436,4.172817466343368,4.149195752430966,4.165825688073395,4.327293577981651
40,120,436,4.172901152209076,4.14980921178274,4.165825688073395,4.327293577981651
30,120,436,4.172806930576784,4.150165022096974,4.165825688073395,4.327293577981651
20,120,436,4.172523656657602,4.150544918524716,4.165825688073395,4.327293577981651
15,120,436,4.172263752114223,4.150760612515909,4.165825688073395,4.327293577981651
10,120,436,4.171880264118106,4.150963472512811,4.165825688073395,4.327293577981651
5,120,436,4.171368693675179,4.151131439945353,4.165825688073395,4.327293577981651
0,120,436,4.170806299316507,4.151220212749924,4.165825688073395,4.327293577981651
