path,market,relevant_columns,max_populated_rows,rows,games
/Users/jameslindesmith/NCAAF_AUTO/data/odds/theodds_season_game_lines_2026.csv,spread,market_spread_home | market_spread_text | market_spread_price | market_spread_book | market_spread_last_update,125,125,125.0
/Users/jameslindesmith/NCAAF_AUTO/data/odds/theodds_season_game_lines_2026.csv,total,market_total | market_total_book | market_total_over_price | market_total_under_price | market_total_last_update,125,125,125.0
/Users/jameslindesmith/NCAAF_AUTO/data/odds/theodds_season_game_lines_2026_audit.csv,spread,has_spread,125,125,125.0
/Users/jameslindesmith/NCAAF_AUTO/data/odds/theodds_season_game_lines_2026_audit.csv,total,has_total,125,125,125.0
/Users/jameslindesmith/NCAAF_AUTO/data/ratings/market_implied_target_excluded_2026.json,spread,predicted_market_rating_spread | target_market_spread,130,130,130.0
/Users/jameslindesmith/NCAAF_AUTO/data/research/conference_rp_market_signal_games.csv,spread,rp_team_spread | spread_bucket,355,355,355.0
/Users/jameslindesmith/NCAAF_AUTO/data/research/conference_rp_market_signal_summary.csv,spread,spread_bucket,3,3,
/Users/jameslindesmith/NCAAF_AUTO/data/research/conference_rp_market_signal_summary_all.csv,spread,spread_bucket,82,82,
/Users/jameslindesmith/NCAAF_AUTO/data/research/pbp_market_modeling_2021_2025/provider_market_rows.csv,spread,closing_home_spread | opening_home_spread,16666,16689,6663.0
/Users/jameslindesmith/NCAAF_AUTO/data/research/pbp_market_modeling_2021_2025/provider_market_rows.csv,total,closing_total | opening_total,16563,16689,6663.0
/Users/jameslindesmith/NCAAF_AUTO/data/research/pbp_market_modeling_2021_2025/provider_market_rows.csv,moneyline,home_moneyline | away_moneyline,7321,16689,6663.0
/Users/jameslindesmith/NCAAF_AUTO/data/research/postgame_total_market_update_baseline_aware_2021_2025/holdout_2025_predictions_baseline_aware.csv,total,target_total_innovation,762,762,762.0
/Users/jameslindesmith/NCAAF_AUTO/data/research/postgame_total_market_update_baseline_aware_2021_2025/modeling_rows_baseline_aware.csv,total,target_total_innovation | home_prev_total_residual | away_prev_total_residual,3727,3727,3727.0
/Users/jameslindesmith/NCAAF_AUTO/data/research/rp_1h_rule_by_market_role_2024_2025.csv,spread,avg_1h_spread,5,5,
