season_year,starts_at,away_team,home_team,away_tz,home_tz,tz_delta,tz_abs,travel_direction,travel_bucket,away_game_spread,traveler_role,away_final_margin,traveler_ats_margin,traveler_ats_result,game_total,final_total_points,game_total_margin,game_total_result_calc,away_1h_spread,traveler_1h_ats_margin,traveler_1h_ats_result,one_h_total,one_h_total_points,one_h_total_margin,one_h_total_result_calc
2024,2024-09-07T20:00:00.000Z,UTSA,Texas State,-6.0,-6.0,0.0,0.0,Same/no major,0 TZ,2.5,Underdog,-39,-36.5,L,58.5,59,0.5,O,0.5,-31.5,L,29.5,38,8.5,O
2024,2024-09-07T20:30:00.000Z,Marshall,Virginia Tech,-5.0,-5.0,0.0,0.0,Same/no major,0 TZ,20.5,Underdog,-17,3.5,W,52.5,45,-7.5,U,10.5,7.5,W,27.5,17,-10.5,U
2024,2024-09-07T22:00:00.000Z,East Carolina,Old Dominion,-5.0,-5.0,0.0,0.0,Same/no major,0 TZ,1.5,Underdog,6,7.5,W,53.5,34,-19.5,U,0.5,-0.5,L,26.5,13,-13.5,U
2024,2024-09-07T22:00:00.000Z,South Alabama,Ohio,-6.0,-5.0,1.0,1.0,Eastbound,1 TZ,-2.5,Favorite,-7,-9.5,L,57.0,47,-10.0,U,-0.5,-7.5,L,27.5,27,-0.5,U
2024,2024-09-07T22:00:00.000Z,UAlbany,West Virginia,-5.0,-5.0,0.0,0.0,Same/no major,0 TZ,32.5,Underdog,-35,-2.5,L,53.5,63,9.5,O,23.5,9.5,W,30.5,42,11.5,O
2024,2024-09-07T23:00:00.000Z,Georgia Southern,Nevada,-5.0,-8.0,-3.0,3.0,Westbound,3+ TZ,1.0,Underdog,3,4.0,W,58.5,37,-21.5,U,0.5,3.5,W,28.5,31,2.5,O
2024,2024-09-07T23:00:00.000Z,Kansas,Illinois,-6.0,-6.0,0.0,0.0,Same/no major,0 TZ,-4.5,Favorite,-6,-10.5,L,57.5,40,-17.5,U,-2.5,-5.5,L,28.5,23,-5.5,U
2024,2024-09-07T23:00:00.000Z,South Florida,Alabama,-5.0,-6.0,-1.0,1.0,Westbound,1 TZ,30.5,Underdog,-26,4.5,W,64.0,58,-6.0,U,18.5,10.5,W,34.5,20,-14.5,U
2024,2024-09-07T23:00:00.000Z,Virginia,Wake Forest,-5.0,-5.0,0.0,0.0,Same/no major,0 TZ,-1.0,Favorite,1,0.0,P,55.5,61,5.5,O,0.5,-2.5,L,27.5,37,9.5,O
2024,2024-09-07T23:30:00.000Z,Colorado,Nebraska,-7.0,-6.0,1.0,1.0,Eastbound,1 TZ,6.5,Underdog,-18,-11.5,L,55.5,38,-17.5,U,3.5,-24.5,L,28.0,28,0.0,P
2024,2024-09-07T23:30:00.000Z,Western Michigan,Ohio State,-5.0,-5.0,0.0,0.0,Same/no major,0 TZ,37.5,Underdog,-56,-18.5,L,54.5,56,1.5,O,24.5,-10.5,L,30.5,35,4.5,O
2024,2024-09-07T23:45:00.000Z,Houston,Oklahoma,-6.0,-6.0,0.0,0.0,Same/no major,0 TZ,27.5,Underdog,-4,23.5,W,49.5,28,-21.5,U,16.5,8.5,W,27.5,20,-7.5,U
2024,2024-09-08T03:00:00.000Z,Utah State,USC,-7.0,-8.0,-1.0,1.0,Westbound,1 TZ,28.5,Underdog,-48,-19.5,L,63.5,48,-15.5,U,17.5,-9.5,L,34.0,27,-7.0,U
2024,2024-09-13T23:00:00.000Z,UNLV,Kansas,-8.0,-6.0,2.0,2.0,Eastbound,2 TZ,-3.5,Favorite,3,-0.5,L,42.5,43,0.5,O,5.5,1.5,W,28.5,30,1.5,O
2024,2024-09-14T16:00:00.000Z,Alabama,Wisconsin,-6.0,-6.0,0.0,0.0,Same/no major,0 TZ,-33.5,Favorite,32,-1.5,L,53.5,52,-1.5,U,-9.5,8.5,W,26.0,24,-2.0,U
2024,2024-09-14T16:00:00.000Z,Central Michigan,Illinois,-5.0,-6.0,-1.0,1.0,Westbound,1 TZ,20.5,Underdog,-21,-0.5,L,40.0,39,-1.0,U,11.5,4.5,W,26.5,19,-7.5,U
2024,2024-09-14T16:00:00.000Z,Cincinnati,Miami (OH),-5.0,-5.0,0.0,0.0,Same/no major,0 TZ,-3.0,Favorite,11,8.0,W,46.5,43,-3.5,U,-1.5,5.5,W,22.5,13,-9.5,U
2024,2024-09-14T16:00:00.000Z,Louisiana Tech,NC State,-6.0,-5.0,1.0,1.0,Eastbound,1 TZ,10.5,Underdog,-10,0.5,W,56.5,50,-6.5,U,11.5,22.5,W,25.5,23,-2.5,U
2024,2024-09-14T16:00:00.000Z,Memphis,Florida State,-6.0,-5.0,1.0,1.0,Eastbound,1 TZ,-8.5,Favorite,8,-0.5,L,33.5,32,-1.5,U,3.5,13.5,W,26.5,16,-10.5,U
2024,2024-09-14T16:00:00.000Z,North Texas,Texas Tech,-6.0,-6.0,0.0,0.0,Same/no major,0 TZ,40.5,Underdog,-45,-4.5,L,89.5,87,-2.5,U,6.5,-38.5,L,34.5,59,24.5,O
2024,2024-09-14T16:45:00.000Z,Boston College,Missouri,-5.0,-6.0,-1.0,1.0,Westbound,1 TZ,9.5,Underdog,-6,3.5,W,44.5,48,3.5,O,8.0,5.0,W,27.5,31,3.5,O
2024,2024-09-14T17:00:00.000Z,UMass,Buffalo,-5.0,-5.0,0.0,0.0,Same/no major,0 TZ,3.5,Underdog,-31,-27.5,L,46.0,37,-9.0,U,1.5,-5.5,L,23.0,13,-10.0,U
2024,2024-09-14T18:00:00.000Z,Coastal Carolina,Temple,-5.0,-5.0,0.0,0.0,Same/no major,0 TZ,-7.5,Favorite,8,0.5,W,50.5,48,-2.5,U,-9.5,1.5,W,27.0,31,4.0,O
2024,2024-09-14T19:30:00.000Z,Nevada,Minnesota,-8.0,-6.0,2.0,2.0,Eastbound,2 TZ,27.5,Underdog,-27,0.5,W,30.5,27,-3.5,U,9.5,-10.5,L,23.5,20,-3.5,U
2024,2024-09-14T19:30:00.000Z,Notre Dame,Purdue,-5.0,-5.0,0.0,0.0,Same/no major,0 TZ,-59.5,Favorite,59,-0.5,L,73.5,73,-0.5,U,-4.5,37.5,W,23.5,42,18.5,O
2024,2024-09-14T19:30:00.000Z,Oregon,Oregon State,-8.0,-8.0,0.0,0.0,Same/no major,0 TZ,-34.5,Favorite,35,0.5,W,64.0,63,-1.0,U,-9.5,-1.5,L,26.0,36,10.0,O
2024,2024-09-14T19:30:00.000Z,Texas A&M,Florida,-6.0,-5.0,1.0,1.0,Eastbound,1 TZ,-13.5,Favorite,13,-0.5,L,59.5,53,-6.5,U,-2.5,17.5,W,23.5,20,-3.5,U
