season,week,game_id,home_team,away_team,fpi_target,tr_target,actual_close,actual_result_spread,timing_unknown_opener,home_completed_week,away_completed_week,home_current_snapshot_week,away_current_snapshot_week,home_target_sp_plus_week,away_target_sp_plus_week,cutoff_valid,game_identity_valid
2025,5,401752849,Minnesota,Rutgers,-1.15,-2.5,-3.5,-3,-6.0,3.0,4.0,2.0,3.0,3.0,4.0,True,True
2025,5,401762473,Navy,Rice,-15.64,-20.4,-14.5,-8,-14.5,3.0,4.0,2.0,3.0,3.0,4.0,True,True
2025,5,401761617,North Texas,South Alabama,-11.48,-16.5,-11.5,-14,-10.5,4.0,4.0,3.0,3.0,4.0,4.0,True,True
2025,5,401752851,Northwestern,UCLA,-6.91,-8.5,-6.5,-3,-6.0,3.0,3.0,2.0,2.0,3.0,3.0,True,True
2025,5,401754547,Pittsburgh,Louisville,1.78,3.0,3.5,7,3.0,3.0,4.0,2.0,3.0,3.0,4.0,True,True
2025,5,401752722,South Carolina,Kentucky,-1.75,-3.9,-6.5,-22,-7.0,4.0,3.0,3.0,2.0,4.0,3.0,True,True
2025,5,401754545,Syracuse,Duke,2.98,-8.8,3.5,35,4.5,4.0,4.0,3.0,3.0,4.0,4.0,True,True
2025,5,401752724,Texas A&M,Auburn,-5.06,-5.0,-6.5,-6,-7.5,3.0,4.0,2.0,3.0,3.0,4.0,True,True
2025,5,401762824,Toledo,Akron,-18.34,-26.3,-22.5,-42,-21.5,4.0,3.0,3.0,2.0,4.0,3.0,True,True
2025,5,401762474,Tulsa,Tulane,11.97,13.5,14.5,17,13.5,4.0,4.0,3.0,3.0,4.0,4.0,True,True
2025,6,401752726,Alabama,Vanderbilt,-6.81,-13.7,-13.5,-16,-13.5,5.0,5.0,4.0,4.0,5.0,5.0,True,True
2025,6,401754551,California,Duke,2.92,4.2,3.5,24,3.5,5.0,5.0,4.0,4.0,5.0,5.0,True,True
2025,6,401752727,Florida,Texas,7.9,4.7,4.5,-8,6.5,4.0,4.0,3.0,3.0,4.0,4.0,True,True
2025,6,401752728,Georgia,Kentucky,-16.81,-20.6,-19.5,-21,9.0,5.0,5.0,4.0,4.0,5.0,5.0,True,True
2025,6,401756913,Houston,Texas Tech,6.97,13.4,11.5,24,10.5,5.0,4.0,4.0,3.0,5.0,4.0,True,True
2025,6,401754554,Louisville,Virginia,-1.4,-5.0,-6.5,3,-7.0,5.0,5.0,4.0,4.0,5.0,5.0,True,True
2025,6,401752857,Maryland,Washington,0.34,7.7,5.5,4,5.5,4.0,5.0,3.0,4.0,4.0,5.0,True,True
2025,6,401762478,Memphis,Tulsa,-25.57,-22.4,-21.5,-38,-20.5,5.0,5.0,4.0,4.0,5.0,5.0,True,True
2025,6,401752856,Michigan,Wisconsin,-16.01,-20.0,-17.5,-14,-16.0,4.0,4.0,3.0,3.0,4.0,4.0,True,True
2025,6,401760381,Navy,Air Force,-13.15,-14.3,-13.5,-3,-9.5,5.0,5.0,4.0,4.0,5.0,5.0,True,True
2025,6,401754552,North Carolina,Clemson,8.26,14.5,15.5,28,13.0,4.0,4.0,3.0,3.0,4.0,4.0,True,True
2025,6,401752861,Purdue,Illinois,6.99,14.2,7.5,16,10.0,4.0,5.0,3.0,4.0,4.0,5.0,True,True
2025,6,401754555,SMU,Syracuse,-11.47,-7.8,-17.5,-13,-14.5,4.0,5.0,3.0,4.0,4.0,5.0,True,True
2025,6,401756914,TCU,Colorado,-9.13,-10.2,-14.5,-14,-14.5,5.0,5.0,4.0,4.0,5.0,5.0,True,True
2025,6,401762476,UAB,Army,2.75,6.7,6.5,18,7.5,4.0,5.0,3.0,4.0,4.0,5.0,True,True
2025,6,401760385,Wyoming,UNLV,6.69,3.6,4.5,14,3.5,4.0,4.0,3.0,3.0,4.0,4.0,True,True
2025,7,401756916,Arizona,BYU,5.34,6.1,2.5,6,1.5,6.0,6.0,5.0,5.0,6.0,6.0,True,True
2025,7,401762483,Army,Charlotte,-16.21,-22.3,-17.5,-17,-17.5,6.0,6.0,5.0,5.0,6.0,6.0,True,True
2025,7,401752731,Auburn,Georgia,3.58,3.8,4.5,10,3.5,5.0,6.0,4.0,5.0,5.0,6.0,True,True
2025,7,401752732,LSU,South Carolina,-6.31,-13.0,-8.5,-10,-9.5,5.0,5.0,4.0,4.0,5.0,5.0,True,True
2025,7,401752867,Maryland,Nebraska,4.37,12.4,6.5,3,3.5,6.0,6.0,5.0,5.0,6.0,6.0,True,True
2025,7,401752864,Minnesota,Purdue,-3.47,-10.0,-7.5,-7,-10.0,6.0,6.0,5.0,5.0,6.0,6.0,True,True
2025,7,401752734,Missouri,Alabama,3.37,9.7,3.5,3,5.0,5.0,6.0,4.0,5.0,5.0,6.0,True,True
2025,7,401752870,Oregon,Indiana,-4.98,-2.1,-7.5,10,-9.5,5.0,5.0,4.0,4.0,5.0,5.0,True,True
2025,7,401754561,SMU,Stanford,-13.32,-17.2,-19.5,-24,-17.5,6.0,5.0,5.0,4.0,6.0,5.0,True,True
2025,7,401762484,Temple,Navy,2.68,5.1,10.5,1,7.5,6.0,6.0,5.0,5.0,6.0,6.0,True,True
2025,7,401752735,Tennessee,Arkansas,-10.77,-11.4,-10.5,-3,-13.0,5.0,5.0,4.0,4.0,5.0,5.0,True,True
2025,7,401752736,Texas,Oklahoma,-2.73,-0.2,-2.5,-17,-3.0,6.0,6.0,5.0,5.0,6.0,6.0,True,True
2025,7,401752737,Texas A&M,Florida,-6.65,-6.3,-6.5,-17,-7.5,6.0,6.0,5.0,5.0,6.0,6.0,True,True
2025,7,401756921,Texas Tech,Kansas,-6.87,-14.5,-13.5,-25,-14.0,6.0,6.0,5.0,5.0,6.0,6.0,True,True
2025,7,401760386,UNLV,Air Force,-12.71,-8.6,-7.5,-3,-7.0,6.0,6.0,5.0,5.0,6.0,6.0,True,True
2025,7,401752868,USC,Michigan,-4.89,-2.6,-2.5,-18,-2.5,5.0,6.0,4.0,5.0,5.0,6.0,True,True
2025,7,401757277,UTEP,Liberty,-1.65,2.8,1.5,11,3.0,5.0,5.0,4.0,4.0,5.0,5.0,True,True
2025,7,401752862,Washington,Rutgers,-7.47,-8.3,-9.5,-19,-10.5,6.0,5.0,5.0,4.0,6.0,5.0,True,True
2025,7,401752869,Wisconsin,Iowa,3.16,6.0,4.5,37,3.0,6.0,5.0,5.0,4.0,6.0,5.0,True,True
2025,8,401760392,Air Force,Wyoming,-2.06,-4.9,-3.5,-3,-6.0,7.0,7.0,6.0,6.0,7.0,7.0,True,True
2025,8,401752738,Alabama,Tennessee,-6.25,-12.7,-8.5,-17,-8.5,7.0,7.0,6.0,6.0,7.0,7.0,True,True
2025,8,401752739,Arkansas,Texas A&M,5.3,9.2,8.5,3,7.5,7.0,7.0,6.0,6.0,7.0,7.0,True,True
2025,8,401752740,Auburn,Missouri,0.91,-1.3,1.5,6,-2.5,7.0,7.0,6.0,6.0,7.0,7.0,True,True
2025,8,401756924,BYU,Utah,-0.14,3.8,5.5,-3,3.0,7.0,7.0,6.0,6.0,7.0,7.0,True,True
2025,8,401754371,California,North Carolina,-7.54,-7.0,-8.5,-3,-10.5,6.0,6.0,5.0,5.0,6.0,6.0,True,True
2025,8,401762489,Charlotte,Temple,9.02,13.9,9.5,35,10.5,7.0,7.0,6.0,6.0,7.0,7.0,True,True
2025,8,401754565,Clemson,SMU,-3.36,-9.2,-5.5,11,-10.5,7.0,7.0,6.0,6.0,7.0,7.0,True,True
2025,8,401756925,Houston,Arizona,-0.05,-1.3,2.5,-3,-2.5,7.0,7.0,6.0,6.0,7.0,7.0,True,True
2025,8,401752743,Kentucky,Texas,10.55,15.3,13.5,3,12.0,6.0,7.0,5.0,6.0,6.0,7.0,True,True
2025,8,401752873,Michigan,Washington,-4.72,-4.6,-4.5,-17,-6.5,7.0,7.0,6.0,6.0,7.0,7.0,True,True
2025,8,401752872,Minnesota,Nebraska,7.2,9.5,6.5,-18,5.0,7.0,7.0,6.0,6.0,7.0,7.0,True,True
2025,8,401760395,New Mexico,Nevada,-15.39,-15.9,-14.5,-2,-10.5,7.0,7.0,6.0,6.0,7.0,7.0,True,True
