snapshot_date,season,team,conference,book,win_total,over_odds,under_odds,source_url,notes
2026-07-17,2026,Sacramento State Hornets,,DraftKings,4.5,-125,-105,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Sacramento State Hornets
2026-07-17,2026,UCLA Bruins,,DraftKings,6.5,110,-132,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=UCLA Bruins
2026-07-17,2026,Louisiana Tech,,DraftKings,5.5,-160,125,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Louisiana Tech Bulldogs
2026-07-17,2026,UTEP,,DraftKings,3.5,110,-140,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=UTEP Miners
2026-07-17,2026,Army Black,,DraftKings,7.5,-146,115,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Army Black Knights
2026-07-17,2026,Old Dominion Monarchs,,DraftKings,7.5,-120,-110,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Old Dominion Monarchs
2026-07-17,2026,San Jose State,,DraftKings,3.5,-180,140,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=San Jose State Spartans
2026-07-17,2026,Missouri,,DraftKings,6.5,-136,115,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Missouri Tigers
2026-07-17,2026,Purdue Boilermakers,,DraftKings,3.5,100,-120,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Purdue Boilermakers
2026-07-17,2026,Charlotte 49ers,,DraftKings,2.5,120,-150,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Charlotte 49ers
2026-07-17,2026,Boise State,,DraftKings,8.5,200,-270,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Boise State Broncos
2026-07-17,2026,UNLV,,DraftKings,7.5,-174,134,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=UNLV Rebels
2026-07-17,2026,Boston College,,DraftKings,3.5,100,-120,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Boston College Eagles
