_source_file,_game_date,away_team,home_team,_away_norm,_home_norm,rows,snapshots,first_snapshot,last_snapshot
data/odds/season_game_lines_2026.csv,2026-09-05,Oklahoma State,Tulsa,oklahoma state,tulsa,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-09-05,Oregon State,Houston,oregon state,houston,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-09-05,Sam Houston,Troy,sam houston,troy,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-09-05,Texas State,Texas,texas state,texas,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-09-05,Toledo,Michigan State,toledo,michigan state,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-09-05,Tulane,Duke,tulane,duke,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-09-05,UL Monroe,Mississippi State,ul monroe,mississippi state,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-09-05,UTEP,Oklahoma,utep,oklahoma,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-09-05,Western Michigan,Michigan,western michigan,michigan,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-09-05,Wyoming,Colorado State,wyoming,colorado state,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-09-06,Louisville,Ole Miss,louisville,ole miss,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-09-06,Wisconsin,Notre Dame,wisconsin,notre dame,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-09-07,SMU,Florida State,smu,florida state,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-09-12,Ohio State,Texas,ohio state,texas,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-09-12,Oklahoma,Michigan,oklahoma,michigan,1,1,nan,nan
data/odds/theodds_season_game_lines_2026.csv,2026-08-29,Hawaii Rainbow Warriors,Stanford Cardinal,hawaii,stanford,1,1,nan,nan
data/odds/theodds_season_game_lines_2026.csv,2026-08-29,Jacksonville State Gamecocks,North Dakota State Bison,jacksonville state,north dakota state,1,1,nan,nan
data/odds/theodds_season_game_lines_2026.csv,2026-08-29,Memphis,UNLV,memphis,unlv,1,1,nan,nan
data/odds/theodds_season_game_lines_2026.csv,2026-08-29,NC State,Virginia,nc state,virginia,1,1,nan,nan
data/odds/theodds_season_game_lines_2026.csv,2026-08-29,New Mexico State,Florida State,new mexico state,florida state,1,1,nan,nan
data/odds/theodds_season_game_lines_2026.csv,2026-08-29,North Carolina Tar Heels,TCU Horned Frogs,north carolina,tcu,1,1,nan,nan
data/odds/theodds_season_game_lines_2026.csv,2026-08-29,Sacramento State,Eastern Michigan,sacramento state,eastern michigan,1,1,nan,nan
data/odds/theodds_season_game_lines_2026.csv,2026-08-29,San Jose State,USC,san jose state,usc,1,1,nan,nan
data/odds/theodds_season_game_lines_2026.csv,2026-09-04,San Jose State,Eastern Michigan,san jose state,eastern michigan,1,1,nan,nan
data/odds/theodds_season_game_lines_2026.csv,2026-09-05,Ball State,Ohio State,ball state,ohio state,1,1,nan,nan
data/odds/theodds_season_game_lines_2026.csv,2026-09-05,Baylor,Auburn,baylor,auburn,1,1,nan,nan
data/odds/theodds_season_game_lines_2026.csv,2026-09-05,Clemson,LSU,clemson,lsu,1,1,nan,nan
data/odds/theodds_season_game_lines_2026.csv,2026-09-05,Fresno State,USC,fresno state,usc,1,1,nan,nan
data/odds/theodds_season_game_lines_2026.csv,2026-09-05,Missouri State,Texas A&M,missouri state,texas a m,1,1,nan,nan
data/odds/theodds_season_game_lines_2026.csv,2026-09-05,Northern Illinois,Iowa,northern illinois,iowa,1,1,nan,nan
data/odds/theodds_season_game_lines_2026.csv,2026-09-05,UNLV,Hawaii Rainbow Warriors,unlv,hawaii,1,1,nan,nan
data/odds/theodds_season_game_lines_2026.csv,2026-09-05,Washington State,Washington,washington state,washington,1,1,nan,nan
data/odds/theodds_season_game_lines_2026.csv,2026-09-06,Louisville,Ole Miss,louisville,ole miss,1,1,nan,nan
data/odds/theodds_season_game_lines_2026.csv,2026-09-06,Wisconsin,Notre Dame,wisconsin,notre dame,1,1,nan,nan
data/odds/theodds_season_game_lines_2026.csv,2026-09-12,Ohio State,Texas,ohio state,texas,1,1,nan,nan
data/odds/theodds_season_game_lines_2026.csv,2026-09-19,LSU,Ole Miss,lsu,ole miss,1,1,nan,nan
data/odds/theodds_season_game_lines_2026.csv,2026-11-28,Michigan,Ohio State,michigan,ohio state,1,1,nan,nan
