game_id,season,week,start_date,away_team,home_team,opening_total,closing_total,actual_total,normalized_away,normalized_home
401404006,2022,5,2022-10-01T18:00:00.000Z,Oregon State,Utah,,54.5,58.0,oregon state,utah
401414782,2022,5,2022-10-01T18:00:00.000Z,Massachusetts,Eastern Michigan,,53.5,33.0,umass,eastern michigan
401416608,2022,5,2022-10-01T18:00:00.000Z,Northern Illinois,Ball State,,58.5,82.0,northern illinois,ball state
401415626,2022,5,2022-10-01T18:30:00.000Z,East Carolina,South Florida,,55.5,76.0,east carolina,south florida
401403902,2022,5,2022-10-01T19:30:00.000Z,Alabama,Arkansas,,61.0,75.0,alabama,arkansas
401404084,2022,5,2022-10-01T19:30:00.000Z,Iowa State,Kansas,,59.0,25.0,iowa state,kansas
401405103,2022,5,2022-10-01T19:30:00.000Z,Michigan State,Maryland,,58.5,40.0,michigan state,maryland
401405104,2022,5,2022-10-01T19:30:00.000Z,Rutgers,Ohio State,60.0,58.0,59.0,rutgers,ohio state
401405105,2022,5,2022-10-01T19:30:00.000Z,Northwestern,Penn State,,50.0,24.0,northwestern,penn state
401411127,2022,5,2022-10-01T19:30:00.000Z,Wake Forest,Florida State,,67.5,52.0,wake forest,florida state
401411128,2022,5,2022-10-01T19:30:00.000Z,Virginia Tech,North Carolina,,57.0,51.0,virginia tech,north carolina
401416607,2022,5,2022-10-01T19:30:00.000Z,Central Michigan,Toledo,,56.0,55.0,central michigan,toledo
401416609,2022,5,2022-10-01T19:30:00.000Z,Bowling Green,Akron,,49.5,59.0,bowling green,akron
401416610,2022,5,2022-10-01T19:30:00.000Z,Miami (OH),Buffalo,,50.5,44.0,miami ohio,buffalo
401416611,2022,5,2022-10-01T19:30:00.000Z,Ohio,Kent State,,65.5,55.0,ohio,kent state
401403906,2022,5,2022-10-01T20:00:00.000Z,Texas A&M,Mississippi State,,45.0,66.0,texas a and m,mississippi state
401426575,2022,5,2022-10-01T20:00:00.000Z,Florida Atlantic,North Texas,,67.5,73.0,florida atlantic,north texas
401426341,2022,5,2022-10-01T21:00:00.000Z,South Alabama,Louisiana,,47.5,37.0,south alabama,louisiana
401404004,2022,5,2022-10-01T21:30:00.000Z,California,Washington State,,52.5,37.0,california,washington state
401404161,2022,5,2022-10-01T22:00:00.000Z,Liberty,Old Dominion,,47.5,62.0,liberty,old dominion
401426573,2022,5,2022-10-01T22:00:00.000Z,UTEP,Charlotte,,56.0,76.0,utep,charlotte
401403903,2022,5,2022-10-01T23:00:00.000Z,LSU,Auburn,,44.5,38.0,lsu,auburn
401415627,2022,5,2022-10-01T23:00:00.000Z,Cincinnati,Tulsa,,59.0,52.0,cincinnati,tulsa
401426337,2022,5,2022-10-01T23:00:00.000Z,Georgia Southern,Coastal Carolina,,69.5,64.0,georgia southern,coastal carolina
401426340,2022,5,2022-10-01T23:00:00.000Z,UL Monroe,Arkansas State,,59.0,73.0,louisiana monroe,arkansas state
401426578,2022,5,2022-10-01T23:00:00.000Z,Troy,Western Kentucky,,55.0,61.0,troy,western kentucky
401403907,2022,5,2022-10-01T23:30:00.000Z,Georgia,Missouri,,54.5,48.0,georgia,missouri
401404087,2022,5,2022-10-01T23:30:00.000Z,West Virginia,Texas,,61.0,58.0,west virginia,texas
401405102,2022,5,2022-10-01T23:30:00.000Z,Indiana,Nebraska,,61.5,56.0,indiana,nebraska
401411125,2022,5,2022-10-01T23:30:00.000Z,NC State,Clemson,,45.5,50.0,nc state,clemson
401411126,2022,5,2022-10-01T23:30:00.000Z,Virginia,Duke,,55.0,55.0,virginia,duke
401411129,2022,5,2022-10-02T00:00:00.000Z,Georgia Tech,Pittsburgh,,47.0,47.0,georgia tech,pittsburgh
401404002,2022,5,2022-10-02T01:30:00.000Z,Colorado,Arizona,,58.0,63.0,colorado,arizona
401404003,2022,5,2022-10-02T02:30:00.000Z,Arizona State,USC,,61.0,67.0,arizona state,usc
401415629,2022,6,2022-10-05T23:00:00.000Z,SMU,UCF,,65.0,60.0,smu,ucf
401405111,2022,6,2022-10-07T23:00:00.000Z,Nebraska,Rutgers,,50.5,27.0,nebraska,rutgers
401416637,2022,11,2022-11-09T00:00:00.000Z,Eastern Michigan,Akron,,57.5,62.0,eastern michigan,akron
401416638,2022,11,2022-11-09T00:30:00.000Z,Ohio,Miami (OH),,52.0,58.0,ohio,miami ohio
401416636,2022,11,2022-11-09T01:00:00.000Z,Ball State,Toledo,,53.5,49.0,ball state,toledo
401416642,2022,12,2022-11-16T00:00:00.000Z,Bowling Green,Toledo,,46.5,77.0,bowling green,toledo
401416643,2022,12,2022-11-16T00:00:00.000Z,Ohio,Ball State,,57.5,50.0,ohio,ball state
401416648,2022,13,2022-11-23T00:00:00.000Z,Ball State,Miami (OH),,45.0,35.0,ball state,miami ohio
401416649,2022,13,2022-11-23T00:00:00.000Z,Bowling Green,Ohio,,52.5,52.0,bowling green,ohio
401531428,2023,3,2023-09-14T23:30:00.000Z,Navy,Memphis,,47.0,52.0,navy,memphis
401520231,2023,3,2023-09-15T23:00:00.000Z,Virginia,Maryland,,48.5,56.0,virginia,maryland
401531396,2023,3,2023-09-15T23:00:00.000Z,Army,UTSA,,42.0,66.0,army,utsa
401532581,2023,3,2023-09-16T00:00:00.000Z,Utah State,Air Force,,45.5,60.0,utah state,air force
401520222,2023,3,2023-09-16T16:00:00.000Z,Liberty,Buffalo,,54.0,82.0,liberty,buffalo
401520226,2023,3,2023-09-16T16:00:00.000Z,Penn State,Illinois,,47.5,43.0,penn state,illinois
401520230,2023,3,2023-09-16T16:00:00.000Z,Louisville,Indiana,,51.0,35.0,louisville,indiana
401520235,2023,3,2023-09-16T16:00:00.000Z,LSU,Mississippi State,,54.0,55.0,lsu,mississippi state
401520236,2023,3,2023-09-16T16:00:00.000Z,Kansas State,Missouri,,48.0,57.0,kansas state,missouri
