game_id,week,date,away_team,home_team,projection_margin_home,projection_margin_home_source,projection_margin_home_raw,market_spread_home,market_spread_home_source,market_spread_home_raw,ats_edge_home,ats_edge_side,projected_total,projected_total_source,projected_total_raw,market_total,market_total_source,market_total_raw,total_edge,total_side,has_projection_spread,has_market_spread,has_ats_edge,has_projection_total,has_market_total,has_total_edge,possible_pk_bug
g82,1,2026-09-05,New Hampshire,Syracuse,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g83,1,2026-09-05,Rhode Island,Temple,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g84,1,2026-09-05,Furman,Tennessee,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g85,1,2026-09-05,Texas State,Texas,32.6,blend_spread_home,32.6,,,,,,60.8,blend_total,60.8,,,,,,True,False,False,True,False,False,False
g86,1,2026-09-05,Missouri State,Texas A&M,41.5,blend_spread_home,41.5,,,,,,52.8,blend_total,52.8,,,,,,True,False,False,True,False,False,False
g87,1,2026-09-05,Abilene Christian,Texas Tech,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g88,1,2026-09-05,Sam Houston,Troy,22.0,blend_spread_home,22.0,,,,,,53.8,blend_total,53.8,,,,,,True,False,False,True,False,False,False
g89,1,2026-09-05,Oklahoma State,Tulsa,-14.0,blend_spread_home,-14.0,,,,,,54.3,blend_total,54.3,,,,,,True,False,False,True,False,False,False
g90,1,2026-09-05,Fresno State,USC,21.5,blend_spread_home,21.5,,,,,,50.9,blend_total,50.9,,,,,,True,False,False,True,False,False,False
g91,1,2026-09-05,UTRGV,UTSA,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g92,1,2026-09-05,Idaho State,Utah State,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g93,1,2026-09-05,Austin Peay,Vanderbilt,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g94,1,2026-09-05,VMI,Virginia Tech,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g95,1,2026-09-05,Washington State,Washington,21.9,blend_spread_home,21.9,,,,,,47.5,blend_total,47.5,,,,,,True,False,False,True,False,False,False
g96,1,2026-09-05,Coastal Carolina,West Virginia,18.0,blend_spread_home,18.0,,,,,,53.7,blend_total,53.7,,,,,,True,False,False,True,False,False,False
g97,1,2026-09-06,Wisconsin,Notre Dame,24.0,blend_spread_home,24.0,,,,,,47.0,blend_total,47.0,,,,,,True,False,False,True,False,False,False
g98,1,2026-09-06,Louisville,Ole Miss,4.9,blend_spread_home,4.9,,,,,,52.5,blend_total,52.5,,,,,,True,False,False,True,False,False,False
g99,1,2026-09-07,SMU,Florida State,-0.2,blend_spread_home,-0.2,,,,,,51.5,blend_total,51.5,,,,,,True,False,False,True,False,False,False
g100,2,2026-09-10,Florida A&M,Miami-FL,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g101,2,2026-09-11,Rutgers,Boston College,-1.4,blend_spread_home,-1.4,,,,,,55.9,blend_total,55.9,,,,,,True,False,False,True,False,False,False
g102,2,2026-09-11,Missouri,Kansas,-8.7,blend_spread_home,-8.7,,,,,,52.0,blend_total,52.0,,,,,,True,False,False,True,False,False,False
g103,2,2026-09-11,Villanova,Louisville,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g104,2,2026-09-12,North Dakota State,Air Force,2.2,blend_spread_home,2.2,,,,,,51.6,blend_total,51.6,,,,,,True,False,False,True,False,False,False
g105,2,2026-09-12,Robert Morris,Akron,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g106,2,2026-09-12,West Georgia,Arkansas State,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g107,2,2026-09-12,South Florida,Army,1.6,blend_spread_home,1.6,,,,,,54.9,blend_total,54.9,,,,,,True,False,False,True,False,False,False
g108,2,2026-09-12,Southern Miss,Auburn,37.1,blend_spread_home,37.1,,,,,,50.8,blend_total,50.8,,,,,,True,False,False,True,False,False,False
g109,2,2026-09-12,Arizona,BYU,7.4,blend_spread_home,7.4,,,,,,51.8,blend_total,51.8,,,,,,True,False,False,True,False,False,False
g110,2,2026-09-12,Stony Brook,Ball State,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
