market,snapshot_prev,snapshot_latest,season,conference,team,book,field,previous,latest,change,implied_prob_change_pct,summary
Win Total,2026-05-10,2026-05-11,2026,Southeastern,Ole Miss,Caesars,Over Odds,-160,-170,-10.0,1.42,Ole Miss Caesars over -160 → -170
Win Total,2026-05-10,2026-05-11,2026,Southeastern,Ole Miss,Caesars,Under Odds,+120,+130,10.0,-1.98,Ole Miss Caesars under +120 → +130
Win Total,2026-05-10,2026-05-11,2026,,Penn State,BetMGM,Over Odds,+150,-135,-285.0,17.45,Penn State BetMGM over +150 → -135
Win Total,2026-05-10,2026-05-11,2026,,Penn State,BetMGM,Under Odds,-200,+105,305.0,-17.89,Penn State BetMGM under -200 → +105
Win Total,2026-05-10,2026-05-11,2026,,Penn State,BetMGM,Win Total,9.5,8.5,-1.0,,Penn State BetMGM win total 9.5 → 8.5
Win Total,2026-05-10,2026-05-11,2026,,SMU,FanDuel,Over Odds,-142,-140,2.0,-0.34,SMU FanDuel over -142 → -140
Win Total,2026-05-10,2026-05-11,2026,,SMU,FanDuel,Under Odds,+116,+114,-2.0,0.43,SMU FanDuel under +116 → +114
Win Total,2026-05-10,2026-05-11,2026,Mid-American,Sacramento St.,Caesars,Over Odds,+150,-130,-280.0,16.52,Sacramento St. Caesars over +150 → -130
Win Total,2026-05-10,2026-05-11,2026,Mid-American,Sacramento St.,Caesars,Over Odds,+150,+180,30.0,-4.29,Sacramento St. Caesars over +150 → +180
Win Total,2026-05-10,2026-05-11,2026,Mid-American,Sacramento St.,Caesars,Under Odds,-200,+100,300.0,-16.67,Sacramento St. Caesars under -200 → +100
Win Total,2026-05-10,2026-05-11,2026,Mid-American,Sacramento St.,Caesars,Under Odds,-200,-240,-40.0,3.92,Sacramento St. Caesars under -200 → -240
Win Total,2026-05-10,2026-05-11,2026,Mid-American,Sacramento St.,Caesars,Win Total,5.5,4.5,-1.0,,Sacramento St. Caesars win total 5.5 → 4.5
Win Total,2026-05-10,2026-05-11,2026,Mountain West,San Jose St.,Caesars,Over Odds,+120,+130,10.0,-1.98,San Jose St. Caesars over +120 → +130
Win Total,2026-05-10,2026-05-11,2026,Mountain West,San Jose St.,Caesars,Under Odds,-160,-170,-10.0,1.42,San Jose St. Caesars under -160 → -170
Win Total,2026-05-10,2026-05-11,2026,Southeastern,South Carolina,Caesars,Over Odds,+105,+120,15.0,-3.33,South Carolina Caesars over +105 → +120
Win Total,2026-05-10,2026-05-11,2026,Southeastern,South Carolina,Caesars,Under Odds,-135,-155,-20.0,3.34,South Carolina Caesars under -135 → -155
Win Total,2026-05-10,2026-05-11,2026,,TCU,BetMGM,Over Odds,-145,-155,-10.0,1.6,TCU BetMGM over -145 → -155
