snapshot_date,snapshot_label,season,game_id,cfbd_game_id,game_date,game_week,away_team,home_team,market_spread_home,market_total,market_spread_open_home,market_total_open,projected_margin_home,model_spread_home,projected_total,market_spread_book,market_total_book,market_books_available,market_spread_last_update,market_total_last_update,market_line_source
2026-07-13,Preseason,2026,g98,401856661,2026-09-06,1,Louisville,Ole Miss,-6.5,55.5,,,6.667,-6.667,52.5,fanduel,fanduel,"1xbet,ballybet,betfairsportsbook,betmgm,betonline,betparx,betrivers,bovada,caesars,casumo,draftkings,fanduel,grosvenor,hardrockbet,leovegas,livescorebet,paddypower,pointsbet,sportsbet,tabtouch,unibet,virginbet",2026-07-03T00:15:22.288Z,2026-07-03T00:15:22.288Z,SportsGameOdds
2026-07-13,Preseason,2026,g99,401858212,2026-09-07,1,SMU,Florida State,2.5,54.5,,,-1.767,1.767,51.5,fanduel,fanduel,"1xbet,betmgm,betonline,bovada,caesars,coolbet,draftkings,fanduel,hardrockbet,lowvig,pointsbet",2026-07-03T00:15:22.288Z,2026-07-03T00:15:22.288Z,SportsGameOdds
2026-07-13,Preseason,2026,g100,401858213,2026-09-10,2,Florida A&M,Miami-FL,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g101,401858214,2026-09-11,2,Rutgers,Boston College,,,,,-2.367,2.367,55.9,,,,,,
2026-07-13,Preseason,2026,g102,401856678,2026-09-11,2,Missouri,Kansas,6.5,51.5,,,-7.767,7.767,52.0,fanduel,fanduel,"coolbet,draftkings,fanduel,hardrockbet,pointsbet,sportsbet",2026-07-03T00:15:22.288Z,2026-07-03T00:15:22.288Z,SportsGameOdds
2026-07-13,Preseason,2026,g103,401858215,2026-09-11,2,Villanova,Louisville,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g104,401864502,2026-09-12,2,North Dakota State,Air Force,,,,,1.833,-1.833,51.6,,,,,,
2026-07-13,Preseason,2026,g105,401866412,2026-09-12,2,Robert Morris,Akron,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g106,401868241,2026-09-12,2,West Georgia,Arkansas State,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g107,401862702,2026-09-12,2,South Florida,Army,,,,,0.567,-0.567,54.9,,,,,,
2026-07-13,Preseason,2026,g108,401856671,2026-09-12,2,Southern Miss,Auburn,,,,,30.167,-30.167,50.8,,,,,,
2026-07-13,Preseason,2026,g109,401856810,2026-09-12,2,Arizona,BYU,,,,,7.8,-7.8,51.8,,,,,,
