market,model_id,checkpoint,threshold,existing_roi,recomputed_roi,difference
spread,spread_4src_25_25_25_25_v1,SUN_12PM_ET,6.0,0.4311479547863384,0.43114795478633855,1.6653345369377348e-16
spread,spread_4src_25_25_25_25_v1,SUN_12PM_ET,7.0,0.5277389213795681,0.5277389213795681,0.0
spread,spread_4src_25_25_25_25_v1,SUN_12PM_ET,8.0,0.6154257771578986,0.6154257771578986,0.0
spread,spread_4src_25_25_25_25_v1,SUN_12PM_ET,9.0,0.6798474606882481,0.6798474606882481,0.0
spread,spread_4src_25_25_25_25_v1,SUN_12PM_ET,10.0,0.7603744384697333,0.7603744384697334,1.1102230246251565e-16
spread,spread_4src_25_25_25_25_v1,SUN_2PM_ET,0.5,-0.0016028610143717,-0.0016028610143717032,-3.2526065174565133e-18
spread,spread_4src_25_25_25_25_v1,SUN_2PM_ET,1.0,0.0145470671436587,0.014547067143658745,4.5102810375396984e-17
spread,spread_4src_25_25_25_25_v1,SUN_2PM_ET,1.5,0.0185130904104537,0.018513090410453827,1.249000902703301e-16
spread,spread_4src_25_25_25_25_v1,SUN_2PM_ET,2.0,0.049098257666756,0.049098257666756025,2.7755575615628914e-17
spread,spread_4src_25_25_25_25_v1,SUN_2PM_ET,2.5,0.0491190583359111,0.049119058335911216,1.1796119636642288e-16
spread,spread_4src_25_25_25_25_v1,SUN_2PM_ET,3.0,0.0710737258209413,0.07107372582094136,5.551115123125783e-17
spread,spread_4src_25_25_25_25_v1,SUN_2PM_ET,3.5,0.1076665564250732,0.10766655642507324,4.163336342344337e-17
spread,spread_4src_25_25_25_25_v1,SUN_2PM_ET,4.0,0.0974296482623061,0.09742964826230621,1.1102230246251565e-16
spread,spread_4src_25_25_25_25_v1,SUN_2PM_ET,4.5,0.0898197725296798,0.08981977252967993,1.249000902703301e-16
spread,spread_4src_25_25_25_25_v1,SUN_2PM_ET,5.0,0.1247196213182143,0.12471962131821442,1.1102230246251565e-16
spread,spread_4src_25_25_25_25_v1,SUN_2PM_ET,6.0,0.2337786449817172,0.23377864498171735,1.6653345369377348e-16
spread,spread_4src_25_25_25_25_v1,SUN_2PM_ET,7.0,0.0160455486542443,0.016045548654244315,1.3877787807814457e-17
spread,spread_4src_25_25_25_25_v1,SUN_2PM_ET,8.0,0.0267232767232766,0.026723276723276755,1.5612511283791264e-16
spread,spread_4src_25_25_25_25_v1,SUN_2PM_ET,9.0,-0.0481601731601731,-0.048160173160173146,-4.85722573273506e-17
spread,spread_4src_25_25_25_25_v1,SUN_2PM_ET,10.0,-0.0535714285714285,-0.05357142857142855,-4.85722573273506e-17
spread,spread_4src_25_25_25_25_v1,SUN_4PM_ET,0.5,0.0001740534815104,0.00017405348151051058,1.1058862159352145e-16
spread,spread_4src_25_25_25_25_v1,SUN_4PM_ET,1.0,0.0202881077271185,0.02028810772711856,5.898059818321144e-17
spread,spread_4src_25_25_25_25_v1,SUN_4PM_ET,1.5,0.0249704708271908,0.024970470827190918,1.1796119636642288e-16
spread,spread_4src_25_25_25_25_v1,SUN_4PM_ET,2.0,0.0459280851329344,0.045928085132934456,5.551115123125783e-17
spread,spread_4src_25_25_25_25_v1,SUN_4PM_ET,2.5,0.0596734749212074,0.05967347492120752,1.1796119636642288e-16
spread,spread_4src_25_25_25_25_v1,SUN_4PM_ET,3.0,0.0916944256275995,0.09169442562759952,2.7755575615628914e-17
spread,spread_4src_25_25_25_25_v1,SUN_4PM_ET,3.5,0.1004799647132588,0.10047996471325885,4.163336342344337e-17
spread,spread_4src_25_25_25_25_v1,SUN_4PM_ET,4.0,0.1242384002547406,0.1242384002547407,9.71445146547012e-17
spread,spread_4src_25_25_25_25_v1,SUN_4PM_ET,4.5,0.1439770583816309,0.14397705838163097,5.551115123125783e-17
spread,spread_4src_25_25_25_25_v1,SUN_4PM_ET,5.0,0.1973794998120494,0.19737949981204952,1.1102230246251565e-16
spread,spread_4src_25_25_25_25_v1,SUN_4PM_ET,6.0,0.3070650485430062,0.30706504854300626,5.551115123125783e-17
spread,spread_4src_25_25_25_25_v1,SUN_4PM_ET,7.0,0.3490558020550259,0.349055802055026,1.1102230246251565e-16
spread,spread_4src_25_25_25_25_v1,SUN_4PM_ET,8.0,0.4244548744308264,0.42445487443082647,5.551115123125783e-17
spread,spread_4src_25_25_25_25_v1,SUN_4PM_ET,9.0,0.5539281899377645,0.5539281899377645,0.0
spread,spread_4src_25_25_25_25_v1,SUN_4PM_ET,10.0,0.6284349361440499,0.6284349361440499,0.0
spread,spread_4src_25_25_25_25_v1,SUN_9AM_ET,0.5,0.011060578097123,0.01106057809712309,9.020562075079397e-17
spread,spread_4src_25_25_25_25_v1,SUN_9AM_ET,1.0,0.0348888120901786,0.03488881209017864,4.163336342344337e-17
