team,preseason_rating,preseason_rank,baseline_as_of,spplus,spplus_snapshot_date,fpi,fpi_snapshot_date,teamrankings,teamrankings_snapshot_date,sagarin,sagarin_raw,sagarin_snapshot_date,sagarin_normalization_offset,formula
Buffalo,-13.383496376811594,117,2026-08-18,-11.9,2026-08-18,-10.8,2026-08-18,-16.5,2026-08-18,-14.333985507246375,54.6,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Nevada,-13.985996376811595,118,2026-08-18,-12.2,2026-08-18,-11.9,2026-08-18,-18.1,2026-08-18,-13.743985507246379,55.19,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Southern Miss,-14.055996376811592,119,2026-08-18,-23.3,2026-08-18,-5.1,2026-08-18,-17.7,2026-08-18,-10.123985507246374,58.81,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Eastern Michigan,-14.670996376811594,120,2026-08-18,-15.0,2026-08-18,-16.3,2026-08-18,-13.9,2026-08-18,-13.483985507246373,55.45,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
San Jose State,-14.823496376811594,121,2026-08-18,-15.5,2026-08-18,-14.3,2026-08-18,-14.9,2026-08-18,-14.593985507246373,54.34,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Bowling Green,-14.823496376811594,122,2026-08-18,-13.3,2026-08-18,-13.7,2026-08-18,-17.7,2026-08-18,-14.593985507246373,54.34,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Missouri State,-14.938496376811594,123,2026-08-18,-18.7,2026-08-18,-10.3,2026-08-18,-18.9,2026-08-18,-11.853985507246378,57.08,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Rice,-15.428496376811593,124,2026-08-18,-14.7,2026-08-18,-13.4,2026-08-18,-15.2,2026-08-18,-18.413985507246373,50.52,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Sacramento State,-16.08849637681159,125,2026-08-18,-22.7,2026-08-18,-10.4,2026-08-18,-19.2,2026-08-18,-12.053985507246374,56.88,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
UAB,-16.640996376811593,126,2026-08-18,-18.1,2026-08-18,-15.5,2026-08-18,-18.2,2026-08-18,-14.763985507246375,54.17,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
New Mexico State,-17.13599637681159,127,2026-08-18,-16.4,2026-08-18,-15.7,2026-08-18,-18.4,2026-08-18,-18.043985507246376,50.89,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Northern Illinois,-17.368496376811596,128,2026-08-18,-18.2,2026-08-18,-14.5,2026-08-18,-20.6,2026-08-18,-16.17398550724638,52.76,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Akron,-17.708496376811595,129,2026-08-18,-19.5,2026-08-18,-16.9,2026-08-18,-17.9,2026-08-18,-16.533985507246378,52.4,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
UTEP,-19.468496376811594,130,2026-08-18,-20.5,2026-08-18,-16.6,2026-08-18,-21.0,2026-08-18,-19.77398550724638,49.16,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Georgia State,-19.60349637681159,131,2026-08-18,-25.1,2026-08-18,-15.2,2026-08-18,-19.4,2026-08-18,-18.713985507246377,50.22,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Kent State,-19.680996376811592,132,2026-08-18,-20.1,2026-08-18,-17.9,2026-08-18,-22.1,2026-08-18,-18.623985507246374,50.31,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Middle Tennessee,-20.258496376811593,133,2026-08-18,-26.0,2026-08-18,-16.1,2026-08-18,-20.9,2026-08-18,-18.033985507246378,50.9,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
UL-Monroe,-20.5809963768116,134,2026-08-18,-24.3,2026-08-18,-19.3,2026-08-18,-19.8,2026-08-18,-18.92398550724638,50.01,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Ball State,-21.140996376811593,135,2026-08-18,-25.2,2026-08-18,-17.3,2026-08-18,-23.0,2026-08-18,-19.06398550724638,49.87,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Charlotte,-22.69849637681159,136,2026-08-18,-32.4,2026-08-18,-14.6,2026-08-18,-23.3,2026-08-18,-20.49398550724638,48.44,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Sam Houston,-23.5634963768116,137,2026-08-18,-26.3,2026-08-18,-18.4,2026-08-18,-24.1,2026-08-18,-25.45398550724638,43.48,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
Massachusetts,-27.883496376811593,138,2026-08-18,-30.9,2026-08-18,-18.8,2026-08-18,-28.5,2026-08-18,-33.333985507246375,35.6,2026-08-17,68.93398550724638,25% SP+ + 25% FPI + 25% TeamRankings + 25% Sagarin
