season,through_week,snapshot_date,snapshot_timestamp,board_cutoff,team,market_implied_rating,market_implied_rank,games_used,games_in_rating,effective_games_weight,weighted_games_in_rating,connected_component_id,component_size,sample_status,stability_proxy,source_game_count,source_line_cutoff,source_hashes,model_version,lookback_weeks,half_life_weeks,ridge_alpha,hfa,training_games,market_move_1w,market_move_4w
2026,13,2026-08-04,2026-08-04T12:01:14.353816+00:00,2026-07-29T12:36:45.313636+00:00,Wake Forest,4.1421356237139255,35,1,1,0.3535533905932738,0.3535533905932738,1,2,disconnected_component,1.6817928305074292,130,2026-07-29T12:36:45.313636+00:00,2fe31c216831bc53a17f73e0aea694762584ae8fd19705ffcca1704cdbbfb24b,market-implied-rating-2026.1,99,8.0,1.0,2.5,130,,
2026,13,2026-08-04,2026-08-04T12:01:14.353816+00:00,2026-07-29T12:36:45.313636+00:00,Virginia Tech,3.809198168671535,36,3,3,2.2705574337979453,2.2705574337979453,2,74,connected_low_sample,0.6636418328160024,130,2026-07-29T12:36:45.313636+00:00,2fe31c216831bc53a17f73e0aea694762584ae8fd19705ffcca1704cdbbfb24b,market-implied-rating-2026.1,99,8.0,1.0,2.5,130,,
2026,13,2026-08-04,2026-08-04T12:01:14.353816+00:00,2026-07-29T12:36:45.313636+00:00,Vanderbilt,3.7877092669117616,37,2,2,1.3535533905932737,1.3535533905932737,2,74,early_limited,0.8595325037694959,130,2026-07-29T12:36:45.313636+00:00,2fe31c216831bc53a17f73e0aea694762584ae8fd19705ffcca1704cdbbfb24b,market-implied-rating-2026.1,99,8.0,1.0,2.5,130,,
2026,13,2026-08-04,2026-08-04T12:01:14.353816+00:00,2026-07-29T12:36:45.313636+00:00,West Virginia,3.7279220613410002,38,1,1,0.3535533905932738,0.3535533905932738,10,2,disconnected_component,1.6817928305074292,130,2026-07-29T12:36:45.313636+00:00,2fe31c216831bc53a17f73e0aea694762584ae8fd19705ffcca1704cdbbfb24b,market-implied-rating-2026.1,99,8.0,1.0,2.5,130,,
2026,13,2026-08-04,2026-08-04T12:01:14.353816+00:00,2026-07-29T12:36:45.313636+00:00,Michigan,3.6593538881513163,39,6,6,3.8230258470258387,3.8230258470258387,2,74,connected_moderate_sample,0.5114419919165117,130,2026-07-29T12:36:45.313636+00:00,2fe31c216831bc53a17f73e0aea694762584ae8fd19705ffcca1704cdbbfb24b,market-implied-rating-2026.1,99,8.0,1.0,2.5,130,,
2026,13,2026-08-04,2026-08-04T12:01:14.353816+00:00,2026-07-29T12:36:45.313636+00:00,Appalachian State,3.31370849898397,40,1,1,0.3535533905932738,0.3535533905932738,4,2,disconnected_component,1.6817928305074292,130,2026-07-29T12:36:45.313636+00:00,2fe31c216831bc53a17f73e0aea694762584ae8fd19705ffcca1704cdbbfb24b,market-implied-rating-2026.1,99,8.0,1.0,2.5,130,,
2026,13,2026-08-04,2026-08-04T12:01:14.353816+00:00,2026-07-29T12:36:45.313636+00:00,Penn State,3.3105654052994713,41,3,3,1.4934108144272633,1.4934108144272633,2,74,connected_low_sample,0.8182958601586251,130,2026-07-29T12:36:45.313636+00:00,2fe31c216831bc53a17f73e0aea694762584ae8fd19705ffcca1704cdbbfb24b,market-implied-rating-2026.1,99,8.0,1.0,2.5,130,,
2026,13,2026-08-04,2026-08-04T12:01:14.353816+00:00,2026-07-29T12:36:45.313636+00:00,Missouri,3.2587258189574784,42,1,1,0.3855527063519852,0.3855527063519852,23,4,early_one_game,1.6104903319492543,130,2026-07-29T12:36:45.313636+00:00,2fe31c216831bc53a17f73e0aea694762584ae8fd19705ffcca1704cdbbfb24b,market-implied-rating-2026.1,99,8.0,1.0,2.5,130,,
2026,13,2026-08-04,2026-08-04T12:01:14.353816+00:00,2026-07-29T12:36:45.313636+00:00,Kansas State,3.2481311753238886,43,1,1,0.5946035575013605,0.5946035575013605,23,4,early_one_game,1.2968395546510096,130,2026-07-29T12:36:45.313636+00:00,2fe31c216831bc53a17f73e0aea694762584ae8fd19705ffcca1704cdbbfb24b,market-implied-rating-2026.1,99,8.0,1.0,2.5,130,,
2026,13,2026-08-04,2026-08-04T12:01:14.353816+00:00,2026-07-29T12:36:45.313636+00:00,Louisiana,3.1066017177976355,44,1,1,0.3535533905932738,0.3535533905932738,25,2,disconnected_component,1.6817928305074292,130,2026-07-29T12:36:45.313636+00:00,2fe31c216831bc53a17f73e0aea694762584ae8fd19705ffcca1704cdbbfb24b,market-implied-rating-2026.1,99,8.0,1.0,2.5,130,,
