team,spplus_2025,fpi_2025,teamrankings_2025,kford_2025,bradpowers_2025,source_count_2025,missing_sources_2025,rating_2025_eoy,rank_2025_eoy
UTEP,-17.5,-16.6,-18.9,-17.9,-18.68205882352941,5,,-17.916411764705884,128
Middle Tennessee,-16.0,-18.0,-19.7,-18.9,-18.42205882352941,5,,-18.20441176470588,129
Georgia State,-24.5,-17.6,-20.2,-19.5,-18.082058823529408,5,,-19.97641176470588,130
UL-Monroe,-21.6,-19.2,-21.2,-20.5,-17.67205882352941,5,,-20.034411764705883,131
Kent State,-19.3,-19.6,-21.3,-21.3,-19.93205882352941,5,,-20.286411764705882,132
Ball State,-23.0,-19.4,-22.2,-21.5,-23.842058823529413,5,,-21.98841176470588,133
Charlotte,-26.7,-21.3,-23.3,-22.7,-22.382058823529412,5,,-23.27641176470588,134
Sam Houston,-27.8,-24.3,-25.8,-25.2,-25.702058823529413,5,,-25.760411764705886,135
Massachusetts,-36.6,-30.5,-34.1,-32.8,-33.66205882352941,5,,-33.532411764705884,136
North Dakota State,,,,,,0,"spplus_2025,fpi_2025,teamrankings_2025,kford_2025,bradpowers_2025",,
Sacramento State,,,,,,0,"spplus_2025,fpi_2025,teamrankings_2025,kford_2025,bradpowers_2025",,
