path,book,rows_for_book,market_types,stage2_matrix_candidate
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260715_120025.csv,BetMGM,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260715_120025.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260715_120025.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260716_120021.csv,BetMGM,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260716_120021.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260716_120021.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260717_120025.csv,BetMGM,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260717_120025.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260717_120025.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260717_170905.csv,BetMGM,139.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260717_170905.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260717_170905.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260718_120022.csv,BetMGM,139.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260718_120022.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260718_120022.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260719_120021.csv,BetMGM,139.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260719_120021.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260719_120021.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260720_120454.csv,BetMGM,139.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260720_120454.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260720_120454.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260721_120026.csv,BetMGM,139.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260721_120026.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260721_120026.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260721_143625.csv,BetMGM,139.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260721_143625.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260721_143625.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260721_145229.csv,BetMGM,139.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260721_145229.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260721_145229.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260721_151508.csv,BetMGM,139.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260721_151508.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260721_151508.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260721_171856.csv,BetMGM,139.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260721_171856.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260721_171856.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260722_022024.csv,BetMGM,139.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260722_022024.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260722_022024.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260722_120024.csv,BetMGM,139.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260722_120024.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260722_120024.csv,DraftKings,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260723_120021.csv,BetMGM,138.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260723_120021.csv,Caesars,2.0,total,False
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260723_120021.csv,DraftKings,138.0,total,False
