"Name","School","Conference","Overall","Routes","Hands","Explosive","Pass Block","Running"
"Rodney Bullard Jr.","MichSt","Big10","11.92","11.63","13.36","12.26","2.80","11.48"
"Eli Wood","UtSt","Pac12","11.92","12.22","14.38","8.50","0.78","0.78"
"Louis Brown IV","Bay","Big12","11.91","12.16","13.44","9.61","3.93","4.70"
"Ashton Bethel-Roman","A&M","SEC","11.90","11.53","7.64","13.70","12.32","0.96"
"Jayden McGowan","Bay","Big12","11.90","11.41","12.59","9.25","4.32","12.59"
"Justin Bowick","OKSt","Big12","11.90","11.89","13.53","8.90","0.37","0.37"
"Jayden Warren","A&M","SEC","11.90","11.90","11.90","11.90","11.90","11.90"
"Chase Campbell","TT","Big12","11.89","11.89","11.89","11.89","11.89","11.89"
"Davion Dozier","NCSt","ACC","11.89","12.16","14.04","13.72","9.51","0.98"
"Jackson Williams","NDSt","MWC","11.89","12.08","12.39","10.77","1.16","11.71"
"Wayne Harris","Kent","MAC","11.88","12.33","13.48","10.59","0.76","9.39"
"Nick Devereaux","EMich","MAC","11.87","11.97","12.08","5.78","0.60","0.31"
"Tyren Hornes","UCF","Big12","11.87","11.87","11.87","11.87","11.87","11.87"
"Quinton Brown","Boise","Pac12","11.86","11.80","12.54","11.40","3.62","11.42"
"Daniel Blood","WashSt","Pac12","11.86","11.80","14.04","8.28","7.34","2.28"
"Anthony Eager","SoAla","SBC","11.86","11.71","13.22","9.79","0.80","14.16"
"Brian Rowe Jr.","UCLA","Big10","11.86","11.74","12.35","9.27","1.50","11.72"
"Aveion Chenault","WMich","MAC","11.85","11.80","12.56","11.45","1.05","11.89"
"Chance Morrow","Buff","MAC","11.85","11.87","9.48","6.64","1.80","1.80"
"Kylan Billiot","JMU","SBC","11.85","11.85","11.85","11.85","11.85","11.85"
"Jayshon Platt","Illini","Big10","11.85","11.77","11.56","12.90","10.23","11.94"
"Troy Stellato","UNLV","MWC","11.84","11.83","12.91","8.60","1.32","7.04"
"Jabari Smith Jr.","Ball","MAC","11.84","11.73","9.29","10.59","0.94","0.94"
"Tyler Brown","Clem","ACC","11.83","11.68","11.69","8.96","5.62","12.84"
"Bryson Jones","TT","Big12","11.83","11.96","12.62","8.31","5.52","5.52"
"Kyri Shoels","Utah","Big12","11.82","11.98","13.81","13.99","0.44","0.44"
"Umari Hatcher","Cuse","ACC","11.80","11.95","10.57","10.81","4.34","0.99"
"Travis Johnson","Mich","Big10","11.80","11.80","11.80","11.80","11.80","11.80"
"Daylyn Upshaw","MiaFL","ACC","11.80","11.76","13.88","10.09","3.25","3.25"
"Ky ""Flash"" Wilson","Conn","Inde","11.78","11.88","14.38","12.06","0.72","10.19"
"Chris Reed","SHSt","CUSA","11.78","11.79","10.61","6.34","11.40","1.02"
"Maleek Huggins","MiaOH","MAC","11.77","11.73","12.75","12.84","0.24","8.85"
"Zacharyus Williams","USC","Big10","11.77","11.84","14.14","6.95","2.41","8.08"
"Drew Wagner","NW","Big10","11.76","11.69","13.55","8.61","1.18","9.78"
"Tank Hawkins","WashSt","Pac12","11.76","11.86","12.46","7.82","4.06","8.67"
"Mazeo Bennett Jr.","SoCar","SEC","11.76","11.76","13.16","8.98","1.25","8.22"
"Izaiah Williams","KSt","Big12","11.75","11.70","13.62","7.74","4.02","4.02"
"Tristian Gentry","TT","Big12","11.75","11.63","11.43","9.69","8.53","8.53"
"Kyler Kasper","BYU","Big12","11.75","11.46","11.66","7.95","3.93","3.93"
"Jaedn Skeete","BC","ACC","11.75","11.65","15.20","8.82","0.94","0.94"
"Adjatay Dabbs","Tol","MAC","11.75","11.77","9.39","15.14","0.37","9.90"
"Malik Elzy","LSU","SEC","11.75","11.72","9.88","6.83","2.45","2.45"
"Harold Duvall","Fres","Pac12","11.73","11.76","11.91","7.75","4.72","4.72"
"CJ Wiley","UGA","SEC","11.72","11.84","10.18","9.27","6.38","6.38"
"Joseph Griffin Jr.","Mass","MAC","11.72","11.60","12.90","9.81","1.85","1.85"
"Semaj Morgan","UCLA","Big10","11.72","11.89","8.69","9.71","7.75","11.95"
"Leland Smith","UCLA","Big10","11.71","11.75","13.44","14.60","0.51","0.51"
"Goldie Lawrence","CoCar","SBC","11.71","11.86","12.52","7.68","0.88","11.29"
"Christian Neptune","Aub","SEC","11.70","11.41","9.61","10.19","13.09","12.94"
"Tyrell Henry","Wisc","Big10","11.70","11.93","14.86","7.92","8.17","5.26"
"Terry Bussey","A&M","SEC","11.69","11.65","9.30","9.55","1.31","12.33"
"Justin Williams","Fla","SEC","11.69","11.69","11.69","11.69","11.69","11.69"
"Javon Ross","Tuls","Amer","11.69","11.51","11.66","12.04","8.19","13.06"
"Jamari Person","Lib","CUSA","11.68","11.92","15.06","7.51","7.01","0.58"
"Robby Washington","CoCar","SBC","11.68","12.02","10.85","10.07","1.80","10.09"
"Cameron Flowers","WKU","CUSA","11.68","11.69","15.18","10.37","1.32","9.83"
"Ardell Banks","Kent","MAC","11.68","12.22","10.08","6.82","2.12","2.12"
"Deion DeBlanc","Wyo","MWC","11.67","11.35","12.59","8.18","2.27","11.71"
"Taeshaun Lyons","UNLV","MWC","11.66","11.93","13.01","11.73","2.39","2.39"
"Jacquon Gibson","UVA","ACC","11.66","11.58","10.61","10.60","0.19","6.48"
"Bryson Rodgers","USF","Amer","11.66","11.63","14.35","6.93","2.19","2.19"
"Sanfrisco Magee","MissSt","SEC","11.66","11.53","12.54","7.60","4.28","4.28"
"Kyion Grayes","Cal","ACC","11.66","11.32","8.76","8.54","4.81","4.81"
"Tommy McIntosh","CMich","MAC","11.66","11.56","11.23","6.36","1.01","1.01"
"Courtney Crutchfield","Ark","SEC","11.65","11.71","12.64","8.69","5.45","5.45"
"Jeremiah Harrison","JMU","SBC","11.65","11.97","11.80","13.81","0.66","0.66"
"De'Nylon Morrissette","Purd","Big10","11.65","11.39","12.30","7.22","9.19","12.26"
"Malachi Henry","Cincy","Big12","11.64","11.73","13.45","13.83","0.20","0.20"
"Jordan King","Cal","ACC","11.64","11.89","13.38","9.10","11.76","0.58"
"Brandon Buckhaulter","ULM","SBC","11.64","11.54","12.68","7.32","3.40","11.12"
"Antonio Meeks","Wake","ACC","11.64","11.49","13.16","5.90","0.72","0.72"
"Jaylen Bonelli","ArkSt","SBC","11.64","11.81","11.18","10.96","0.28","2.02"
"Branden Hoch","FAU","Amer","11.64","11.86","11.74","9.86","2.00","2.00"
"Somourian Wingo","MiaFL","ACC","11.63","11.63","11.63","11.63","11.63","11.63"
"Sacovie White-Helton","UGA","SEC","11.63","11.73","9.70","8.73","3.60","3.60"
"Waden Charles","UCF","Big12","11.63","11.34","12.22","11.01","1.01","11.37"
"C.J. Sadler","UNC","ACC","11.62","11.62","11.62","11.62","11.62","11.62"
"Chase Tyler","Wake","ACC","11.62","11.42","12.24","7.38","4.06","4.06"
"Kenny Darby","UK","SEC","11.62","11.62","11.62","11.62","11.62","11.62"
"CJ Brown","Ark","SEC","11.61","11.50","15.02","10.78","0.73","0.73"
"Ashton Cozart","UK","SEC","11.61","11.58","11.50","10.17","9.09","9.09"
"Zion Taylor","WKU","CUSA","11.60","11.81","14.22","9.95","2.68","2.68"
"Darrell Gill Jr.","Miss","SEC","11.59","11.64","14.25","11.98","0.20","10.43"
"Hunter Summers","ArkSt","SBC","11.59","11.63","14.31","11.03","0.47","0.47"
"Wondame Davis Jr.","Wake","ACC","11.59","12.00","8.45","15.56","0.71","0.71"
"Takye Heath","VT","ACC","11.58","11.70","11.26","9.09","1.36","11.45"
"Nic Trujillo","ULM","SBC","11.58","11.67","10.09","11.96","0.44","0.44"
"Dre'lon Miller","Bay","Big12","11.57","11.04","10.42","9.54","10.83","12.47"
"Christian Hamilton","Marsh","SBC","11.56","11.48","11.97","7.20","2.84","2.84"
"Cole Turner","Clem","ACC","11.56","11.52","13.35","9.89","0.85","11.83"
"Kyle McNeal","FIU","CUSA","11.56","11.67","13.29","11.19","0.87","11.63"
"Jayce Freeman","Temp","Amer","11.56","11.45","12.81","13.92","7.37","1.71"
"Tristan Smith","Clem","ACC","11.56","11.54","8.96","8.55","0.30","6.64"
"Thomas Blackshear","UGA","SEC","11.55","11.56","11.44","10.03","8.99","8.99"
"Terrell Crosby Jr.","Tol","MAC","11.54","11.72","11.34","6.44","1.46","10.95"
"Donovan Lewis","Del","CUSA","11.54","11.35","10.58","5.78","0.70","9.21"
"Kam Shanks","Wake","ACC","11.53","11.77","10.41","10.22","0.56","10.30"
"Travis Smith Jr.","Tenn","SEC","11.52","11.33","13.69","8.48","4.85","4.85"
"Marshaun Brown","Nev","MWC","11.52","11.19","13.12","8.76","9.17","0.95"
"Tobias Merriweather","Utah","Big12","11.52","11.77","9.09","8.24","1.38","1.38"
"Grayson O'Bara","NoTex","Amer","11.52","11.61","13.48","12.08","0.38","2.19"
"Chris Brooks Jr.","Wisc","Big10","11.51","11.79","14.81","6.41","13.37","1.51"
"Za'Ron Collins","JMU","SBC","11.51","11.41","12.76","6.73","2.55","2.55"
"Shane Carr","UK","SEC","11.51","11.37","7.67","13.59","6.12","6.36"
"Dylan Gary","KennSt","CUSA","11.50","11.59","12.59","10.71","10.13","0.78"
"Keeyun Chapman","UNC","ACC","11.48","11.48","11.48","11.48","11.48","11.48"
"Marquez Daniel","Fla","SEC","11.48","11.48","11.48","11.48","11.48","11.48"
"Malik Clark","SoCar","SEC","11.48","11.44","12.18","9.19","6.74","6.74"
"Malachi Coleman","Wisc","Big10","11.48","11.17","13.73","8.30","2.44","2.44"
"Jacob Jordan","OU","SEC","11.48","11.55","14.14","7.39","1.26","8.91"
"Trent Mosley","USC","Big10","11.48","11.48","11.48","11.48","11.48","11.48"
"Isaiah Johnson","Cincy","Big12","11.47","11.70","11.04","10.49","5.54","6.23"
"Zion Robinson","Stan","ACC","11.47","11.47","11.47","11.47","11.47","11.47"
"Rodney Gallagher III","Zona","Big12","11.47","11.11","13.41","8.94","5.61","13.91"
"Isaiah Spencer","Miss","SEC","11.46","11.57","14.25","11.53","0.69","3.96"
"Jay Wilkerson","LATech","SBC","11.46","11.78","9.51","11.74","2.32","2.32"
"Audric Harris","Haw","MWC","11.46","11.38","13.16","10.89","9.81","3.07"
"Nitro Tuggle","SoCar","SEC","11.44","11.31","7.29","12.74","11.94","0.88"
"Connor Salmin","Clem","ACC","11.43","11.43","11.43","11.43","11.43","11.43"
"Carter Pabst","IASt","Big12","11.42","11.45","13.71","6.07","1.50","1.50"
"Jasaiah Gathings","Buff","MAC","11.42","11.45","13.05","7.33","0.32","0.32"
"Demetres Samuel Jr.","Cuse","ACC","11.42","11.39","11.47","10.05","8.89","8.89"
"Censere Lee","Pitt","ACC","11.41","11.44","10.32","9.99","3.13","0.65"
"Jayden Moore","Duke","ACC","11.40","11.38","13.28","9.10","3.51","3.51"
"Bisi Owens","Purd","Big10","11.40","11.41","11.62","12.25","0.44","0.44"
"Destyn Hill","Tul","Amer","11.40","11.55","12.42","8.18","4.29","4.29"
"Dillon Gresham","Ore","Big10","11.40","11.40","11.40","11.40","11.40","11.40"
"Terry Shelton","TCU","Big12","11.40","11.54","13.05","8.51","5.36","5.36"
"Eugene Hilton Jr.","Wisc","Big10","11.39","11.25","14.21","7.25","3.02","3.02"
"Rickey Taylor Jr.","NIU","MWC","11.39","11.32","10.58","10.65","2.31","2.31"
"Prince Strachan","WVU","Big12","11.39","11.47","11.43","9.04","1.28","1.28"
"Zion Steptoe","Minn","Big10","11.39","11.09","14.53","11.24","8.55","9.61"
"Justius Lowe","SDSU","Pac12","11.38","11.39","11.77","7.72","1.54","1.54"
"Monte Harrison","Ark","SEC","11.37","10.96","11.68","7.59","4.35","4.35"
"Jalen Brown","Ark","SEC","11.37","11.57","11.05","9.83","1.60","1.60"
"Dalton Carnes","NoTex","Amer","11.37","11.31","11.31","9.49","0.49","0.49"
"Colton Hinton","CoCar","SBC","11.36","11.54","12.07","10.51","0.43","7.85"
"Nahzae Cox","KU","Big12","11.36","11.55","14.16","6.02","0.50","0.50"
"Jordan Anderson","SJSt","MWC","11.35","11.50","13.38","12.99","9.85","1.26"
"Grady O'Neill","SHSt","CUSA","11.35","11.51","10.65","9.97","0.52","10.36"
"Donovan Hamilton","Ball","MAC","11.35","11.22","11.90","6.40","11.27","1.16"
"Dyzier Carter","Rut","Big10","11.34","11.34","11.34","11.34","11.34","11.34"
"Jaron Glover","USF","Amer","11.34","11.42","8.59","9.73","1.63","7.35"
"Javarius Green","BC","ACC","11.34","11.64","15.40","11.52","1.69","1.85"
"Kelshaun Johnson","A&M","SEC","11.34","11.33","10.47","9.28","6.96","6.96"
"Da'Wain Lofton","Del","CUSA","11.34","11.15","11.53","7.21","1.82","5.34"
"Javon Robinson","UtSt","Pac12","11.34","11.55","11.98","11.44","0.20","11.49"
"Dayton Howard","Iowa","Big10","11.34","11.31","14.53","6.56","1.63","1.63"
"Darius Johnson","Cuse","ACC","11.33","11.50","9.99","7.80","2.99","2.99"
"Leyton Stone","TT","Big12","11.33","11.27","11.57","8.33","6.08","6.08"
"Dalen Penson","GATech","ACC","11.32","11.32","11.32","11.32","11.32","11.32"
"Gordon Sellars III","Clem","ACC","11.31","11.31","11.31","11.31","11.31","11.31"
"Jackson McGohan","Wisc","Big10","11.31","11.43","11.31","8.69","10.45","6.83"
"Keaton Kubecka","KU","Big12","11.30","11.08","11.45","9.19","1.66","1.66"
"Rodney Harris II","OKSt","Big12","11.30","11.26","12.88","10.66","8.93","0.48"
"Dominique Henry","FAU","Amer","11.30","11.35","15.50","12.50","10.03","0.47"
"Kelby Valsin","FAU","Amer","11.30","11.05","12.43","8.60","3.95","3.95"
"Luke Hutchison","Navy","Amer","11.29","10.94","11.19","6.35","1.92","10.94"
"Dylan Williams","JMU","SBC","11.29","11.19","13.13","8.15","4.60","4.60"
"Michael Thomas III","Rut","Big10","11.29","11.22","11.00","9.88","8.96","8.96"
"Jadon Porter","Bay","Big12","11.28","11.14","11.73","6.98","2.55","2.55"
"Mojo Dortch","Troy","SBC","11.28","11.26","10.23","9.21","2.42","11.77"
"Ezekiel Avit","Fres","Pac12","11.28","11.23","11.87","9.70","1.14","10.97"
"Josiah Martin","NoTex","Amer","11.28","11.22","12.28","7.62","4.28","11.65"
"Josh Smith","Tuls","Amer","11.28","11.62","13.96","6.76","2.03","2.03"
"Joseph McVay","Vand","SEC","11.27","11.56","11.97","8.63","6.14","6.14"
"TJ Lott","Troy","SBC","11.26","11.29","10.70","9.09","2.74","2.74"
"Jacob Washington","Mich","Big10","11.26","11.26","11.26","11.26","11.26","11.26"
"Brodie Malone-Bradford","NMSt","CUSA","11.25","11.50","15.01","5.99","0.83","0.83"
"Justice Williams","Wash","Big10","11.25","11.19","11.03","9.97","9.19","9.19"
"Bryson Graves","Del","CUSA","11.24","11.59","11.60","10.39","0.29","3.54"
"Lebron Bond","Ind","Big10","11.24","11.07","12.40","7.72","4.69","4.69"
"Tucker Holloway","FAU","Amer","11.23","11.09","9.82","7.32","3.83","6.19"
"Jordon Gidron","SoCar","SEC","11.23","11.28","10.72","11.06","10.72","10.72"
"Jayden Petit","OU","SEC","11.23","11.23","11.23","11.23","11.23","11.23"
"Cam Pedro","Char","Amer","11.22","11.39","11.84","11.97","0.30","10.85"
"Nana Burris","ArkSt","SBC","11.22","11.26","11.72","9.27","0.87","6.83"
"Israel Polk","OKSt","Big12","11.22","11.27","9.68","11.52","0.57","7.63"
"Jordan Dees","WashSt","Pac12","11.22","11.21","12.68","11.78","9.60","0.47"
"Chauncey Magwood","Purd","Big10","11.21","11.38","14.01","6.75","9.49","1.96"
"Javon Brown","Conn","Inde","11.21","11.11","9.99","6.46","2.47","2.47"
"Xavyion Noland","OreSt","Pac12","11.21","11.41","10.98","17.03","0.53","0.53"
"Ty Mims","UAB","Amer","11.21","11.26","7.47","9.61","10.40","10.12"
"Darien Williams","Cuse","ACC","11.21","11.30","8.75","10.32","3.02","11.32"
"Rashawn Cunningham","Lib","CUSA","11.20","11.29","10.77","13.79","0.55","0.55"
"Marcus Calwise Jr.","LATech","SBC","11.20","11.40","10.42","11.23","0.36","5.69"
"Landon Sides","ECU","Amer","11.20","11.34","13.38","7.10","0.45","1.81"
"Brandon White","KSt","Big12","11.20","10.95","13.00","12.30","0.75","15.30"
"Karmello English","CoCar","SBC","11.20","11.12","12.56","8.78","10.87","0.74"
"Max Mosey","Rice","Amer","11.19","11.50","11.09","11.95","0.32","9.32"
"Anthony Simpson","Tol","MAC","11.19","11.16","9.19","10.11","1.59","10.17"
"Chris Stewart","Tex","SEC","11.19","11.19","11.19","11.19","11.19","11.19"
"Jeremy Scott","TCU","Big12","11.18","11.54","12.55","13.12","0.99","0.99"
"Ja'Keith Hamilton","ECU","Amer","11.18","11.15","13.20","9.98","7.57","0.45"
"Eian Pugh","Ohio","MAC","11.18","11.08","13.57","6.78","2.12","2.12"
"Rico Scott","Bama","SEC","11.18","11.39","12.25","10.03","10.98","2.81"
"Cameron Bates","Boise","Pac12","11.17","10.70","7.00","11.62","1.74","14.36"
"Jaquaize Pettaway","ECU","Amer","11.17","11.38","11.32","7.25","2.58","8.53"
"Anthony Ivey","SJSt","MWC","11.16","11.01","9.83","10.04","8.88","8.88"
"Keenan Jackson","NCSt","ACC","11.15","11.35","14.23","9.46","13.31","0.69"
"JeyQuan Smith","USF","Amer","11.15","10.83","6.50","6.55","4.51","4.61"
"Juju Lewis","FIU","CUSA","11.15","11.19","11.70","7.82","5.08","5.08"
"Jimmy Calloway","Tuls","Amer","11.15","10.91","9.83","8.24","2.05","11.23"
"Micah Mays Jr.","Fla","SEC","11.14","11.24","12.03","11.29","5.35","0.75"
"Aljour Miles II","SMU","ACC","11.13","11.13","11.13","11.13","11.13","11.13"
"Cataurus Hicks","Pitt","ACC","11.13","11.60","10.86","12.48","0.57","8.45"
"Andy Jean","NoTex","Amer","11.13","11.21","12.38","8.24","5.34","5.34"
"Keylen ""Brodie"" Adams","VT","ACC","11.12","11.12","11.12","11.12","11.12","11.12"
"Jordyn Bailey","IASt","Big12","11.11","10.93","13.43","8.15","2.74","11.24"
"T.Y. Harding","Mass","MAC","11.10","11.29","12.70","10.70","1.13","7.57"
"Aeryn Hampton","OreSt","Pac12","11.10","11.11","11.46","10.34","9.42","9.42"
"Braylon Isom","MiaOH","MAC","11.10","11.05","14.32","10.64","1.46","1.46"
"Perry Thompson","Minn","Big10","11.09","11.18","11.94","9.51","1.47","1.47"
"Andre Greene Jr.","GASo","SBC","11.09","11.22","14.30","7.11","2.06","2.06"
"Ivan Carreon","OU","SEC","11.09","10.96","13.43","7.47","3.21","3.21"
"Ben Black","Rut","Big10","11.09","10.86","9.25","8.01","1.30","1.30"
"Noreel White","Troy","SBC","11.08","11.05","11.01","9.89","9.06","9.06"
"Jamarion McDougle","Ball","MAC","11.07","10.88","10.96","11.34","3.66","3.66"
"Jordan Mosley","ColSt","Pac12","11.06","11.25","9.45","11.10","0.77","0.77"
"Mason James","Wash","Big10","11.06","11.06","11.06","11.06","11.06","11.06"
"Jonah Wilson","A&M","SEC","11.06","11.21","14.36","7.40","3.19","3.19"
"Cody Hagen","BYU","Big12","11.06","10.58","15.57","9.95","1.36","13.27"
"Bubba Frazier","ND","Inde","11.05","11.05","11.05","11.05","11.05","11.05"
"Jonanthony Hall","Stan","ACC","11.05","11.05","11.05","11.05","11.05","11.05"
"Jaquise Martin","Hou","Big12","11.04","10.87","13.01","7.21","3.45","3.45"
"Elijah Moore","Cuse","ACC","11.04","10.88","10.19","7.37","7.35","4.03"
"Tyseer Denmark","VT","ACC","11.04","10.90","10.29","8.24","5.49","11.04"
"Xayvion Turner-Bradshaw","Marsh","SBC","11.03","11.25","10.76","9.94","3.28","9.75"
"Jack Foley","Wake","ACC","11.03","11.24","11.33","7.69","10.47","5.01"
"Zy'marion Lang","Conn","Inde","11.03","11.01","9.79","8.32","5.85","5.85"
"Eddie Freauff","OreSt","Pac12","11.03","10.79","10.14","10.06","1.43","1.43"
"Landon Wright","BC","ACC","11.01","11.14","8.56","7.08","3.24","3.24"
"Jakai Anderson","SMU","ACC","11.01","11.01","11.01","11.01","11.01","11.01"
"Anthony Garcia","UtSt","Pac12","11.01","9.80","4.59","11.36","0.49","14.13"
"Phillip Bell","OSU","Big10","11.01","11.05","9.64","10.42","9.64","9.64"
"Jerry McClure","SJSt","MWC","11.00","10.98","11.14","9.45","7.96","7.96"
"Craig Dandridge","UGA","SEC","11.00","11.00","11.00","11.00","11.00","11.00"
"Madden Williams","A&M","SEC","11.00","11.00","11.00","11.00","11.00","11.00"
"Vj Wilkins","BC","ACC","10.99","10.70","9.31","10.25","8.34","10.05"
"Drayden Dickmann","Wake","ACC","10.99","12.22","14.30","9.62","6.91","8.71"
"Daidren Zipperer","Utah","Big12","10.98","11.13","13.16","7.06","3.35","3.35"
"Daniel Odom","OU","SEC","10.98","10.98","10.98","10.98","10.98","10.98"
"Greg Gaines III","FIU","CUSA","10.98","11.10","9.19","13.97","0.41","0.41"
"Ryan Mosley","UGA","SEC","10.96","10.96","10.96","10.96","10.96","10.96"
"Dillon Newton-Short","UVA","ACC","10.96","11.10","12.64","7.20","3.41","3.41"
"TJ West","UTSA","Amer","10.96","11.11","11.81","8.48","6.16","6.16"
"Mackenzie Alleyne","OU","SEC","10.95","11.00","12.17","10.50","10.92","3.26"
"Sterling Berkhalter","Tex","SEC","10.95","11.32","11.12","10.67","0.19","0.19"
"Tk Norman","A&M","SEC","10.95","11.03","12.07","8.13","5.39","11.16"
"Daylan McCutcheon","Tex","SEC","10.95","11.42","11.89","10.11","3.22","3.22"
"Jaylon Domingeaux","Wisc","Big10","10.94","11.09","10.40","12.38","0.23","0.23"
"Sequel Patterson","SoCar","SEC","10.94","10.94","10.94","10.94","10.94","10.94"
"Micah Tease","Tuls","Amer","10.94","11.00","10.40","11.53","1.62","11.24"
"Tama Uiliata","Haw","MWC","10.94","10.89","15.53","8.60","0.70","11.55"
"Brady Marchese","Aub","SEC","10.93","10.93","10.93","10.93","10.93","10.93"
"Ty Robinson","Illini","Big10","10.92","10.71","9.78","6.38","1.22","1.22"
"Koby Young","Hou","Big12","10.92","10.63","15.77","12.55","1.00","12.23"
"Corey Smith","Purd","Big10","10.92","10.69","7.06","10.60","1.08","4.47"
"Chris Culliver","Marsh","SBC","10.91","11.39","7.78","7.08","2.20","6.16"
"Jasen Lopez","FSU","ACC","10.91","10.91","10.91","10.91","10.91","10.91"
"Ryder Treadway","Conn","Inde","10.91","11.13","10.13","6.47","1.42","1.42"
"Jordan Ross","Zona","Big12","10.90","10.83","14.08","8.07","1.41","11.16"
"Dj Riles","GaSt","SBC","10.90","10.82","8.63","8.27","1.44","12.43"
"Davion Brown","VT","ACC","10.90","10.90","10.90","10.90","10.90","10.90"
"Efrem White","FSU","ACC","10.89","10.89","10.89","10.89","10.89","10.89"
"Ej White","FSU","ACC","10.89","10.89","10.89","10.89","10.89","10.89"
"Taron Francis","WVU","Big12","10.89","10.89","10.89","10.89","10.89","10.89"
"Jaren Hamilton","AZSt","Big12","10.88","11.22","7.89","13.13","11.31","10.36"
"Joshua Guerin","Navy","Amer","10.88","10.58","13.23","6.92","2.53","11.81"
"Malik Knight","Pitt","ACC","10.88","11.09","12.95","14.95","0.45","8.60"
"Micah Woods","SoAla","SBC","10.87","11.42","12.84","7.22","3.58","9.56"
"Kojo Antwi","ColSt","Pac12","10.87","10.83","14.14","7.49","3.00","3.00"
"Alante Brown","Mem","Amer","10.86","10.87","12.12","7.70","2.89","10.96"
"Derek Eusebio","AZSt","Big12","10.85","10.96","12.33","11.20","11.55","11.11"
"Terrell Timmons Jr.","Mem","Amer","10.85","11.33","10.68","7.70","1.65","1.65"
"De'Andre Tamarez","Marsh","SBC","10.85","10.99","11.88","10.93","0.24","3.81"
"Mason Humphrey","UNC","ACC","10.85","11.14","9.45","12.75","0.25","0.25"
"Thomas Zsiros","Tol","MAC","10.84","10.84","9.65","10.18","1.94","1.94"
"Cole Boscia","Cal","ACC","10.84","11.35","13.02","8.33","10.97","2.15"
"Zion Kearney","Wisc","Big10","10.84","10.69","12.48","6.81","8.88","2.36"
"Shamarius ""Snook"" Peterkin","VT","ACC","10.83","10.88","7.84","7.63","3.64","3.64"
"Eric Nelson","FIU","CUSA","10.82","10.87","10.26","6.32","7.72","1.77"
"Tiger Bachmeier","BYU","Big12","10.82","10.48","11.57","8.74","6.21","12.39"
"Ny Carr","Wake","ACC","10.81","10.55","10.50","7.87","5.95","5.95"
"Marcus Brown","Stan","ACC","10.81","10.87","9.72","7.61","2.02","2.02"
"Sidney Mbanasor","ODU","SBC","10.80","10.65","13.10","7.11","2.99","2.99"
"Harvey Broussard III","Hou","Big12","10.80","10.73","11.91","10.48","0.59","0.59"
"Denairius Gray","UK","SEC","10.80","10.80","10.80","10.80","10.80","10.80"
"Terrence Lewis","OKSt","Big12","10.80","11.09","9.25","6.62","1.97","1.97"
"Jaeden Ricketts","OSU","Big10","10.79","10.79","10.79","10.79","10.79","10.79"
"Jer'Michael Carter","OU","SEC","10.79","10.67","12.54","9.46","7.48","0.82"
"Zymear Smith","Mary","Big10","10.78","10.77","11.36","9.63","8.35","8.35"
"Lex Cyrus","SoCar","SEC","10.78","10.78","10.78","10.78","10.78","10.78"
"Roman Mothershed","LSU","SEC","10.78","11.07","11.55","10.28","1.63","1.80"
"Jojo Phillips","BYU","Big12","10.77","10.90","7.65","10.40","0.94","0.94"
"Jabari Brady","Mizz","SEC","10.77","10.77","10.77","10.77","10.77","10.77"
"Keonde Henry","Mem","Amer","10.77","10.77","10.77","10.77","10.77","10.77"
"Manny Choice","OU","SEC","10.77","10.77","10.77","10.77","10.77","10.77"
"Devin Alves","Haw","MWC","10.76","10.94","12.38","7.33","3.82","3.82"
"Dominic Overby","IASt","Big12","10.76","10.65","8.24","9.46","2.52","2.52"
"Alex Taylor","GASo","SBC","10.76","10.64","13.40","9.15","2.83","2.83"
"Jacob Bostick","SDSU","Pac12","10.76","10.70","7.99","10.40","1.59","1.59"
"Adonis Moise","KSt","Big12","10.76","10.52","13.84","6.89","2.50","12.07"
"Ric'Darious ""DayDay"" Farmer","UCF","Big12","10.75","10.87","9.68","8.10","5.01","10.54"
"Landon Collins","MTSU","CUSA","10.75","10.80","13.36","5.74","1.16","1.16"
"Tyshawn Russell","Cuse","ACC","10.75","10.73","7.86","8.14","2.78","8.45"
"Quentin Gibson","Col","Big12","10.75","10.96","9.23","8.40","2.34","11.38"
"Je'rel Bolder","NCSt","ACC","10.74","10.74","10.74","10.74","10.74","10.74"
"Corey Barber Jr.","LSU","SEC","10.74","10.74","10.74","10.74","10.74","10.74"
"Taz Williams Jr.","Bay","Big12","10.74","10.72","11.44","8.52","6.13","6.13"
"Tyson Turner","Hou","Big12","10.73","10.56","10.93","8.65","6.79","6.79"
"I'Marion Stewart","Mich","Big10","10.73","10.73","10.73","10.73","10.73","10.73"
"Landon Roldan","UGA","SEC","10.73","10.33","11.28","8.61","6.43","10.61"
"Jordan Malau'ulu","Fres","Pac12","10.72","10.54","13.75","8.45","1.93","1.93"
"Davion Chandler","Ind","Big10","10.71","10.62","10.53","8.84","7.46","7.46"
"Nas Rankin","Illini","Big10","10.71","10.71","10.71","10.71","10.71","10.71"
"Miles Williams","UNM","MWC","10.70","10.79","13.03","10.92","3.03","0.45"
"Kenric Lanier II","Mizz","SEC","10.70","10.77","9.73","6.95","3.02","3.02"
"Sam Mbake","App","SBC","10.70","10.53","11.06","9.54","11.48","1.50"
"Max Rodarte","Ohio","MAC","10.68","10.58","10.64","6.06","1.22","1.22"
"Jaylon Hawkins","SDSU","Pac12","10.68","10.38","12.43","6.99","3.39","10.44"
"Carterrious Brown","SMU","ACC","10.68","10.68","11.88","8.19","5.62","5.62"
