"School","Conference","Injury Number","Injury New","OFS","O","D","Q","P","S","GTD","OPT","RET","Injury Impact","Impact PP"
"Rutgers","Big10","1","0","0","0","0","1","0","0","0","0","0","0.0","0.0"
"Sacramento State","MAC","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"San Diego State","Pac12","1","0","0","0","0","1","0","0","0","0","0","0.0","0.0"
"Sam Houston","CUSA","1","0","0","0","1","0","0","0","0","0","0","0.0","0.0"
"San José State","MWC","1","0","0","0","0","0","1","0","0","0","0","0.0","0.0"
"Southern Miss","SBC","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"SMU","ACC","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"South Carolina","SEC","4","0","0","1","1","2","0","0","0","0","0","0.0","0.0"
"Stanford","ACC","1","0","0","0","0","1","0","0","0","0","0","0.0","0.0"
"TCU","Big12","2","0","0","0","0","1","1","0","0","0","0","0.0","0.0"
"Texas","SEC","2","0","0","0","0","1","1","0","0","0","0","0.0","0.0"
"Texas State","Pac12","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"Toledo","MAC","1","0","0","0","0","0","1","0","0","0","0","0.0","0.0"
"Troy","SBC","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"Tulane","Amer","1","0","0","0","0","0","1","0","0","0","0","0.0","0.0"
"Tulsa","Amer","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"UAB","Amer","2","0","0","0","0","1","1","0","0","0","0","0.0","0.0"
"UCF","Big12","3","0","0","0","0","2","1","0","0","0","0","0.0","0.0"
"UCLA","Big10","2","0","0","0","0","1","1","0","0","0","0","0.0","0.0"
"Louisiana","SBC","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"UL Monroe","SBC","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"North Carolina","ACC","3","0","0","0","0","3","0","0","0","0","0","0.0","0.0"
"UNLV","MWC","1","0","0","0","0","1","0","0","0","0","0","0.0","0.0"
"South Florida","Amer","2","0","0","0","0","1","1","0","0","0","0","0.0","0.0"
"Utah","Big12","1","0","0","0","0","0","1","0","0","0","0","0.0","0.0"
"UTEP","MWC","4","0","0","0","0","0","4","0","0","0","0","0.0","0.0"
"UTSA","Amer","1","0","0","0","0","0","1","0","0","0","0","0.0","0.0"
"Utah State","Pac12","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"Vanderbilt","SEC","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"Virginia Tech","ACC","5","0","0","0","0","5","0","0","0","0","0","0.0","0.0"
"Wake Forest","ACC","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"Washington","Big10","3","0","1","0","0","2","0","0","0","0","0","0.0","0.0"
"Washington State","Pac12","4","0","0","0","0","1","3","0","0","0","0","0.0","0.0"
"Wisconsin","Big10","2","0","1","1","0","0","0","0","0","0","0","0.0","0.0"
"Western Kentucky","CUSA","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"Western Michigan","MAC","0","0","0","0","0","0","0","0","0","0","0","0.0",""
"West Virginia","Big12","2","0","0","0","0","2","0","0","0","0","0","0.0","0.0"
"Wyoming","MWC","3","0","1","1","0","1","0","0","0","0","0","0.0","0.0"
