"Name","School","Conference","Overall","Running","Receiving","Pass Pro","Elusive/Explosive"
"Jae Lamar","UGA","SEC","12.31","12.31","12.31","12.31","12.31"
"Jabari Bates","SJSt","MWC","12.31","12.76","9.73","10.90","14.12"
"Kaleb Jackson","UNC","ACC","12.31","12.17","12.73","12.00","10.44"
"Daelen Alexander","CoCar","SBC","12.30","12.61","9.67","7.68","9.19"
"Javian Osborne","ND","Inde","12.29","12.29","12.29","12.29","12.29"
"Makhilyn Young","Vand","SEC","12.27","12.83","11.39","8.34","10.13"
"Jaden McGill","WKU","CUSA","12.25","12.04","11.34","9.81","9.57"
"Ashten Emory","Cal","ACC","12.25","12.85","9.91","12.57","12.98"
"Quinton Martin Jr.","PSU","Big10","12.25","12.57","10.57","10.47","10.64"
"Brock Townsend","CMich","MAC","12.24","12.49","13.11","9.56","10.19"
"Kenyon Clay","ArkSt","SBC","12.24","12.35","12.12","11.83","8.60"
"Arnold Barnes III","IASt","Big12","12.24","12.74","10.33","10.13","10.14"
"Micah Welch","Col","Big12","12.24","12.76","11.52","8.46","9.63"
"Quincy Craig","Zona","Big12","12.24","12.86","10.99","8.55","10.89"
"Don Chaney","ULM","SBC","12.24","12.24","12.24","12.24","12.24"
"D.J. Crowther","USF","Amer","12.22","12.43","9.88","9.99","12.32"
"Dylan Lee","UCLA","Big10","12.21","12.26","10.42","8.42","10.80"
"Kd Daniels","Wake","ACC","12.21","12.17","11.67","11.01","9.00"
"Tyvonn Byars","Rice","Amer","12.21","12.09","12.13","10.11","12.29"
"Jonaz Walton","ND","Inde","12.19","12.19","12.19","12.19","12.19"
"Jason Brown Jr.","AZSt","Big12","12.18","12.23","10.57","12.53","17.59"
"Legend Bey","OSU","Big10","12.16","12.16","12.16","12.16","12.16"
"Tre Page III","OKSt","Big12","12.15","12.37","8.53","8.44","12.05"
"Javen Jacobs","UtSt","Pac12","12.15","12.84","11.55","10.78","9.90"
"Bryson Kuzdzal","Mich","Big10","12.10","13.15","7.72","3.16","8.56"
"A'Marion Peterson","UTSA","Amer","12.09","12.60","9.96","8.81","10.50"
"Alvin Henderson","Aub","SEC","12.09","12.09","12.09","12.09","12.09"
"Tavorus Jones","UTEP","MWC","12.07","11.92","12.36","12.13","10.23"
"J'Marion Burnette","App","SBC","12.07","12.14","11.94","10.31","8.77"
"Carter Vargas","Cal","ACC","12.07","12.14","11.04","9.90","12.21"
"Jon Denman","TCU","Big12","12.06","12.33","9.11","10.02","9.15"
"Lamar Sperling","UTEP","MWC","12.06","11.89","12.23","7.37","12.80"
"Chris Wheatley-Humphrey","MiaFL","ACC","12.04","12.04","9.95","5.72","14.61"
"Justin Williams-Thomas","Mass","MAC","12.04","12.15","12.13","10.48","9.34"
"Shahn Alston","USC","Big10","12.03","12.03","12.03","12.03","12.03"
"Hunter Smith","Temp","Amer","12.03","12.29","10.41","7.85","8.77"
"DJ Scott","NDSt","MWC","12.03","12.31","6.95","10.93","7.56"
"Aj Newberry","OreSt","Pac12","12.01","12.21","11.74","9.91","8.25"
"Damarius Yates","Miss","SEC","12.01","12.01","12.01","12.01","12.01"
"Savion Hart","GaSt","SBC","12.00","12.00","10.99","9.02","13.04"
"Keveun Mason","Temp","Amer","11.99","12.19","11.69","6.82","12.04"
"Corey Smith","Tol","MAC","11.98","11.98","10.92","11.77","9.09"
"Antwan Roberts","Zona","Big12","11.98","12.54","9.86","9.92","10.78"
"Jeffrey Overton Jr.","VT","ACC","11.96","11.84","11.80","11.54","9.45"
"Herschel Turner","Nev","MWC","11.96","12.79","9.23","8.98","13.53"
"Kalib Hicks","WKU","CUSA","11.95","12.03","10.21","10.10","8.04"
"Seth Davis","Tuls","Amer","11.93","12.09","9.64","10.52","10.03"
"Maurice Turner","Tul","Amer","11.93","12.67","9.07","8.31","11.65"
"Gi'Bran Payne","Cincy","Big12","11.92","12.26","10.45","11.32","11.79"
"Anthony ""Turbo"" Rogers","OSU","Big10","11.90","11.90","11.90","11.90","11.90"
"Andrew Paul","JackSt","CUSA","11.89","12.08","11.04","11.52","9.45"
"Peyton Jones","Lib","CUSA","11.89","11.89","12.23","11.03","8.01"
"Bryson Donnell","UTSA","Amer","11.88","12.29","10.19","10.51","10.14"
"Jayden Clerveaux","CMich","MAC","11.86","12.20","6.17","9.99","9.68"
"Jo Silver","Del","CUSA","11.85","13.12","8.85","8.29","9.37"
"Shekai Mills-Knight","Miss","SEC","11.85","11.82","9.40","12.01","10.56"
"Ramone Green Jr.","MOSt","CUSA","11.85","12.03","12.73","9.66","11.79"
"Duke Clark","Fla","SEC","11.83","12.43","9.22","12.00","10.94"
"Xavier Gayten","MissSt","SEC","11.83","12.14","10.59","8.90","14.41"
"Vaughn Blue","CMich","MAC","11.83","12.76","11.29","8.79","8.88"
