School,Conference,Off AIR,AIR Rank,Style,Play Caller,Run%,Proj Run%,Pass%,Proj Pass%,Plays/G,Proj Plays/G,Diff,SecPP,SecPP+,Pace+
"Ohio","MAC","9.90","116","Run Heavy Spread","Scott Isphording","64%","64%","36%","36%","67.0","67.0","0.00","","0.00","0.64"
"Iowa State","Big12","9.89","117","Pro Style","Tyler Roehl","57%","57%","43%","43%","69.0","69.0","0.00","","0.00","0.57"
"Louisiana","SBC","9.80","118","Run Heavy Spread","Tim Leger","60%","60%","40%","40%","66.0","66.0","0.00","","0.00","0.60"
"Eastern Michigan","MAC","9.77","119","Balanced Spread","Mike Piatkowski","49%","49%","51%","51%","66.0","65.6","-0.42","","0.00","0.49"
"Miami (OH)","MAC","9.71","120","Multiple Run-First","Gus Ragland","57%","57%","43%","43%","61.9","61.9","0.00","","0.00","0.57"
"Sam Houston","CUSA","9.69","121","Balanced Spread","Zack Patterson","46%","46%","54%","54%","66.0","66.0","0.00","","0.00","0.46"
"Coastal Carolina","SBC","9.63","122","Spread","Nick Petrino","42%","42%","58%","58%","67.0","67.0","0.00","","0.00","0.42"
"Southern Miss","SBC","9.59","123","Spread","Kyle Cefalo","42%","42%","58%","58%","71.0","71.0","0.00","","0.00","0.42"
"Jacksonville State","CUSA","9.51","124","RPO Spread","Taylor Housewright","60%","60%","40%","40%","69.0","67.4","-1.60","","0.00","0.60"
"San José State","MWC","9.43","125","Spread-N-Shred","Craig Stutzmann","39%","39%","61%","61%","67.0","66.8","-0.20","","0.00","0.39"
"Nevada","MWC","9.37","126","RPO Spread","Brett Bartolone","53%","53%","47%","47%","62.0","62.0","0.00","","0.00","0.53"
"Massachusetts","MAC","9.31","127","Balanced Spread","Max Warner","47%","47%","53%","53%","64.0","64.0","0.00","","0.00","0.47"
"UTEP","MWC","9.27","128","Up Tempo Spread","Joe Pappalardo","50%","50%","50%","50%","65.5","65.5","0.00","","0.00","0.50"
"James Madison","SBC","9.25","129","Pro Spread","Cam Aiken","53%","53%","47%","47%","70.0","70.0","0.00","","0.00","0.53"
"Old Dominion","SBC","9.24","130","Run First Pro-Style","Kody Cook","62%","62%","38%","38%","68.0","68.0","0.00","","0.00","0.62"
"Northern Illinois","MWC","9.22","131","Pro Style","Tony Petersen","65%","65%","35%","35%","62.0","62.0","0.00","","0.00","0.65"
"UL Monroe","SBC","9.22","132","Run First Pro-Style","Jesse Montalto","58%","58%","42%","42%","61.0","61.0","0.00","","0.00","0.58"
"Bowling Green","MAC","9.21","133","Power Run","Greg Nosal","61%","61%","39%","39%","63.0","63.0","0.00","","0.00","0.61"
"Kennesaw State","CUSA","9.14","134","Balanced Spread","Mitch Militello","56%","56%","44%","44%","68.0","68.0","0.00","","0.00","0.56"
"Kent State","MAC","8.76","135","Multiple Run-First","Clay Patterson","58%","58%","42%","42%","58.0","58.0","0.00","","0.00","0.58"
"North Dakota State","MWC","8.70","136","Run First Pro-Style","Dan Larson","56%","56%","44%","44%","61.0","62.6","1.60","","0.00","0.56"
"Sacramento State","MAC","8.46","137","Pass Heavy Spread","Eric Kiesau","53%","53%","47%","47%","63.9","64.3","0.42","","0.00","0.53"
"Buffalo","MAC","8.36","138","Pro Style","Tony Tokarz","50%","50%","50%","50%","69.0","69.0","0.00","","0.00","0.50"
