"School","Conference","Head Coach","HC Rating","OFF Play Caller","OPC Rating","DEF Play Caller","DPC Rating","Overall Impact"
"UTSA","Amer","Jeff Traylor","7","Rick Bowie","3","Jess Loepp","3","14.5"
"Vanderbilt","SEC","Clark Lea","9","Tim Beck","7","Steve Gregory","7","13.6"
"Virginia","ACC","Tony Elliott","7","Des Kitchings","6","John Rudzinski","6","14.3"
"Virginia Tech","ACC","James Franklin","8","Ty Howle","3","Brent Pry","3","14.1"
"Wake Forest","ACC","Jake Dickert","8","Rob Ezell","5","Scottie Hazelton","5","13.8"
"Washington","Big10","Jedd Fisch","7","Jedd Fisch","8","Ryan Walters","8","14.6"
"Washington State","Pac12","Kirby Moore","4","Matt Miller","4","Trent Bray","4","13.9"
"West Virginia","Big12","Rich Rodriguez","5","Rich Rodriguez","8","Zac Alley","8","12.7"
"Western Kentucky","CUSA","Tyson Helton","7","Bodie Reeder","4","Davis Merritt","4","12.7"
"Western Michigan","MAC","Lance Taylor","7","Walt Bell","5","Greer Martini","5","14.5"
"Wisconsin","Big10","Luke Fickell","5","Jeff Grimes","5","Mike Tressel","5","14.1"
"Wyoming","MWC","Jay Sawvel","5","Christian Taylor","5","Aaron Bohl","5","12.9"
