season,week,ranking_date,team,actual_cfp_rank,raw_game_control,game_control,game_control_rank,game_control_index,wins,losses,game_control_method,championship_wins_power,championship_wins_g6,quality_wins,top25_wins,prior_top25_wins,provisional_top25_wins,avg_capped_mov,avg_weighted_mol,bad_losses,sos,source_url,notes
2022,1,2022-11-01,Troy,26,0.527700207148677,0.5374934091517005,56,3.749340915170052,5,2,PBP AUC + 0.35*(SOS-.500),0,0,2,0,0,0,8.0,8.3,1,0.5279805771514955,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,Tulane,19,0.6471364506036795,0.6372105010571942,12,13.721050105719424,6,1,PBP AUC + 0.35*(SOS-.500),0,0,3,1,0,1,11.666666666666666,2.8285714285714283,0,0.47164014415289923,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,Tulsa,26,0.3840027630316795,0.37533649791452156,115,-12.466350208547844,2,5,PBP AUC + 0.35*(SOS-.500),0,0,0,0,0,0,7.0,12.408571428571427,2,0.4752392425224058,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,UAB,26,0.572097591490171,0.5651024809459534,34,6.5102480945953385,3,4,PBP AUC + 0.35*(SOS-.500),0,0,1,0,0,0,16.333333333333332,4.982142857142858,3,0.48001396987366374,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,UCF,25,0.574664776590917,0.5620534056536531,36,6.205340565365313,5,2,PBP AUC + 0.35*(SOS-.500),0,0,1,0,0,0,16.8,12.150000000000002,0,0.4639675116078177,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,UCLA,12,0.6220120747608328,0.6362873960004397,13,13.628739600043971,6,1,PBP AUC + 0.35*(SOS-.500),0,0,4,1,0,1,13.666666666666666,10.714285714285715,0,0.5407866321131627,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,UConn,26,0.425610044046555,0.43476916689708406,92,-6.523083310291594,3,5,PBP AUC + 0.35*(SOS-.500),0,0,0,0,0,0,12.0,21.02285714285714,2,0.5261689224300831,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,UL Monroe,26,0.29380915942797203,0.3033000182715095,128,-19.669998172849052,1,6,PBP AUC + 0.35*(SOS-.500),0,0,0,0,0,0,4.0,23.276666666666667,2,0.5271167395529641,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,UNLV,26,0.3922068170391117,0.3810592121638282,113,-11.894078783617179,3,4,PBP AUC + 0.35*(SOS-.500),0,0,0,0,0,0,14.0,22.33214285714286,1,0.46814970035633297,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
2022,1,2022-11-01,USC,9,0.6927328545687228,0.6876485291718973,6,18.764852917189735,7,1,PBP AUC + 0.35*(SOS-.500),0,0,1,1,0,0,14.142857142857142,0.8285714285714285,0,0.4854733560090702,https://collegefootballplayoff.com/sports/2022/11/2/wk-x-wk-rankings-2022.aspx,Championship flags pending conference-title crosswalk
