snapshot_date,season,team,conference,book,win_total,over_odds,under_odds,source_url,notes
2026-06-19,2026,Clemson,,FanDuel,7.5,-130.0,106.0,https://api.sportsbook.fanduel.com/sbapi/content-managed-page?page=CUSTOM&customPageId=ncaaf&pbHorizontal=false&_ak=FhMFpcPWXMeyZxOx&timezone=America%2FNew_York,FanDuel OH; market_id=739.159439542; over_selection=96283363; under_selection=96283362
2026-06-19,2026,Colorado,,BetMGM,4.5,135.0,-175.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,preferred_state=OH; action_book_id=1665; action_book_display=BetMGM OH
2026-06-19,2026,Colorado,Big 12,Caesars,4.5,110.0,-140.0,https://api.bettingpros.com/v3/offers,BettingPros API book_id=13 Caesars; offer_id=d74cedc6a7a5f64846fc5498cc4dc76c; over_updated=2026-06-19 11:49:47; under_updated=2026-06-19 11:49:47
2026-06-19,2026,Colorado,,DraftKings,2.5,-110.0,-110.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,Colorado,,DraftKings,4.5,125.0,-150.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK CO DK; best_under=DK CO DK
2026-06-19,2026,Colorado,,FanDuel,4.5,136.0,-164.0,https://api.sportsbook.fanduel.com/sbapi/content-managed-page?page=CUSTOM&customPageId=ncaaf&pbHorizontal=false&_ak=FhMFpcPWXMeyZxOx&timezone=America%2FNew_York,FanDuel OH; market_id=739.159439562; over_selection=96283364; under_selection=96283365
2026-06-19,2026,Florida,,BetMGM,7.5,110.0,-145.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,preferred_state=OH; action_book_id=1665; action_book_display=BetMGM OH
2026-06-19,2026,Florida,Southeastern,Caesars,7.5,100.0,-130.0,https://api.bettingpros.com/v3/offers,BettingPros API book_id=13 Caesars; offer_id=e3c696177a6670c740fa1a5ee486c750; over_updated=2026-06-19 11:49:49; under_updated=2026-06-19 11:49:49
2026-06-19,2026,Florida,,DraftKings,4.5,-110.0,-110.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,Florida,,DraftKings,7.5,130.0,-156.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK IN DK; best_under=DK IN DK
2026-06-19,2026,Florida,,FanDuel,7.5,114.0,-140.0,https://api.sportsbook.fanduel.com/sbapi/content-managed-page?page=CUSTOM&customPageId=ncaaf&pbHorizontal=false&_ak=FhMFpcPWXMeyZxOx&timezone=America%2FNew_York,FanDuel OH; market_id=739.159439594; over_selection=96322246; under_selection=96322245
2026-06-19,2026,Florida State,,BetMGM,6.5,135.0,-175.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,preferred_state=OH; action_book_id=1665; action_book_display=BetMGM OH
2026-06-19,2026,Florida State,Atlantic Coast,Caesars,6.5,145.0,-190.0,https://api.bettingpros.com/v3/offers,BettingPros API book_id=13 Caesars; offer_id=60db0abf6dd1af87e85a6d6371ddb6e7; over_updated=2026-06-19 11:49:50; under_updated=2026-06-19 11:49:50
2026-06-19,2026,Florida State,,DraftKings,3.5,-130.0,110.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,Florida State,,FanDuel,6.5,138.0,-170.0,https://api.sportsbook.fanduel.com/sbapi/content-managed-page?page=CUSTOM&customPageId=ncaaf&pbHorizontal=false&_ak=FhMFpcPWXMeyZxOx&timezone=America%2FNew_York,FanDuel OH; market_id=739.159439641; over_selection=96283377; under_selection=96283376
