week,date,away,home,away_rank,home_rank,away_rating,home_rating,hfa,hfa_source,stored_margin_home,stored_margin_key,rating_margin_home,diff_stored_minus_rating,stored_line,rating_line,issues
1,2026-09-05,VMI,Virginia Tech,,32.0,,9.4,2.3,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
1,2026-09-05,Washington State,Washington,85.0,21.0,-5.3,14.5,2.1,home_team.hfa,21.9,projected_margin_home,21.900000000000002,-3.552713678800501e-15,Washington -21.9,Washington -21.9,
1,2026-09-05,Coastal Carolina,West Virginia,119.0,66.0,-13.8,0.8,3.4,home_team.hfa,18.0,projected_margin_home,18.0,0.0,West Virginia -18.0,West Virginia -18.0,
1,2026-09-06,Wisconsin,Notre Dame,61.0,3.0,1.8,25.8,3.2,home_team.hfa,24.0,projected_margin_home,27.2,-3.1999999999999993,Notre Dame -24.0,Notre Dame -27.2,
1,2026-09-06,Louisville,Ole Miss,27.0,16.0,11.0,15.9,2.4,home_team.hfa,4.9,projected_margin_home,7.300000000000001,-2.4000000000000004,Ole Miss -4.9,Ole Miss -7.3,
1,2026-09-07,SMU,Florida State,28.0,35.0,10.9,8.8,1.9,home_team.hfa,-0.2,projected_margin_home,-0.19999999999999973,-2.7755575615628914e-16,SMU -0.2,SMU -0.2,
2,2026-09-10,Florida A&M,Miami-FL,,8.0,,21.0,1.7,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
2,2026-09-11,Rutgers,Boston College,61.0,73.0,1.8,-1.5,1.9,home_team.hfa,-1.4,projected_margin_home,-1.4,0.0,Rutgers -1.4,Rutgers -1.4,
2,2026-09-11,Missouri,Kansas,20.0,56.0,14.8,3.7,2.4,home_team.hfa,-8.7,projected_margin_home,-8.700000000000001,1.7763568394002505e-15,Missouri -8.7,Missouri -8.7,
2,2026-09-11,Villanova,Louisville,,27.0,,11.0,2.9,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
2,2026-09-12,North Dakota State,Air Force,72.0,79.0,-1.4,-2.4,3.2,home_team.hfa,2.2,projected_margin_home,2.2,0.0,Air Force -2.2,Air Force -2.2,
2,2026-09-12,Robert Morris,Akron,,127.0,,-19.5,0.7,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
2,2026-09-12,West Georgia,Arkansas State,,101.0,,-8.5,2.9,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
2,2026-09-12,South Florida,Army,80.0,83.0,-2.8,-3.0,1.8,home_team.hfa,1.6,projected_margin_home,1.5999999999999999,2.220446049250313e-16,Army -1.6,Army -1.6,
2,2026-09-12,Southern Miss,Auburn,131.0,26.0,-23.3,11.2,2.6,home_team.hfa,37.1,projected_margin_home,37.1,0.0,Auburn -37.1,Auburn -37.1,
2,2026-09-12,Arizona,BYU,30.0,18.0,10.2,15.5,2.1,home_team.hfa,7.4,projected_margin_home,7.4,0.0,BYU -7.4,BYU -7.4,
2,2026-09-12,Stony Brook,Ball State,,134.0,,-25.2,1.5,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
2,2026-09-12,Prairie View A&M,Baylor,,50.0,,4.5,2.5,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
2,2026-09-12,Memphis,Boise State,70.0,39.0,-1.1,6.8,2.8,home_team.hfa,10.7,projected_margin_home,10.7,0.0,Boise State -10.7,Boise State -10.7,
2,2026-09-12,Colgate,Central Michigan,,113.0,,-12.4,1.7,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
2,2026-09-12,Western Carolina,Cincinnati,,50.0,,4.5,2.1,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
2,2026-09-12,Georgia Southern,Clemson,103.0,23.0,-8.9,12.8,2.5,home_team.hfa,24.2,projected_margin_home,24.200000000000003,-3.552713678800501e-15,Clemson -24.2,Clemson -24.2,
2,2026-09-12,Fordham,Coastal Carolina,,119.0,,-13.8,2.3,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
2,2026-09-12,Weber State,Colorado,,65.0,,0.9,2.6,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
2,2026-09-12,Southern Utah,Colorado State,,99.0,,-8.3,2.0,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
2,2026-09-12,Maryland,Connecticut,53.0,107.0,3.8,-11.2,1.9,home_team.hfa,-13.1,projected_margin_home,-13.1,0.0,Maryland -13.1,Maryland -13.1,
2,2026-09-12,Appalachian State,East Carolina,111.0,76.0,-12.1,-2.0,1.9,home_team.hfa,12.0,projected_margin_home,12.0,0.0,East Carolina -12.0,East Carolina -12.0,
2,2026-09-12,Campbell,Florida,,19.0,,14.9,2.5,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
2,2026-09-12,Navy,Florida Atlantic,63.0,94.0,1.1,-7.1,1.8,home_team.hfa,-6.4,projected_margin_home,-6.3999999999999995,-8.881784197001252e-16,Navy -6.4,Navy -6.4,
2,2026-09-12,Buffalo,Florida International,110.0,118.0,-11.9,-13.7,1.8,home_team.hfa,0.0,projected_margin_home,1.1102230246251565e-15,-1.1102230246251565e-15,Pick,Pick,
2,2026-09-12,Sacramento State,Fresno State,130.0,78.0,-22.7,-2.3,2.7,home_team.hfa,23.1,projected_margin_home,23.099999999999998,3.552713678800501e-15,Fresno State -23.1,Fresno State -23.1,
2,2026-09-12,Western Kentucky,Georgia,85.0,4.0,-5.3,25.5,1.8,home_team.hfa,32.6,projected_margin_home,32.6,0.0,Georgia -32.6,Georgia -32.6,
2,2026-09-12,Tennessee,Georgia Tech,15.0,43.0,16.0,6.0,1.4,home_team.hfa,-8.6,projected_margin_home,-8.6,0.0,Tennessee -8.6,Tennessee -8.6,
2,2026-09-12,New Mexico State,Hawaii,123.0,84.0,-16.4,-3.9,2.1,home_team.hfa,14.6,projected_margin_home,14.599999999999998,1.7763568394002505e-15,Hawaii -14.6,Hawaii -14.6,
2,2026-09-12,Southern,Houston,,36.0,,8.2,1.7,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
2,2026-09-12,Duke,Illinois,44.0,33.0,5.7,9.3,1.5,home_team.hfa,5.1,projected_margin_home,5.1000000000000005,-8.881784197001252e-16,Illinois -5.1,Illinois -5.1,
2,2026-09-12,Howard,Indiana,,5.0,,24.5,1.9,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
2,2026-09-12,Iowa State,Iowa,64.0,22.0,1.0,13.6,2.4,home_team.hfa,15.0,projected_margin_home,15.0,0.0,Iowa -15.0,Iowa -15.0,
2,2026-09-12,Wagner,James Madison,,77.0,,-2.1,2.7,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
2,2026-09-12,Washington State,Kansas State,85.0,29.0,-5.3,10.4,3.8,home_team.hfa,19.5,projected_margin_home,19.5,0.0,Kansas State -19.5,Kansas State -19.5,
2,2026-09-12,Georgia State,Kennesaw State,133.0,105.0,-25.1,-9.3,2.5,home_team.hfa,18.3,projected_margin_home,18.3,0.0,Kennesaw State -18.3,Kennesaw State -18.3,
2,2026-09-12,Wofford,Kent State,,128.0,,-20.1,2.1,home_team.hfa,,,,,,,"missing_away_rating,missing_projected_margin"
