type,quality,team,win_total,side_1,book_1,odds_1,side_2,book_2,odds_2,implied_sum_pct,edge_pct,middle_score,notes,total_1,total_2,middle_gap_calc
Middle,Strong middle,NC State,4.5 / 7.5,Over 4.5,DraftKings,-180,Under 7.5,BetMGM,-115,,,77.0,Middle gap of 3 wins.,4.5,7.5,3.0
Middle,Strong middle,Nebraska,3.5 / 6.5,Over 3.5,DraftKings,-105,Under 6.5,Caesars,-160,,,77.0,Middle gap of 3 wins.,3.5,6.5,3.0
Middle,Strong middle,Utah,6.5 / 8.5,Over 6.5,DraftKings,110,Under 8.5,FanDuel,106,,,77.0,Middle gap of 2 wins.,6.5,8.5,2.0
Middle,Strong middle,Utah,6.5 / 8.5,Over 6.5,DraftKings,110,Under 8.5,BetMGM,105,,,76.9,Middle gap of 2 wins.,6.5,8.5,2.0
Middle,Strong middle,West Virginia,3.5 / 5.5,Over 3.5,DraftKings,100,Under 5.5,Caesars,115,,,76.9,Middle gap of 2 wins.,3.5,5.5,2.0
Middle,Strong middle,Kansas,3.5 / 5.5,Over 3.5,DraftKings,-110,Under 5.5,FanDuel,132,,,76.5,Middle gap of 2 wins.,3.5,5.5,2.0
Middle,Strong middle,Vanderbilt,3.5 / 5.5,Over 3.5,DraftKings,100,Under 5.5,FanDuel,112,,,76.5,Middle gap of 2 wins.,3.5,5.5,2.0
Middle,Strong middle,Central Florida,3.5 / 5.5,Over 3.5,DraftKings,-115,Under 5.5,BetMGM,130,,,76.2,Middle gap of 2 wins.,3.5,5.5,2.0
Middle,Strong middle,Central Florida,3.5 / 5.5,Over 3.5,DraftKings,-115,Under 5.5,FanDuel,128,,,76.0,Middle gap of 2 wins.,3.5,5.5,2.0
Middle,Strong middle,Kansas,3.5 / 5.5,Over 3.5,DraftKings,-110,Under 5.5,BetMGM,125,,,75.6,Middle gap of 2 wins.,3.5,5.5,2.0
Middle,Strong middle,Rutgers,2.5 / 4.5,Over 2.5,DraftKings,-130,Under 4.5,BetMGM,125,,,75.6,Middle gap of 2 wins.,2.5,4.5,2.0
