season,week,date,game_id,case,team,opponent,team_side,role,spread,ats_margin,ats_result,team_overall,team_overall_rank,team_offense,team_offense_rank,team_defense,team_defense_rank,opponent_overall,opponent_overall_rank,opponent_offense,opponent_offense_rank,opponent_defense,opponent_defense_rank
2023,2,2023-09-10T02:30:00.000Z,401524003,High Offense RP vs Low Defense RP,USC,Stanford,home,Favorite,-28.666666666666668,17.333333333333332,W,76.0,14.0,75.0,32.0,78.0,15.0,35.0,129.0,34.0,129.0,36.0,128.0
2023,3,2023-09-16T19:30:00.000Z,401524009,High Offense RP vs Low Defense RP,Oregon State,San Diego State,home,Favorite,-24.5,-7.5,L,65.0,53.0,78.0,20.0,52.0,92.0,56.0,97.0,71.0,46.0,40.0,123.0
2023,3,2023-09-16T23:00:00.000Z,401531379,High Offense RP vs Low Defense RP,Louisiana,UAB,away,Underdog,2.0,22.0,W,66.0,50.0,78.0,22.0,54.0,88.0,39.0,127.0,36.0,128.0,42.0,120.0
2023,3,2023-09-17T00:00:00.000Z,401520238,High Offense RP vs Low Defense RP,New Mexico State,New Mexico,away,Underdog,2.75,12.75,W,64.0,63.0,77.0,26.0,51.0,98.0,64.0,61.0,78.0,18.0,49.0,103.0
2023,4,2023-09-23T02:30:00.000Z,401532583,High Offense RP vs Low Defense RP,Boise State,San Diego State,away,Favorite,-5.833333333333333,-2.833333333333333,L,67.0,49.0,78.0,16.0,55.0,85.0,56.0,97.0,71.0,46.0,40.0,123.0
2023,4,2023-09-23T17:30:00.000Z,401532406,High Offense RP vs Low Defense RP,Toledo,Western Michigan,home,Favorite,-21.5,-3.5,L,77.0,11.0,82.0,6.0,72.0,32.0,49.0,121.0,67.0,61.0,31.0,129.0
2023,4,2023-09-23T19:30:00.000Z,401520250,High Offense RP vs Low Defense RP,Ole Miss,Alabama,away,Underdog,7.0,-7.0,L,71.0,30.0,80.0,13.0,62.0,69.0,40.0,125.0,43.0,120.0,38.0,127.0
2023,4,2023-09-23T23:30:00.000Z,401531875,High Offense RP vs Low Defense RP,Louisiana,Buffalo,home,Favorite,-10.333333333333334,-3.333333333333334,L,66.0,50.0,78.0,22.0,54.0,88.0,53.0,110.0,57.0,95.0,49.0,108.0
2023,4,2023-09-24T03:59:00.000Z,401520253,High Offense RP vs Low Defense RP,New Mexico State,Hawai'i,away,Underdog,3.6666666666666665,0.6666666666666665,W,64.0,63.0,77.0,26.0,51.0,98.0,47.0,122.0,45.0,118.0,49.0,105.0
2024,1,2024-08-31T16:00:00.000Z,401628323,High Offense RP vs Low Defense RP,Georgia,Clemson,home,Favorite,-11.666666666666666,19.333333333333336,W,65.0,47.0,76.0,25.0,55.0,80.0,64.0,54.0,79.0,20.0,49.0,103.0
