season,team,opponent,team_conference,opponent_conference,team_tier,opponent_tier,conference_matchup_type,team_changed_conference,opponent_changed_conference,team_previous_conference,opponent_previous_conference,team_years_since_move,opponent_years_since_move
2021,Western Michigan,Michigan,MAC,Big Ten,G6,P4,G6_vs_P4,False,False,,,,
2021,Rutgers,Temple,Big Ten,American,P4,G6,P4_vs_G6,False,False,,,,
2021,Temple,Rutgers,American,Big Ten,G6,P4,G6_vs_P4,False,False,,,,
2021,Oklahoma,Tulane,Big 12,American,P4,G6,P4_vs_G6,False,False,,,,
2021,Tulane,Oklahoma,American,Big 12,G6,P4,G6_vs_P4,False,False,,,,
2021,Wisconsin,Penn State,Big Ten,Big Ten,P4,P4,P4_vs_P4,False,False,,,,
2021,Penn State,Wisconsin,Big Ten,Big Ten,P4,P4,P4_vs_P4,False,False,,,,
2021,Georgia State,Army,Sun Belt,Independent,G6,Independent,Other,False,False,,,,
2021,Army,Georgia State,Independent,Sun Belt,Independent,G6,Other,False,False,,,,
2021,Kentucky,UL Monroe,SEC,Sun Belt,P4,G6,P4_vs_G6,False,False,,,,
2021,UL Monroe,Kentucky,Sun Belt,SEC,G6,P4,G6_vs_P4,False,False,,,,
2021,Arkansas,Rice,SEC,Conference USA,P4,G6,P4_vs_G6,False,False,,,,
2021,Rice,Arkansas,Conference USA,SEC,G6,P4,G6_vs_P4,False,False,,,,
2021,Navy,Marshall,American,Conference USA,G6,G6,G6_vs_G6,False,False,,,,
2021,Marshall,Navy,Conference USA,American,G6,G6,G6_vs_G6,False,False,,,,
2021,Maryland,West Virginia,Big Ten,Big 12,P4,P4,P4_vs_P4,False,False,,,,
2021,West Virginia,Maryland,Big 12,Big Ten,P4,P4,P4_vs_P4,False,False,,,,
2021,Iowa,Indiana,Big Ten,Big Ten,P4,P4,P4_vs_P4,False,False,,,,
2021,Indiana,Iowa,Big Ten,Big Ten,P4,P4,P4_vs_P4,False,False,,,,
2021,Cincinnati,Miami (OH),American,MAC,G6,G6,G6_vs_G6,False,False,,,,
2021,Miami (OH),Cincinnati,MAC,American,G6,G6,G6_vs_G6,False,False,,,,
2021,Miami,Alabama,ACC,SEC,P4,P4,P4_vs_P4,False,False,,,,
2021,Alabama,Miami,SEC,ACC,P4,P4,P4_vs_P4,False,False,,,,
2021,Pittsburgh,Massachusetts,ACC,Independent,P4,Independent,Other,False,False,,,,
2021,Massachusetts,Pittsburgh,Independent,ACC,Independent,P4,Other,False,False,,,,
2021,Missouri,Central Michigan,SEC,MAC,P4,G6,P4_vs_G6,False,False,,,,
2021,Central Michigan,Missouri,MAC,SEC,G6,P4,G6_vs_P4,False,False,,,,
2021,Mississippi State,Louisiana Tech,SEC,Conference USA,P4,G6,P4_vs_G6,False,False,,,,
2021,Louisiana Tech,Mississippi State,Conference USA,SEC,G6,P4,G6_vs_P4,False,False,,,,
2021,Texas,Louisiana,Big 12,Sun Belt,P4,G6,P4_vs_G6,False,False,,,,
2021,Louisiana,Texas,Sun Belt,Big 12,G6,P4,G6_vs_P4,False,False,,,,
2021,Auburn,Akron,SEC,MAC,P4,G6,P4_vs_G6,False,False,,,,
2021,Akron,Auburn,MAC,SEC,G6,P4,G6_vs_P4,False,False,,,,
2021,Texas State,Baylor,Sun Belt,Big 12,G6,P4,G6_vs_P4,False,False,,,,
2021,Baylor,Texas State,Big 12,Sun Belt,P4,G6,P4_vs_G6,False,False,,,,
2021,Houston,Texas Tech,American,Big 12,G6,P4,G6_vs_P4,False,False,,,,
2021,Texas Tech,Houston,Big 12,American,P4,G6,P4_vs_G6,False,False,,,,
2021,Ohio,Syracuse,MAC,ACC,G6,P4,G6_vs_P4,False,False,,,,
2021,Syracuse,Ohio,ACC,MAC,P4,G6,P4_vs_G6,False,False,,,,
2021,Illinois,UTSA,Big Ten,Conference USA,P4,G6,P4_vs_G6,False,False,,,,
2021,UTSA,Illinois,Conference USA,Big Ten,G6,P4,G6_vs_P4,False,False,,,,
2021,Florida,Florida Atlantic,SEC,Conference USA,P4,G6,P4_vs_G6,False,False,,,,
2021,Florida Atlantic,Florida,Conference USA,SEC,G6,P4,G6_vs_P4,False,False,,,,
2021,Georgia Tech,Northern Illinois,ACC,MAC,P4,G6,P4_vs_G6,False,False,,,,
2021,Northern Illinois,Georgia Tech,MAC,ACC,G6,P4,G6_vs_P4,False,False,,,,
2021,Clemson,Georgia,ACC,SEC,P4,P4,P4_vs_P4,False,False,,,,
2021,Georgia,Clemson,SEC,ACC,P4,P4,P4_vs_P4,False,False,,,,
2021,Texas A&M,Kent State,SEC,MAC,P4,G6,P4_vs_G6,False,False,,,,
2021,Kent State,Texas A&M,MAC,SEC,G6,P4,G6_vs_P4,False,False,,,,
2021,South Alabama,Southern Miss,Sun Belt,Conference USA,G6,G6,G6_vs_G6,False,False,,,,
2021,Southern Miss,South Alabama,Conference USA,Sun Belt,G6,G6,G6_vs_G6,False,False,,,,
2021,San Diego State,New Mexico State,Mountain West,Independent,G6,Independent,Other,False,False,,,,
2021,New Mexico State,San Diego State,Independent,Mountain West,Independent,G6,Other,False,False,,,,
2021,Florida State,Notre Dame,ACC,Independent,P4,Independent,Other,False,False,,,,
2021,Notre Dame,Florida State,Independent,ACC,Independent,P4,Other,False,False,,,,
2021,Ole Miss,Louisville,SEC,ACC,P4,P4,P4_vs_P4,False,False,,,,
2021,Louisville,Ole Miss,ACC,SEC,P4,P4,P4_vs_P4,False,False,,,,
2021,Coastal Carolina,Kansas,Sun Belt,Big 12,G6,P4,G6_vs_P4,False,False,,,,
