season,team,raw_team,overall_returning_production,offense_returning_production,defense_returning_production,overall_rank,offense_rank,defense_rank,source
2023,Purdue,Purdue,65.0,71.0,59.0,47,41,65,derived_from_2023_2025_game_file
2023,Rice,Rice,73.0,72.0,74.0,17,37,24,derived_from_2023_2025_game_file
2023,Rutgers,Rutgers,73.0,73.0,72.0,17,31,27,derived_from_2023_2025_game_file
2023,SMU,SMU,52.0,56.0,48.0,93,84,93,derived_from_2023_2025_game_file
2023,Sam Houston,Sam Houston,71.0,68.0,75.0,24,49,20,derived_from_2023_2025_game_file
2023,San Diego State,San Diego State,56.0,71.0,40.0,82,41,103,derived_from_2023_2025_game_file
2023,South Alabama,South Alabama,77.0,71.0,82.0,9,41,4,derived_from_2023_2025_game_file
2023,South Florida,South Florida,56.0,46.0,67.0,82,97,44,derived_from_2023_2025_game_file
2023,Southern Miss,Southern Miss,60.0,68.0,53.0,72,49,78,derived_from_2023_2025_game_file
2023,Stanford,Stanford,35.0,34.0,36.0,108,107,107,derived_from_2023_2025_game_file
2023,Syracuse,Syracuse,73.0,73.0,72.0,17,31,27,derived_from_2023_2025_game_file
2023,TCU,TCU,52.0,33.0,71.0,93,108,32,derived_from_2023_2025_game_file
2023,Temple,Temple,77.0,79.0,76.0,9,13,18,derived_from_2023_2025_game_file
2023,Tennessee,Tennessee,63.0,57.0,69.0,60,80,38,derived_from_2023_2025_game_file
2023,Texas,Texas,74.0,85.0,63.0,15,3,57,derived_from_2023_2025_game_file
2023,Texas A&M,Texas A&M,80.0,82.0,77.0,5,6,15,derived_from_2023_2025_game_file
2023,Texas Tech,Texas Tech,64.0,75.0,52.0,53,27,80,derived_from_2023_2025_game_file
2023,Toledo,Toledo,77.0,82.0,72.0,9,6,27,derived_from_2023_2025_game_file
2023,Troy,Troy,60.0,64.0,55.0,72,59,72,derived_from_2023_2025_game_file
