game_id,week,date,away_team,home_team,signal_team,signal_opponent,signal_side,overall_rp,offense_rp,defense_rp,opponent_overall_rp,opponent_offense_rp,opponent_defense_rp,overall_rp_edge,offense_vs_defense_edge,defense_vs_offense_edge,model_spread_field,full_game_model_spread,estimated_1h_spread,estimated_1h_role,candidate_a_defensive_favorite,candidate_b_offensive_underdog
g62,1,2026-09-05,Ohio,Nebraska,Ohio,Nebraska,away,33.0,18.0,48.0,69.0,69.0,69.0,-36.0,-51.0,-21.0,projection_spread_home,-17.5575,-8.77875,Favorite,False,False
g62,1,2026-09-05,Ohio,Nebraska,Nebraska,Ohio,home,69.0,69.0,69.0,33.0,18.0,48.0,36.0,21.0,51.0,projection_spread_home,17.5575,8.77875,Underdog,False,False
g63,1,2026-09-05,Western Kentucky,Nevada,Western Kentucky,Nevada,away,32.0,37.0,26.0,48.0,57.0,39.0,-16.0,-2.0,-31.0,projection_spread_home,5.43,2.715,Underdog,False,False
g63,1,2026-09-05,Western Kentucky,Nevada,Nevada,Western Kentucky,home,48.0,57.0,39.0,32.0,37.0,26.0,16.0,31.0,2.0,projection_spread_home,-5.43,-2.715,Favorite,False,False
g64,1,2026-09-05,Central Michigan,New Mexico,Central Michigan,New Mexico,away,46.0,62.0,29.0,63.0,68.0,58.0,-17.0,4.0,-39.0,projection_spread_home,-11.1875,-5.59375,Favorite,False,False
g64,1,2026-09-05,Central Michigan,New Mexico,New Mexico,Central Michigan,home,63.0,68.0,58.0,46.0,62.0,29.0,17.0,39.0,-4.0,projection_spread_home,11.1875,5.59375,Underdog,False,True
g68,1,2026-09-05,Ball State,Ohio State,Ball State,Ohio State,away,36.0,47.0,24.0,60.0,71.0,50.0,-24.0,-3.0,-47.0,projection_spread_home,-55.85,-27.925,Favorite,False,False
g68,1,2026-09-05,Ball State,Ohio State,Ohio State,Ball State,home,60.0,71.0,50.0,36.0,47.0,24.0,24.0,47.0,3.0,projection_spread_home,55.85,27.925,Underdog,False,False
g69,1,2026-09-05,UTEP,Oklahoma,UTEP,Oklahoma,away,35.0,27.0,43.0,65.0,75.0,55.0,-30.0,-28.0,-32.0,projection_spread_home,-41.1825,-20.59125,Favorite,False,False
g69,1,2026-09-05,UTEP,Oklahoma,Oklahoma,UTEP,home,65.0,75.0,55.0,35.0,27.0,43.0,30.0,32.0,28.0,projection_spread_home,41.1825,20.59125,Underdog,False,False
g71,1,2026-09-05,Boise State,Oregon,Boise State,Oregon,away,57.0,60.0,55.0,66.0,65.0,66.0,-9.0,-6.0,-10.0,projection_spread_home,-24.4675,-12.23375,Favorite,False,False
g71,1,2026-09-05,Boise State,Oregon,Oregon,Boise State,home,66.0,65.0,66.0,57.0,60.0,55.0,9.0,10.0,6.0,projection_spread_home,24.4675,12.23375,Underdog,False,False
g72,1,2026-09-05,Marshall,Penn State,Marshall,Penn State,away,48.0,61.0,36.0,52.0,50.0,53.0,-4.0,8.0,-14.0,projection_spread_home,-27.0225,-13.51125,Favorite,False,False
g72,1,2026-09-05,Marshall,Penn State,Penn State,Marshall,home,52.0,50.0,53.0,48.0,61.0,36.0,4.0,14.0,-8.0,projection_spread_home,27.0225,13.51125,Underdog,False,True
g73,1,2026-09-05,Miami-OH,Pittsburgh,Miami-OH,Pittsburgh,away,49.0,45.0,52.0,58.0,60.0,56.0,-9.0,-11.0,-8.0,projection_spread_home,-17.395,-8.6975,Favorite,False,False
g73,1,2026-09-05,Miami-OH,Pittsburgh,Pittsburgh,Miami-OH,home,58.0,60.0,56.0,49.0,45.0,52.0,9.0,8.0,11.0,projection_spread_home,17.395,8.6975,Underdog,False,False
g79,1,2026-09-05,Kent State,South Carolina,Kent State,South Carolina,away,48.0,57.0,39.0,68.0,76.0,61.0,-20.0,-4.0,-37.0,projection_spread_home,-33.8425,-16.92125,Favorite,False,False
g79,1,2026-09-05,Kent State,South Carolina,South Carolina,Kent State,home,68.0,76.0,61.0,48.0,57.0,39.0,20.0,37.0,4.0,projection_spread_home,33.8425,16.92125,Underdog,False,False
g85,1,2026-09-05,Texas State,Texas,Texas State,Texas,away,56.0,70.0,43.0,68.0,73.0,63.0,-12.0,7.0,-30.0,projection_spread_home,-31.1375,-15.56875,Favorite,False,False
g85,1,2026-09-05,Texas State,Texas,Texas,Texas State,home,68.0,73.0,63.0,56.0,70.0,43.0,12.0,30.0,-7.0,projection_spread_home,31.1375,15.56875,Underdog,False,True
g86,1,2026-09-05,Missouri State,Texas A&M,Missouri State,Texas A&M,away,34.0,25.0,44.0,65.0,67.0,63.0,-31.0,-38.0,-23.0,projection_spread_home,-38.89,-19.445,Favorite,False,False
g86,1,2026-09-05,Missouri State,Texas A&M,Texas A&M,Missouri State,home,65.0,67.0,63.0,34.0,25.0,44.0,31.0,23.0,38.0,projection_spread_home,38.89,19.445,Underdog,False,False
g89,1,2026-09-05,Oklahoma State,Tulsa,Oklahoma State,Tulsa,away,58.0,62.0,53.0,62.0,64.0,60.0,-4.0,2.0,-11.0,projection_spread_home,10.5925,5.29625,Underdog,False,True
g89,1,2026-09-05,Oklahoma State,Tulsa,Tulsa,Oklahoma State,home,62.0,64.0,60.0,58.0,62.0,53.0,4.0,11.0,-2.0,projection_spread_home,-10.5925,-5.29625,Favorite,False,False
g95,1,2026-09-05,Washington State,Washington,Washington State,Washington,away,42.0,48.0,36.0,65.0,69.0,61.0,-23.0,-13.0,-33.0,projection_spread_home,-18.41,-9.205,Favorite,False,False
g95,1,2026-09-05,Washington State,Washington,Washington,Washington State,home,65.0,69.0,61.0,42.0,48.0,36.0,23.0,33.0,13.0,projection_spread_home,18.41,9.205,Underdog,False,False
g96,1,2026-09-05,Coastal Carolina,West Virginia,Coastal Carolina,West Virginia,away,42.0,39.0,44.0,52.0,57.0,46.0,-10.0,-7.0,-13.0,projection_spread_home,-18.4125,-9.20625,Favorite,False,False
g96,1,2026-09-05,Coastal Carolina,West Virginia,West Virginia,Coastal Carolina,home,52.0,57.0,46.0,42.0,39.0,44.0,10.0,13.0,7.0,projection_spread_home,18.4125,9.20625,Underdog,False,False
g97,1,2026-09-06,Wisconsin,Notre Dame,Wisconsin,Notre Dame,away,59.0,61.0,57.0,72.0,67.0,77.0,-13.0,-16.0,-10.0,projection_spread_home,-22.88,-11.44,Favorite,False,False
g97,1,2026-09-06,Wisconsin,Notre Dame,Notre Dame,Wisconsin,home,72.0,67.0,77.0,59.0,61.0,57.0,13.0,10.0,16.0,projection_spread_home,22.88,11.44,Underdog,False,False
g98,1,2026-09-06,Louisville,Ole Miss,Louisville,Ole Miss,away,53.0,52.0,55.0,61.0,61.0,62.0,-8.0,-10.0,-6.0,projection_spread_home,-7.6225,-3.81125,Favorite,False,False
g98,1,2026-09-06,Louisville,Ole Miss,Ole Miss,Louisville,home,61.0,61.0,62.0,53.0,52.0,55.0,8.0,6.0,10.0,projection_spread_home,7.6225,3.81125,Underdog,False,False
g99,1,2026-09-07,SMU,Florida State,SMU,Florida State,away,62.0,66.0,58.0,57.0,57.0,57.0,5.0,9.0,1.0,projection_spread_home,1.445,0.7225,Underdog,False,False
g99,1,2026-09-07,SMU,Florida State,Florida State,SMU,home,57.0,57.0,57.0,62.0,66.0,58.0,-5.0,-1.0,-9.0,projection_spread_home,-1.445,-0.7225,Favorite,False,False
g101,2,2026-09-11,Rutgers,Boston College,Rutgers,Boston College,away,47.0,49.0,46.0,50.0,44.0,57.0,-3.0,-8.0,2.0,projection_spread_home,2.6275,1.31375,Underdog,False,False
g101,2,2026-09-11,Rutgers,Boston College,Boston College,Rutgers,home,50.0,44.0,57.0,47.0,49.0,46.0,3.0,-2.0,8.0,projection_spread_home,-2.6275,-1.31375,Favorite,False,False
g102,2,2026-09-11,Missouri,Kansas,Missouri,Kansas,away,49.0,59.0,40.0,58.0,49.0,67.0,-9.0,-8.0,-9.0,projection_spread_home,7.905,3.9525,Underdog,False,False
g102,2,2026-09-11,Missouri,Kansas,Kansas,Missouri,home,58.0,49.0,67.0,49.0,59.0,40.0,9.0,9.0,8.0,projection_spread_home,-7.905,-3.9525,Favorite,False,False
g104,2,2026-09-12,North Dakota State,Air Force,North Dakota State,Air Force,away,52.0,45.0,60.0,59.0,42.0,75.0,-7.0,-30.0,18.0,projection_spread_home,-0.4362,-0.2181,Favorite,False,False
g104,2,2026-09-12,North Dakota State,Air Force,Air Force,North Dakota State,home,59.0,42.0,75.0,52.0,45.0,60.0,7.0,-18.0,30.0,projection_spread_home,0.4362,0.2181,Underdog,False,False
g108,2,2026-09-12,Southern Miss,Auburn,Southern Miss,Auburn,away,22.0,23.0,20.0,57.0,56.0,58.0,-35.0,-35.0,-36.0,projection_spread_home,-28.87,-14.435,Favorite,False,False
g108,2,2026-09-12,Southern Miss,Auburn,Auburn,Southern Miss,home,57.0,56.0,58.0,22.0,23.0,20.0,35.0,36.0,35.0,projection_spread_home,28.87,14.435,Underdog,False,False
g109,2,2026-09-12,Arizona,BYU,Arizona,BYU,away,60.0,66.0,55.0,64.0,59.0,69.0,-4.0,-3.0,-4.0,projection_spread_home,-6.8875,-3.44375,Favorite,False,False
g109,2,2026-09-12,Arizona,BYU,BYU,Arizona,home,64.0,59.0,69.0,60.0,66.0,55.0,4.0,4.0,3.0,projection_spread_home,6.8875,3.44375,Underdog,False,False
g112,2,2026-09-12,Memphis,Boise State,Memphis,Boise State,away,42.0,44.0,39.0,57.0,60.0,55.0,-15.0,-11.0,-21.0,projection_spread_home,-9.2625,-4.63125,Favorite,False,False
g112,2,2026-09-12,Memphis,Boise State,Boise State,Memphis,home,57.0,60.0,55.0,42.0,44.0,39.0,15.0,21.0,11.0,projection_spread_home,9.2625,4.63125,Underdog,False,False
g115,2,2026-09-12,Georgia Southern,Clemson,Georgia Southern,Clemson,away,43.0,23.0,62.0,53.0,46.0,61.0,-10.0,-38.0,16.0,projection_spread_home,-24.74,-12.37,Favorite,False,False
g115,2,2026-09-12,Georgia Southern,Clemson,Clemson,Georgia Southern,home,53.0,46.0,61.0,43.0,23.0,62.0,10.0,-16.0,38.0,projection_spread_home,24.74,12.37,Underdog,False,False
g119,2,2026-09-12,Maryland,Connecticut,Maryland,Connecticut,away,71.0,68.0,74.0,31.0,25.0,37.0,40.0,31.0,49.0,projection_spread_home,8.9575,4.47875,Underdog,False,False
g119,2,2026-09-12,Maryland,Connecticut,Connecticut,Maryland,home,31.0,25.0,37.0,71.0,68.0,74.0,-40.0,-49.0,-31.0,projection_spread_home,-8.9575,-4.47875,Favorite,False,False
g120,2,2026-09-12,Appalachian State,East Carolina,Appalachian State,East Carolina,away,34.0,30.0,39.0,42.0,33.0,50.0,-8.0,-20.0,6.0,projection_spread_home,-12.515,-6.2575,Favorite,False,False
g120,2,2026-09-12,Appalachian State,East Carolina,East Carolina,Appalachian State,home,42.0,33.0,50.0,34.0,30.0,39.0,8.0,-6.0,20.0,projection_spread_home,12.515,6.2575,Underdog,False,False
g122,2,2026-09-12,Navy,Florida Atlantic,Navy,Florida Atlantic,away,47.0,33.0,61.0,64.0,62.0,65.0,-17.0,-32.0,-1.0,projection_spread_home,8.805,4.4025,Underdog,False,False
g122,2,2026-09-12,Navy,Florida Atlantic,Florida Atlantic,Navy,home,64.0,62.0,65.0,47.0,33.0,61.0,17.0,1.0,32.0,projection_spread_home,-8.805,-4.4025,Favorite,True,False
g123,2,2026-09-12,Buffalo,Florida International,Buffalo,Florida International,away,30.0,26.0,33.0,47.0,43.0,50.0,-17.0,-24.0,-10.0,projection_spread_home,-1.9575,-0.97875,Favorite,False,False
g123,2,2026-09-12,Buffalo,Florida International,Florida International,Buffalo,home,47.0,43.0,50.0,30.0,26.0,33.0,17.0,10.0,24.0,projection_spread_home,1.9575,0.97875,Underdog,False,False
g125,2,2026-09-12,Western Kentucky,Georgia,Western Kentucky,Georgia,away,32.0,37.0,26.0,68.0,63.0,72.0,-36.0,-35.0,-37.0,projection_spread_home,-33.9125,-16.95625,Favorite,False,False
g125,2,2026-09-12,Western Kentucky,Georgia,Georgia,Western Kentucky,home,68.0,63.0,72.0,32.0,37.0,26.0,36.0,37.0,35.0,projection_spread_home,33.9125,16.95625,Underdog,False,False
