season,week,date,game_id,component,edge_team,edge_opponent,conference_matchup_type,component_edge,component_edge_band,edge_team_role,edge_team_spread,edge_team_ats_result,edge_team_ats_margin,edge_team_clv,source_flipped
2023,3,2023-09-16T23:30:00.000Z,401520228,defense_vs_opponent_offense,Kentucky,Akron,P4_vs_G6,23.0,15_to_24_9,Favorite,-25.25,W,6.75,,True
2023,3,2023-09-16T23:30:00.000Z,401520228,offense_vs_opponent_defense,Akron,Kentucky,G6_vs_P4,23.0,15_to_24_9,Underdog,25.25,L,-6.75,,False
2023,3,2023-09-16T23:30:00.000Z,401520228,offense_vs_opponent_defense,Kentucky,Akron,P4_vs_G6,23.0,15_to_24_9,Favorite,-25.25,W,6.75,,False
2023,3,2023-09-16T23:00:00.000Z,401520229,defense_vs_opponent_offense,North Texas,Louisiana Tech,G6_vs_G6,9.0,5_to_14_9,Underdog,4.5,W,7.5,,False
2023,3,2023-09-16T23:00:00.000Z,401520229,offense_vs_opponent_defense,Louisiana Tech,North Texas,G6_vs_G6,5.0,5_to_14_9,Favorite,-4.5,L,-7.5,,True
2023,3,2023-09-16T16:00:00.000Z,401520230,defense_vs_opponent_offense,Indiana,Louisville,P4_vs_P4,11.0,5_to_14_9,Underdog,10.0,W,3.0,,False
2023,3,2023-09-16T16:00:00.000Z,401520230,offense_vs_opponent_defense,Indiana,Louisville,P4_vs_P4,15.0,15_to_24_9,Underdog,10.0,W,3.0,,False
2023,3,2023-09-15T23:00:00.000Z,401520231,defense_vs_opponent_offense,Maryland,Virginia,P4_vs_P4,23.0,15_to_24_9,Favorite,-16.25,W,11.75,,False
2023,3,2023-09-16T23:30:00.000Z,401520232,defense_vs_opponent_offense,Michigan,Bowling Green,P4_vs_G6,15.0,15_to_24_9,Favorite,-40.75,L,-15.75,,False
2023,3,2023-09-16T23:30:00.000Z,401520232,offense_vs_opponent_defense,Michigan,Bowling Green,P4_vs_G6,30.0,25_plus,Favorite,-40.75,L,-15.75,,False
2023,3,2023-09-17T00:00:00.000Z,401520238,defense_vs_opponent_offense,New Mexico,New Mexico State,G6_vs_G6,27.0,25_plus,Favorite,-2.75,L,-12.75,,True
2023,3,2023-09-17T00:00:00.000Z,401520238,defense_vs_opponent_offense,New Mexico State,New Mexico,G6_vs_G6,28.0,25_plus,Underdog,2.75,W,12.75,,True
