season,week,game_id,rp_team,rp_opponent,conference_matchup_type,overall_rp_edge,overall_rp_band,offense_vs_defense_edge,defense_vs_offense_edge,rp_team_spread,rp_team_ats_result,rp_team_ats_margin,rp_team_clv,source_flipped,rule_p4_g6_either_component_25_plus,rule_p4_g6_defense_15_plus,rule_p4_p4_overall_15_to_24_9,market_role,spread_bucket,rule_key
2022,3,401411115,Pittsburgh,Western Michigan,P4_vs_G6,25.0,25_plus,4.0,48.0,-10.0,W,11.0,,False,True,True,False,Favorite,Fav 7-13.5,P4_G6_DEFENSE_15_PLUS
2022,1,401416591,Michigan State,Western Michigan,P4_vs_G6,23.0,15_to_24_9,-5.0,52.0,-21.5,W,0.5,,False,True,True,False,Favorite,Fav 21+,P4_G6_DEFENSE_15_PLUS
2022,1,401426537,Missouri,Louisiana Tech,P4_vs_G6,7.0,5_to_14_9,-14.0,27.0,-20.5,W,7.5,,True,True,True,False,Favorite,Fav 14-20.5,P4_G6_DEFENSE_15_PLUS
2022,4,401426568,Miami,Middle Tennessee,P4_vs_G6,15.0,15_to_24_9,9.0,22.0,-25.5,L,-39.5,,False,False,True,False,Favorite,Fav 21+,P4_G6_DEFENSE_15_PLUS
2023,1,401520162,Michigan,East Carolina,P4_vs_G6,47.0,25_plus,45.0,48.0,-34.5,L,-7.5,,True,True,True,False,Favorite,Fav 21+,P4_G6_DEFENSE_15_PLUS
2023,2,401520206,Missouri,Middle Tennessee,P4_vs_G6,9.0,5_to_14_9,-9.0,28.0,-21.0,L,-17.0,,True,True,True,False,Favorite,Fav 21+,P4_G6_DEFENSE_15_PLUS
2023,3,401520232,Michigan,Bowling Green,P4_vs_G6,22.0,15_to_24_9,30.0,15.0,-40.5,L,-15.5,,True,True,True,False,Favorite,Fav 21+,P4_G6_DEFENSE_15_PLUS
2023,3,401520245,Texas A&M,UL Monroe,P4_vs_G6,28.0,25_plus,16.0,38.0,-36.5,W,7.5,,False,True,True,False,Favorite,Fav 21+,P4_G6_DEFENSE_15_PLUS
2023,4,401520252,Georgia,UAB,P4_vs_G6,22.0,15_to_24_9,10.0,34.0,-41.5,L,-13.5,,False,True,True,False,Favorite,Fav 21+,P4_G6_DEFENSE_15_PLUS
2023,1,401525463,Miami,Miami (OH),P4_vs_G6,1.0,under_5,-14.0,16.0,-16.5,W,18.5,,False,False,True,False,Favorite,Fav 14-20.5,P4_G6_DEFENSE_15_PLUS
2023,2,401525493,Florida State,Southern Miss,P4_vs_G6,27.0,25_plus,27.0,26.0,-31.0,W,22.0,,False,True,True,False,Favorite,Fav 21+,P4_G6_DEFENSE_15_PLUS
2023,3,401525837,Kansas,Nevada,P4_vs_G6,32.0,25_plus,37.0,27.0,-28.5,L,-21.5,,False,True,True,False,Favorite,Fav 21+,P4_G6_DEFENSE_15_PLUS
2023,3,401525842,Oklahoma,Tulsa,P4_vs_G6,22.0,15_to_24_9,24.0,22.0,-28.0,W,21.0,,False,False,True,False,Favorite,Fav 21+,P4_G6_DEFENSE_15_PLUS
2024,1,401628328,Oklahoma,Temple,P4_vs_G6,8.0,5_to_14_9,-18.0,33.0,-43.5,W,4.5,,False,True,True,False,Favorite,Fav 21+,P4_G6_DEFENSE_15_PLUS
2024,2,401628344,Missouri,Buffalo,P4_vs_G6,39.0,25_plus,51.0,27.0,-34.5,W,3.5,,True,True,True,False,Favorite,Fav 21+,P4_G6_DEFENSE_15_PLUS
2024,3,401628352,Auburn,New Mexico,P4_vs_G6,25.0,25_plus,20.0,29.0,-25.5,W,0.5,,False,True,True,False,Favorite,Fav 21+,P4_G6_DEFENSE_15_PLUS
2024,3,401628358,Oklahoma,Tulane,P4_vs_G6,12.0,5_to_14_9,-9.0,32.0,-13.5,W,1.5,,False,True,True,False,Favorite,Fav 7-13.5,P4_G6_DEFENSE_15_PLUS
2024,3,401628361,Texas,UTSA,P4_vs_G6,25.0,25_plus,35.0,15.0,-36.5,W,12.5,,False,True,True,False,Favorite,Fav 21+,P4_G6_DEFENSE_15_PLUS
2024,4,401628364,Kentucky,Ohio,P4_vs_G6,22.0,15_to_24_9,12.0,30.0,-21.5,W,13.5,,False,True,True,False,Favorite,Fav 21+,P4_G6_DEFENSE_15_PLUS
2024,4,401628371,Texas,UL Monroe,P4_vs_G6,30.0,25_plus,33.0,27.0,-41.5,W,6.5,,False,True,True,False,Favorite,Fav 21+,P4_G6_DEFENSE_15_PLUS
2024,4,401628372,Texas A&M,Bowling Green,P4_vs_G6,24.0,15_to_24_9,32.0,15.0,-21.0,L,-15.0,,True,True,True,False,Favorite,Fav 21+,P4_G6_DEFENSE_15_PLUS
2024,1,401628454,Nebraska,UTEP,P4_vs_G6,32.0,25_plus,28.0,36.0,-27.5,W,5.5,,False,True,True,False,Favorite,Fav 21+,P4_G6_DEFENSE_15_PLUS
2024,1,401628455,Ohio State,Akron,P4_vs_G6,8.0,5_to_14_9,-2.0,18.0,-48.5,L,-2.5,,True,False,True,False,Favorite,Fav 21+,P4_G6_DEFENSE_15_PLUS
2024,2,401628469,Oregon,Boise State,P4_vs_G6,10.0,5_to_14_9,-3.0,24.0,-17.5,L,-14.5,,True,False,True,False,Favorite,Fav 14-20.5,P4_G6_DEFENSE_15_PLUS
2024,2,401628471,Rutgers,Akron,P4_vs_G6,21.0,15_to_24_9,6.0,36.0,-24.5,W,7.5,,True,True,True,False,Favorite,Fav 21+,P4_G6_DEFENSE_15_PLUS
