season,week,date,game_id,metric,home_team,away_team,high_rp_team,low_rp_team,high_rp_side,high_rp_role,high_rp_value,low_rp_value,high_rp_pctile,low_rp_pctile,high_rp_spread,high_rp_margin,high_rp_ats_margin,high_rp_ats_result,home_spread,total_line
2025,2,2025-09-07T02:15:00.000Z,401754526,overall,BYU,Stanford,BYU,Stanford,home,Favorite,345.6,38.6,0.8507462686567164,0.05970149253731343,-20.5,24.0,3.5,W,-20.5,44.0
2025,3,2025-09-11T23:30:00.000Z,401754531,overall,Wake Forest,NC State,NC State,Wake Forest,away,Favorite,439.0,97.5,0.9925373134328358,0.23880597014925373,-7.333333333333333,10.0,2.666666666666667,W,7.333333333333333,52.666666666666664
2025,3,2025-09-13T17:00:00.000Z,401752702,overall,Missouri,Louisiana,Louisiana,Missouri,away,Underdog,322.7,80.4,0.7835820895522388,0.1865671641791045,27.5,-42.0,-14.5,L,-27.5,47.166666666666664
2025,3,2025-09-13T20:30:00.000Z,401754535,overall,Miami,South Florida,South Florida,Miami,away,Underdog,391.5,94.6,0.9477611940298507,0.21641791044776118,17.666666666666668,-37.0,-19.333333333333332,L,-17.666666666666668,56.5
2025,3,2025-09-13T21:00:00.000Z,401757256,overall,Bowling Green,Liberty,Liberty,Bowling Green,away,Favorite,347.5,34.7,0.8656716417910447,0.03731343283582089,-6.0,-10.0,-16.0,L,6.0,51.5
2025,4,2025-09-20T16:00:00.000Z,401762469,overall,Army,North Texas,North Texas,Army,away,Favorite,329.2,92.9,0.7985074626865671,0.208955223880597,-2.5,7.0,4.5,W,2.5,50.666666666666664
2025,4,2025-09-20T16:00:00.000Z,401756901,overall,Utah,Texas Tech,Texas Tech,Utah,away,Underdog,332.6,36.0,0.8283582089552238,0.04477611940298507,3.5,24.0,27.5,W,-3.5,58.333333333333336
2025,4,2025-09-20T16:00:00.000Z,401754537,overall,Clemson,Syracuse,Clemson,Syracuse,home,Favorite,374.4,96.9,0.917910447761194,0.23134328358208955,-17.5,-13.0,-30.5,L,-17.5,53.833333333333336
2025,4,2025-09-20T16:45:00.000Z,401752715,overall,Tennessee,UAB,UAB,Tennessee,away,Underdog,326.3,95.0,0.7910447761194029,0.22388059701492538,39.0,-32.0,7.0,W,-39.0,68.83333333333333
2025,4,2025-09-20T19:30:00.000Z,401761610,overall,Eastern Michigan,Louisiana,Louisiana,Eastern Michigan,away,Favorite,322.7,77.6,0.7835820895522388,0.1791044776119403,-2.1666666666666665,-3.0,-5.166666666666666,L,2.1666666666666665,51.333333333333336
2025,4,2025-09-20T20:00:00.000Z,401754538,overall,Duke,NC State,NC State,Duke,away,Underdog,439.0,65.9,0.9925373134328358,0.11940298507462686,3.1666666666666665,-12.0,-8.833333333333334,L,-3.1666666666666665,57.333333333333336
2023,1,2023-09-01T00:00:00.000Z,401520176,offense,Utah,Florida,Utah,Florida,home,Favorite,120.4,10.0,0.8320610687022901,0.22137404580152673,-6.3,13.0,6.7,W,-6.3,45.5
2023,1,2023-09-02T16:00:00.000Z,401520162,offense,Michigan,East Carolina,Michigan,East Carolina,home,Favorite,131.4,2.9,0.8549618320610687,0.15648854961832062,-35.4,27.0,-8.399999999999999,L,-35.4,52.4
2023,1,2023-09-02T22:30:00.000Z,401523996,offense,USC,Nevada,USC,Nevada,home,Favorite,248.9,-1.0,0.9923664122137404,0.07633587786259542,-37.875,52.0,14.125,W,-37.875,63.5
2023,1,2023-09-02T23:00:00.000Z,401525819,offense,Houston,UTSA,UTSA,Houston,away,Favorite,201.8,1.2,0.9694656488549618,0.1297709923664122,-1.5,-3.0,-4.5,L,1.5,60.1
2023,1,2023-09-02T23:30:00.000Z,401520155,offense,Illinois,Toledo,Toledo,Illinois,away,Underdog,136.0,-0.7,0.8778625954198473,0.08396946564885496,8.6,-2.0,6.6,W,-8.6,47.0
2023,2,2023-09-08T23:30:00.000Z,401520195,offense,Kansas,Illinois,Kansas,Illinois,home,Favorite,209.4,-0.7,0.9770992366412213,0.08396946564885496,-3.6666666666666665,11.0,7.333333333333334,W,-3.6666666666666665,57.166666666666664
2023,2,2023-09-09T19:30:00.000Z,401520194,offense,Iowa State,Iowa,Iowa State,Iowa,home,Underdog,106.0,-1.7,0.7709923664122137,0.06870229007633588,3.5,-7.0,-3.5,L,3.5,35.666666666666664
2023,2,2023-09-09T19:30:00.000Z,401531395,offense,UTSA,Texas State,UTSA,Texas State,home,Favorite,201.8,2.3,0.9694656488549618,0.1450381679389313,-13.833333333333334,7.0,-6.833333333333334,L,-13.833333333333334,66.5
2023,2,2023-09-09T23:00:00.000Z,401531427,offense,Arkansas State,Memphis,Memphis,Arkansas State,away,Favorite,125.3,4.0,0.8396946564885496,0.17557251908396945,-20.833333333333332,34.0,13.166666666666668,W,20.833333333333332,57.333333333333336
2023,2,2023-09-09T23:00:00.000Z,401520206,offense,Missouri,Middle Tennessee,Missouri,Middle Tennessee,home,Favorite,112.9,3.4,0.8015267175572519,0.16793893129770993,-21.0,4.0,-17.0,L,-21.0,47.333333333333336
2023,2,2023-09-09T23:30:00.000Z,401520200,offense,Maryland,Charlotte,Maryland,Charlotte,home,Favorite,137.1,4.1,0.8854961832061069,0.183206106870229,-24.5,18.0,-6.5,L,-24.5,50.166666666666664
2023,3,2023-09-15T23:00:00.000Z,401531396,offense,UTSA,Army,UTSA,Army,home,Favorite,201.8,-0.6,0.9694656488549618,0.0916030534351145,-7.0,-8.0,-15.0,L,-7.0,41.75
2023,3,2023-09-15T23:00:00.000Z,401520231,offense,Maryland,Virginia,Maryland,Virginia,home,Favorite,137.1,2.9,0.8854961832061069,0.15648854961832062,-16.25,28.0,11.75,W,-16.25,48.25
2023,3,2023-09-16T22:00:00.000Z,401531403,offense,Charlotte,Georgia State,Georgia State,Charlotte,away,Favorite,105.5,4.1,0.7633587786259542,0.183206106870229,-6.25,16.0,9.75,W,6.25,52.0
2023,3,2023-09-16T23:00:00.000Z,401520237,offense,Nebraska,Northern Illinois,Northern Illinois,Nebraska,away,Underdog,111.5,-7.1,0.7938931297709924,0.030534351145038167,11.5,-24.0,-12.5,L,-11.5,42.75
2023,3,2023-09-16T23:30:00.000Z,401520232,offense,Michigan,Bowling Green,Michigan,Bowling Green,home,Favorite,131.4,10.1,0.8549618320610687,0.22900763358778625,-40.75,25.0,-15.75,L,-40.75,53.5
2023,3,2023-09-16T23:30:00.000Z,401520228,offense,Kentucky,Akron,Akron,Kentucky,away,Underdog,118.0,-15.3,0.8244274809160306,0.015267175572519083,25.25,-32.0,-6.75,L,-25.25,48.5
2023,3,2023-09-17T02:30:00.000Z,401525837,offense,Nevada,Kansas,Kansas,Nevada,away,Favorite,209.4,-1.0,0.9770992366412213,0.07633587786259542,-28.5,7.0,-21.5,L,28.5,58.0
