season,week,date,game_id,team,opponent,spread,ats_result,ats_margin,team_clv,team_conference,opponent_conference,team_tier,opponent_tier,conference_matchup_type,team_overall,team_offense,team_defense,opp_overall,opp_offense,opp_defense,overall_rp_edge,off_vs_def_rp_edge,def_vs_off_rp_edge
2021,1,2021-09-04T23:30:00.000Z,401282179,Illinois,UTSA,-4.5,L,-11.5,,Big Ten,Conference USA,P4,G6,P4_vs_G6,70.0,80.0,61.0,79.0,87.0,71.0,-9.0,9.0,-26.0
2021,1,2021-09-04T23:30:00.000Z,401282179,UTSA,Illinois,4.5,W,11.5,,Conference USA,Big Ten,G6,P4,G6_vs_P4,79.0,87.0,71.0,70.0,80.0,61.0,9.0,26.0,-9.0
2021,2,2021-09-11T23:00:00.000Z,401282182,FIU,Texas State,-2.0,L,-8.0,,Conference USA,Sun Belt,G6,G6,G6_vs_G6,56.0,48.0,64.0,78.0,82.0,74.0,-22.0,-26.0,-18.0
2021,2,2021-09-11T23:00:00.000Z,401282182,Texas State,FIU,2.0,W,8.0,,Sun Belt,Conference USA,G6,G6,G6_vs_G6,78.0,82.0,74.0,56.0,48.0,64.0,22.0,18.0,26.0
2021,2,2021-09-11T19:30:00.000Z,401282183,Florida Atlantic,Georgia Southern,-7.0,W,25.0,,Conference USA,Sun Belt,G6,G6,G6_vs_G6,64.0,76.0,51.0,51.0,46.0,56.0,13.0,20.0,5.0
2021,2,2021-09-11T19:30:00.000Z,401282183,Georgia Southern,Florida Atlantic,7.0,L,-25.0,,Sun Belt,Conference USA,G6,G6,G6_vs_G6,51.0,46.0,56.0,64.0,76.0,51.0,-13.0,-5.0,-20.0
2021,2,2021-09-11T18:00:00.000Z,401282186,Middle Tennessee,Virginia Tech,20.0,L,-1.0,,Conference USA,ACC,G6,P4,G6_vs_P4,63.0,56.0,70.0,68.0,69.0,67.0,-5.0,-11.0,1.0
2021,2,2021-09-11T18:00:00.000Z,401282186,Virginia Tech,Middle Tennessee,-20.0,W,1.0,,ACC,Conference USA,P4,G6,P4_vs_G6,68.0,69.0,67.0,63.0,56.0,70.0,5.0,-1.0,11.0
2021,2,2021-09-11T23:00:00.000Z,401282187,North Texas,SMU,22.5,L,-0.5,,Conference USA,American,G6,G6,G6_vs_G6,68.0,67.0,68.0,55.0,50.0,59.0,13.0,8.0,18.0
2021,2,2021-09-11T23:00:00.000Z,401282187,SMU,North Texas,-22.5,W,0.5,,American,Conference USA,G6,G6,G6_vs_G6,55.0,50.0,59.0,68.0,67.0,68.0,-13.0,-18.0,-8.0
2021,2,2021-09-11T22:30:00.000Z,401282189,Houston,Rice,-7.5,W,29.5,,American,Conference USA,G6,G6,G6_vs_G6,68.0,71.0,65.0,69.0,59.0,79.0,-1.0,-8.0,6.0
2021,2,2021-09-11T22:30:00.000Z,401282189,Rice,Houston,7.5,L,-29.5,,Conference USA,American,G6,G6,G6_vs_G6,69.0,59.0,79.0,68.0,71.0,65.0,1.0,-6.0,8.0
2021,2,2021-09-11T01:30:00.000Z,401282191,Boise State,UTEP,-25.0,W,16.0,,Mountain West,Conference USA,G6,G6,G6_vs_G6,59.0,75.0,42.0,63.0,74.0,51.0,-4.0,24.0,-32.0
2021,2,2021-09-11T01:30:00.000Z,401282191,UTEP,Boise State,25.0,L,-16.0,,Conference USA,Mountain West,G6,G6,G6_vs_G6,63.0,74.0,51.0,59.0,75.0,42.0,4.0,32.0,-24.0
2021,2,2021-09-11T15:30:00.000Z,401282193,Army,Western Kentucky,-6.0,L,-3.0,,Independent,Conference USA,Independent,G6,Other,77.0,79.0,76.0,62.0,67.0,56.0,15.0,23.0,9.0
2021,2,2021-09-11T15:30:00.000Z,401282193,Western Kentucky,Army,6.0,W,3.0,,Conference USA,Independent,G6,Independent,Other,62.0,67.0,56.0,77.0,79.0,76.0,-15.0,-9.0,-23.0
2021,3,2021-09-18T22:00:00.000Z,401282194,Middle Tennessee,UTSA,11.5,L,-2.5,,Conference USA,Conference USA,G6,G6,G6_vs_G6,63.0,56.0,70.0,79.0,87.0,71.0,-16.0,-15.0,-17.0
2021,3,2021-09-18T22:00:00.000Z,401282194,UTSA,Middle Tennessee,-11.5,W,2.5,,Conference USA,Conference USA,G6,G6,G6_vs_G6,79.0,87.0,71.0,63.0,56.0,70.0,16.0,17.0,15.0
2021,3,2021-09-18T23:30:00.000Z,401282195,North Texas,UAB,12.5,L,-21.5,,Conference USA,Conference USA,G6,G6,G6_vs_G6,68.0,67.0,68.0,55.0,52.0,57.0,13.0,10.0,16.0
2021,3,2021-09-18T23:30:00.000Z,401282195,UAB,North Texas,-12.5,W,21.5,,Conference USA,Conference USA,G6,G6,G6_vs_G6,55.0,52.0,57.0,68.0,67.0,68.0,-13.0,-16.0,-10.0
2021,3,2021-09-18T23:00:00.000Z,401282196,Charlotte,Georgia State,4.5,L,-6.5,,Conference USA,Sun Belt,G6,G6,G6_vs_G6,56.0,66.0,46.0,80.0,85.0,76.0,-24.0,-10.0,-39.0
2021,3,2021-09-18T23:00:00.000Z,401282196,Georgia State,Charlotte,-4.5,W,6.5,,Sun Belt,Conference USA,G6,G6,G6_vs_G6,80.0,85.0,76.0,56.0,66.0,46.0,24.0,39.0,10.0
2021,3,2021-09-18T23:00:00.000Z,401282197,FIU,Texas Tech,20.5,L,-12.5,,Conference USA,Big 12,G6,P4,G6_vs_P4,56.0,48.0,64.0,69.0,63.0,74.0,-13.0,-26.0,1.0
2021,3,2021-09-18T23:00:00.000Z,401282197,Texas Tech,FIU,-20.5,W,12.5,,Big 12,Conference USA,P4,G6,P4_vs_G6,69.0,63.0,74.0,56.0,48.0,64.0,13.0,-1.0,26.0
2021,3,2021-09-18T19:30:00.000Z,401282199,Louisiana Tech,SMU,11.0,W,9.0,,Conference USA,American,G6,G6,G6_vs_G6,56.0,48.0,65.0,55.0,50.0,59.0,1.0,-11.0,15.0
2021,3,2021-09-18T19:30:00.000Z,401282199,SMU,Louisiana Tech,-11.0,L,-9.0,,American,Conference USA,G6,G6,G6_vs_G6,55.0,50.0,59.0,56.0,48.0,65.0,-1.0,-15.0,11.0
2021,3,2021-09-18T22:00:00.000Z,401282200,East Carolina,Marshall,10.0,W,14.0,,American,Conference USA,G6,G6,G6_vs_G6,75.0,71.0,78.0,55.0,52.0,57.0,20.0,14.0,26.0
2021,3,2021-09-18T22:00:00.000Z,401282200,Marshall,East Carolina,-10.0,L,-14.0,,Conference USA,American,G6,G6,G6_vs_G6,55.0,52.0,57.0,75.0,71.0,78.0,-20.0,-26.0,-14.0
2021,3,2021-09-18T22:00:00.000Z,401282201,Liberty,Old Dominion,-27.5,W,0.5,,Independent,Conference USA,Independent,G6,Other,87.0,95.0,79.0,,,,,,
2021,3,2021-09-18T22:00:00.000Z,401282201,Old Dominion,Liberty,27.5,L,-0.5,,Conference USA,Independent,G6,Independent,Other,,,,87.0,95.0,79.0,,,
2021,3,2021-09-19T00:00:00.000Z,401282202,Rice,Texas,26.0,L,-32.0,,Conference USA,Big 12,G6,P4,G6_vs_P4,69.0,59.0,79.0,61.0,53.0,69.0,8.0,-10.0,26.0
2021,3,2021-09-19T00:00:00.000Z,401282202,Texas,Rice,-26.0,W,32.0,,Big 12,Conference USA,P4,G6,P4_vs_G6,61.0,53.0,69.0,69.0,59.0,79.0,-8.0,-26.0,10.0
2021,3,2021-09-18T23:00:00.000Z,401282203,Southern Miss,Troy,11.0,L,-1.0,,Conference USA,Sun Belt,G6,G6,G6_vs_G6,67.0,57.0,77.0,82.0,70.0,94.0,-15.0,-37.0,7.0
