rule_key,rule_label,family,games,wins,losses,pushes,avg_1h_ats_margin,median_1h_ats_margin,avg_1h_spread,seasons_present,one_h_ats_win_pct,one_h_ats_edge_pct,avg_1h_ats_margin_2024,avg_1h_ats_margin_2025,games_2024,games_2025,one_h_ats_win_pct_2024,one_h_ats_win_pct_2025,positive_seasons,positive_margin_seasons,min_season_games,season_pct_gap,season_margin_gap,discovery_score,status
G6_vs_G6__OVERALL__25_PLUS,G6_vs_G6: overall RP edge 25+,overall_edge,4,2,2,0,-3.0,-3.75,-2.0,2,0.5,0.0,-10.25,4.25,2.0,2.0,0.5,0.5,0,1,2.0,0.0,14.5,-8.0,No actionable signal
G6_vs_G6__OVERALL__5_TO_9_9,G6_vs_G6: overall RP edge 5-9.9,overall_edge,7,2,5,0,-3.357142857142857,-1.5,3.642857142857143,2,0.2857142857142857,-21.42857142857143,-2.5,-4.0,3.0,4.0,0.3333333333333333,0.25,0,0,3.0,0.08333333333333331,1.5,-51.06,No actionable signal
G6_vs_P4__BOTH_COMPONENTS__10_PLUS,G6_vs_P4: both RP components 10+,both_components,3,1,2,0,0.8333333333333334,-1.5,12.833333333333334,2,0.3333333333333333,-16.66666666666667,-3.5,3.0,1.0,2.0,0.0,0.5,0,1,1.0,0.5,6.5,-34.33,No actionable signal
G6_vs_P4__BOTH_COMPONENTS__15_PLUS,G6_vs_P4: both RP components 15+,both_components,1,0,1,0,-3.5,-3.5,11.5,1,0.0,-50.0,-3.5,,1.0,,0.0,,0,0,1.0,,,-62.0,No actionable signal
G6_vs_P4__BOTH_COMPONENTS__5_PLUS,G6_vs_P4: both RP components 5+,both_components,5,2,3,0,1.1,-1.5,14.7,2,0.4,-10.0,-0.16666666666666666,3.0,3.0,2.0,0.3333333333333333,0.5,0,1,2.0,0.16666666666666669,3.1666666666666665,-15.89,No actionable signal
G6_vs_P4__DEFENSE_VS_OFFENSE__10_TO_14_9,G6_vs_P4: Def RP vs opp Off RP edge 10-14.9,defense_vs_offense,2,1,1,0,-17.0,-17.0,9.0,1,0.5,0.0,-17.0,,2.0,,0.5,,0,0,2.0,,,-29.0,No actionable signal
G6_vs_P4__DEFENSE_VS_OFFENSE__15_TO_24_9,G6_vs_P4: Def RP vs opp Off RP edge 15-24.9,defense_vs_offense,7,3,4,0,0.6428571428571429,-1.5,6.642857142857143,2,0.42857142857142855,-7.142857142857146,-5.5,3.1,2.0,5.0,0.0,0.6,1,1,2.0,0.6,8.6,-9.95,No actionable signal
G6_vs_P4__DEFENSE_VS_OFFENSE__25_PLUS,G6_vs_P4: Def RP vs opp Off RP edge 25+,defense_vs_offense,3,1,2,0,-4.833333333333333,-1.0,10.166666666666666,2,0.3333333333333333,-16.66666666666667,-9.25,4.0,2.0,1.0,0.0,1.0,1,1,1.0,1.0,13.25,-53.5,No actionable signal
G6_vs_P4__DEF_POS_OFF_NEG,"G6_vs_P4: defense edge positive, offense edge negative",mixed_components,7,3,4,0,-6.5,-1.0,6.785714285714286,2,0.42857142857142855,-7.142857142857146,-12.0,7.25,5.0,2.0,0.2,1.0,1,1,2.0,0.8,19.25,-33.17,No actionable signal
G6_vs_P4__EITHER_COMPONENT__15_PLUS,G6_vs_P4: either RP component 15+,either_component,16,7,9,0,-0.15625,-1.25,10.15625,2,0.4375,-6.25,-2.6875,2.375,8.0,8.0,0.25,0.625,1,1,8.0,0.375,5.0625,-7.36,No actionable signal
